TechName,*TechDesc,Comm-IN,Comm-OUT,START,EFF,EFF~2030,EFF~2050,EFF~0,AFA~NI,AFA~SI,AF,Life,CAP2ACT,INVCOST~2018,INVCOST~2020,INVCOST~2030,INVCOST~2040,INVCOST~2050,INVCOST~0,FIXOM,FIXOM~2030,FIXOM~2040,FIXOM~0,FLO_MARK,FLO_MARK~2040
ADCF-MoTP-Stat-VacP-ELC,Dairy Cattle Farming-Vacuum Pump,AGRELC,ADCF-MoTP-Stat,2020,0.84,,,,0.23,0.23,,25,31.536,410.61,,,,,,21.6,,,,,
ADCF-MoTP-Stat-VPVSD-ELC,Dairy Cattle Farming-Vacuum pump with VSD,AGRELC,ADCF-MoTP-Stat,2020,0.95,,,,0.23,0.23,,25,31.536,643.41,,,,,,21.6,,,,,
ADCF-IRG-Irg-ELC,Dairy Cattle Farming-Irrigation,AGRELC,ADCF-IRG,2020,0.7,,,,0.16,0.16,,20,31.536,6000,,,,,,917.19,,,,,
ADCF-IRG-IrgVSD-ELC,Dairy Cattle Farming-Irrigation with VSD,AGRELC,ADCF-IRG,2020,0.83,,,,0.16,0.16,,20,31.536,6257.14,,,,,,917.19,,,,,
ADCF-WH-Cylinder-ELC,Dairy Cattle Farming-Hot Water Cylinder,AGRELC,ADCF-WH,2020,0.9,,,,0.23,0.23,,20,31.536,466.67,,,,,,24.54,,,,,
ADCF-WH-Hreco-ELC,Dairy Cattle Farming-Heat Recovery & Heat Pump,AGRELC,ADCF-WH,2020,3.5,,,,0.23,0.23,,20,31.536,435.73,,,,,,22.92,,,,,
\I:  ADCF-WH-HP-ELC,I/: Dairy Cattle Farming-Hot Water Heat Pump,AGRELC,ADCF-WH,2020,,,,,,,,,31.536,,,,,,,,,,,,
ADCF-MoTP-Mob-Trac--DSL,Dairy Cattle Farming-Tractor,AGRDSL,ADCF-MoTP-Mob-Trac,2020,0.11,,,,0.09,0.09,,15,1,965.29,,,,,,38.61,,,,,
ADCF-MoTP-Mob-Trac--ELC,Dairy Cattle Farming-Electric Tractor,AGRELC,ADCF-MoTP-Mob-Trac,2020,0.39,,,,0.09,0.09,,15,1,,3039.58,1245.66,1072.05,1072.05,,57.07,28.54,,,,
ADCF-MoTP-Mob-Trac--H2R,Dairy Cattle Farming-Hydrogen Tractor,AGRH2R,ADCF-MoTP-Mob-Trac,2020,0.24,,,,0.09,0.09,,15,1,,2304.09,1136.31,666.85,634.71,,34.75,,,,,
ADCF-MoTP-Mob-MTr--DSL,Dairy Cattle Farming-Medium Truck,AGRDSL,ADCF-MoTP-Mob-MTr,2020,0.13,,,,0.02,0.02,,22,1,1851.87,1898.16,1962.98,2042.5,2096.97,,70.4,,,,,
ADCF-MoTP-Mob-MTr--ELC,Dairy Cattle Farming-Electric Medium Truck,AGRELC,ADCF-MoTP-Mob-MTr,2020,0.44,,,,0.02,0.02,,22,1,6565.01,3423.68,2040.4,2040.4,2040.4,,65.44,,46.49,,,
ADCF-MoTP-Mob-MTr--H2R,Dairy Cattle Farming-Hydrogen Medium Truck,AGRH2R,ADCF-MoTP-Mob-MTr,2020,0.27,,,,0.02,0.02,,22,1,7542.15,4158.21,3104.03,2612.63,2501.4,,71.34,,,,,
ADCF-MoTP-Mob-Uti--DSL,Dairy Cattle Farming-Utility,AGRDSL,ADCF-MoTP-Mob-Uti,2020,0.23,,,,0.09,0.09,,22,1,363.43,368.42,375.08,383.4,394.6,,11.88,,,,,
ADCF-MoTP-Mob-Uti--ELC,Dairy Cattle Farming-Electric Utility,AGRELC,ADCF-MoTP-Mob-Uti,2020,0.8,,,,0.09,0.09,,22,1,563.28,536.36,378.82,378.82,378.82,,10.53,,8.43,,,
ADCF-MoTP-Mob-Uti--H2R,Dairy Cattle Farming-Hydrogen Utility,AGRH2R,ADCF-MoTP-Mob-Uti,2020,0.5,,,,0.09,0.09,,22,1,748.66,644.3,537.67,431.38,408.55,,13.06,,,,,
