TechName,*TechDesc,Comm-IN,Comm-OUT,START,EFF,EFF~2030,EFF~2050,CEFF,CEFF~2030,CEFF~2050,*Share-O~UP,*Share~UP~2050,Life,INVCOST,INVCOST~2030,INVCOST~2050,FIXOM,AFA,FLO_MARK~2030,FLO_MARK~2050,FLO_MARK~0
*Technology Name,Technology Description,Input Commodity,,,Efficiency,,,,,,,,Lifetime of Process,Investment Cost,Investment Cost 2030,Investment Cost 2050,O&M Cost,Capacity Factor,,,
C_EDU-OTH_ELEC-ELC,Education Electronics ELC,COMELC,C_EDU-OTH,2020,0.9,0.95,0.96,,,,,,4,5555.556,,,0,0.216895,,,
C_EDU-LT_INC-ELC,Education Lighting Incandescent ELC,COMELC,C_EDU-LT,2020,0.015,,,,,,,,1,1466.667,,,0,0.216895,,,
C_EDU-LT_FLU-ELC,Education Lighting Fluorescent ELC,COMELC,C_EDU-LT,2020,0.135,,,,,,,,5,2466.667,,,0,0.216895,,,
C_EDU-LT_LED-ELC,Education Lighting LED ELC,COMELC,C_EDU-LT,2020,0.25,0.28,0.29,,,,,,20,4000,,,0,0.216895,,,
C_EDU-SH_Boiler-COA,Education Boiler Systems COA,COMCOA,C_EDU-SH,2020,0.75,,,,,,,,25,5333.333,,,15,0.1,0.05,0,3
C_EDU-SH_Boiler-DSL,Education Boiler Systems DSL,COMDSL,C_EDU-SH,2020,0.85,,,,,,,,25,2235.294,,,3,0.1,0.01,0,3
C_EDU-SH_Boiler-FOL,Education Boiler Systems FOL,COMFOL,C_EDU-SH,2020,0.84,,,,,,,,25,2261.905,,,3,0.1,0,0,3
C_EDU-SH_Boiler-LPG,Education Boiler Systems LPG,COMLPG,C_EDU-SH,2020,0.85,,,,,,,,25,1470.588,,,2,0.1,0,0,3
C_EDU-SH_Boiler-NGA,Education Boiler Systems NGA,COMNGA,C_EDU-SH,2020,0.85,,,,,,,,25,1470.588,,,2,0.1,0.1955,0.1955,3
C_EDU-SH_Boiler-WOD,Education Boiler Systems WOD,COMWOD,C_EDU-SH,2020,0.85,,,,,,,,30,5294.118,,,10,0.1,0.2,0.4,3
C_EDU-SH_Boiler-PLT,Education Boiler Systems PLT,COMPLT,C_EDU-SH,2020,0.92,,,,,,,,30,4891.304,,,10,0.1,0.2,0.4,3
C_EDU-SH_Boiler-ELC,Education Boiler Systems ELC,COMELC,C_EDU-SH,2020,0.99,,,,,,,,30,1262.626,,,2,0.1,0.1,0.3,3
C_EDU-SH_Boiler-BIG,Education Boiler Systems BIG,COMBIG,C_EDU-SH,2020,0.85,,,,,,,,25,1470.588,,,2,0.1,0,0,3
C_EDU-SH_Boiler-H2R,Education Boiler Systems H2R,COMH2R,C_EDU-SH,2020,0.75,,,,,,,,25,1833.333,,,2,0.1,0,0,3
C_EDU-WH_Boiler-COA,Education Boiler Systems COA,COMCOA,C_EDU-WH,2020,0.75,,,,,,,,25,5333.333,,,15,0.216895,0.0632,0,3
C_EDU-WH_Boiler-DSL,Education Boiler Systems DSL,COMDSL,C_EDU-WH,2020,0.85,,,,,,,,25,2235.294,,,3,0.216895,0,0,3
C_EDU-WH_Boiler-FOL,Education Boiler Systems FOL,COMFOL,C_EDU-WH,2020,0.84,,,,,,,,25,2261.905,,,3,0.216895,0,0,3
C_EDU-WH_Boiler-LPG,Education Boiler Systems LPG,COMLPG,C_EDU-WH,2020,0.85,,,,,,,,25,1470.588,,,2,0.216895,0,0,3
C_EDU-WH_Boiler-NGA,Education Boiler Systems NGA,COMNGA,C_EDU-WH,2020,0.85,,,,,,,,25,1470.588,,,2,0.216895,0,0,3
C_EDU-WH_Boiler-WOD,Education Boiler Systems WOD,COMWOD,C_EDU-WH,2020,0.85,,,,,,,,30,5294.118,,,10,0.216895,,,
C_EDU-WH_Boiler-PLT,Education Boiler Systems PLT,COMPLT,C_EDU-WH,2020,0.92,,,,,,,,30,4891.304,,,10,0.216895,,,
C_EDU-WH_Boiler-ELC,Education Boiler Systems ELC,COMELC,C_EDU-WH,2020,0.99,,,,,,,,30,1262.626,,,2,0.216895,0.1,0.2,3
C_EDU-WH_Boiler-BIG,Education Boiler Systems BIG,COMBIG,C_EDU-WH,2020,0.85,,,,,,,,25,1470.588,,,2,0.216895,0,0,3
C_EDU-WH_Boiler-H2R,Education Boiler Systems H2R,COMH2R,C_EDU-WH,2020,0.75,,,,,,,,25,1833.333,,,2,0.216895,0,0,3
C_EDU-SH_AIRHP-ELC,Education Heat Pump Air Source (for Heating) ELC,COMELC,C_EDU-SH,2020,,,,3.5,4,4.5,1,,20,490.8571,466.3143,456.988,0,0.1,0.3,0.7,3
\I:,,,C_EDU-SC,,,,,3,3.5,4,1,,,,,,,,,,
C_EDU-SH_GHP-ELC,Education Heat Pump Ground Source (for Heating) ELC,COMELC,C_EDU-SH,2020,,,,3.5,4,4.5,1,,20,1846,1753.7,1718.626,0,0.1,0.3,0.7,3
\I:,,,C_EDU-SC,,,,,3,3.5,4,1,,,,,,,,,,
C_EDU-SH_RH-ELC,Education Resistance Heater ELC,COMELC,C_EDU-SH,2020,0.99,,,,,,,,10,80.80808,,,0,0.1,0.5,0.3,3
C_EDU-WH_AIRHP-ELC,Education Heat Pump Air Source (for Heating) ELC,COMELC,C_EDU-WH,2020,2.5,3.5,4,,,,,,20,1500,1425,1396.5,0,0.216895,0.6,1,3
C_EDU-WH_GHP-ELC,Education Heat Pump Ground Source (for Heating) ELC,COMELC,C_EDU-WH,2020,2.5,3.5,4,,,,,,20,1846,1753.7,1718.626,0,0.216895,0.6,1,3
C_EDU-WH_Cylinder-ELC,Education Hot Water Cylinder ELC,COMELC,C_EDU-WH,2020,0.9,,,,,,,,15,727.7778,,,0,0.216895,0.6549,0.6549,3
C_EDU-WH_Cylinder-NGA,Education Hot Water Cylinder NGA,COMNGA,C_EDU-WH,2020,0.6,,,,,,,,15,526.6667,,,0,0.216895,0.2819,0.1,3
C_EDU-WH_Cylinder-LPG,Education Hot Water Cylinder LPG,COMLPG,C_EDU-WH,2020,0.6,,,,,,,,15,526.6667,,,0,0.216895,0.05,0.05,3
C_EDU-WH_Instant-NGA,Education Instant NGA,COMNGA,C_EDU-WH,2020,0.65,,,,,,,,15,49.23077,,,0,0.216895,0.2,0.1,3
C_EDU-WH_Instant-LPG,Education Instant LPG,COMLPG,C_EDU-WH,2020,0.65,,,,,,,,15,49.23077,,,0,0.216895,0.1,0.05,3
C_EDU-WH_Instant-ELC,Education Instant ELC,COMELC,C_EDU-WH,2020,0.85,,,,,,,,15,842.3529,,,0,0.216895,0.05,0.1,3
C_EDU-MPM_-DSL,Education Motive power - mobile DSL,COMDSL,C_EDU-MPM,2020,0.16,,,,,,,,20,929,,,7,0.05,0.8,0.8,3
C_EDU-MPM_-PET,Education Motive power - mobile PET,COMPET,C_EDU-MPM,2020,0.14,,,,,,,,20,900,,,7,0.05,0.2,0.2,3
C_EDU-MPM_-LPG,Education Motive power - mobile LPG,COMLPG,C_EDU-MPM,2020,0.14,,,,,,,,20,900,,,7,0.05,,,
C_EDU-MPM_-ELC,Education Motive power - mobile ELC,COMELC,C_EDU-MPM,2020,0.99,,,,,,,,10,188.8889,,,0,0.05,0.5,1,3
C_EDU-MPM_-H2R,Education Motive power - mobile H2R,COMH2R,C_EDU-MPM,2020,0.5,0.6,0.65,,,,,,10,876,832.2,815.556,2,0.05,0.05,0.5,3
C_EDU-MPS_-DSL,Education Motive power Stationary DSL,COMDSL,C_EDU-MPS,2020,0.16,,,,,,,,20,937.5,,,5,0.216895,0.4,0.4,3
C_EDU-MPS_-PET,Education Motive power Stationary PET,COMPET,C_EDU-MPS,2020,0.14,,,,,,,,20,1071.429,,,5,0.216895,0.4,0.4,3
C_EDU-MPS_-LPG,Education Motive power Stationary LPG,COMLPG,C_EDU-MPS,2020,0.14,,,,,,,,20,1071.429,,,5,0.216895,,,
C_EDU-MPS_-ELC,Education Motive power Stationary ELC,COMELC,C_EDU-MPS,2020,0.86,0.9,0.92,,,,,,10,217.4419,,,0,0.216895,1,1,3
C_EDU-MPS_-H2R,Education Motive power Stationary H2R,COMH2R,C_EDU-MPS,2020,0.5,0.6,0.65,,,,,,10,876,832.2,815.556,2,0.216895,0.1,0.3,3
C_EDU-RF_Refriger-ELC,Education Refrigeration Systems ELC,COMELC,C_EDU-RF,2020,1.8,,,,,,,,8,4166.667,,,5,0.216895,,,
C_EDU-SC_AirHP-ELC,Education Heat Pump Air Source (for Cooling) ELC,COMELC,C_EDU-SC,2020,3.5,4,4.5,,,,,,10,490.8571,466.3143,456.988,0,0.108447,,,
C_EDU-SC_GHP-ELC,Education Heat Pump Ground Source (for Cooling) ELC,COMELC,C_EDU-SC,2020,3.5,4,4.5,,,,,,10,1071.429,1017.857,997.5,0,0.108447,,,
\I:,,,,2020,,,,,,,,,,,,,,,,,
C_HLTH-OTH_ELEC-ELC,Healthcare Electronics ELC,COMELC,C_HLTH-OTH,2020,0.9,0.95,0.96,,,,,,4,5555.556,,,0,0.45625,,,
C_HLTH-LT_INC-ELC,Healthcare Lighting Incandescent ELC,COMELC,C_HLTH-LT,2020,0.015,,,,,,,,1,5866.667,,,0,0.45625,,,
C_HLTH-LT_FLU-ELC,Healthcare Lighting Fluorescent ELC,COMELC,C_HLTH-LT,2020,0.135,,,,,,,,5,9866.667,,,0,0.45625,,,
C_HLTH-LT_LED-ELC,Healthcare Lighting LED ELC,COMELC,C_HLTH-LT,2020,0.25,0.28,0.29,,,,,,20,16000,,,0,0.45625,,,
C_HLTH-SH_Boiler-COA,Healthcare Boiler Systems COA,COMCOA,C_HLTH-SH,2020,0.75,,,,,,,,25,2133.333,,,15,0.342188,0.0307,0,3
C_HLTH-SH_Boiler-DSL,Healthcare Boiler Systems DSL,COMDSL,C_HLTH-SH,2020,0.85,,,,,,,,25,894.1176,,,3,0.342188,0.0055,0,3
C_HLTH-SH_Boiler-FOL,Healthcare Boiler Systems FOL,COMFOL,C_HLTH-SH,2020,0.84,,,,,,,,25,904.7619,,,3,0.342188,0,0,3
C_HLTH-SH_Boiler-LPG,Healthcare Boiler Systems LPG,COMLPG,C_HLTH-SH,2020,0.85,,,,,,,,25,588.2353,,,2,0.342188,0,0,3
C_HLTH-SH_Boiler-NGA,Healthcare Boiler Systems NGA,COMNGA,C_HLTH-SH,2020,0.85,,,,,,,,25,588.2353,,,2,0.342188,0.6784,0.3,3
C_HLTH-SH_Boiler-WOD,Healthcare Boiler Systems WOD,COMWOD,C_HLTH-SH,2020,0.85,,,,,,,,30,2117.647,,,10,0.342188,0.2,0.4,3
C_HLTH-SH_Boiler-PLT,Healthcare Boiler Systems PLT,COMPLT,C_HLTH-SH,2020,0.92,,,,,,,,30,1956.522,,,10,0.342188,0.2,0.4,3
C_HLTH-SH_Boiler-ELC,Healthcare Boiler Systems ELC,COMELC,C_HLTH-SH,2020,0.99,,,,,,,,30,505.0505,,,2,0.342188,0.1,0.4,3
C_HLTH-SH_Boiler-BIG,Healthcare Boiler Systems BIG,COMBIG,C_HLTH-SH,2020,0.85,,,,,,,,25,588.2353,,,2,0.342188,0,0,3
C_HLTH-SH_Boiler-H2R,Healthcare Boiler Systems H2R,COMH2R,C_HLTH-SH,2020,0.75,,,,,,,,25,733.3333,,,2,0.342188,0,0,3
C_HLTH-WH_Boiler-COA,Healthcare Boiler Systems COA,COMCOA,C_HLTH-WH,2020,0.75,,,,,,,,25,2133.333,,,15,0.45625,0.0969,0,3
C_HLTH-WH_Boiler-DSL,Healthcare Boiler Systems DSL,COMDSL,C_HLTH-WH,2020,0.85,,,,,,,,25,894.1176,,,3,0.45625,0,0,3
C_HLTH-WH_Boiler-FOL,Healthcare Boiler Systems FOL,COMFOL,C_HLTH-WH,2020,0.84,,,,,,,,25,904.7619,,,3,0.45625,0.0035,0,3
C_HLTH-WH_Boiler-LPG,Healthcare Boiler Systems LPG,COMLPG,C_HLTH-WH,2020,0.85,,,,,,,,25,588.2353,,,2,0.45625,0.1,0.1,3
C_HLTH-WH_Boiler-NGA,Healthcare Boiler Systems NGA,COMNGA,C_HLTH-WH,2020,0.85,,,,,,,,25,588.2353,,,2,0.45625,0.2,0.2,3
C_HLTH-WH_Boiler-WOD,Healthcare Boiler Systems WOD,COMWOD,C_HLTH-WH,2020,0.85,,,,,,,,30,2117.647,,,10,0.45625,0.2,0.5,3
C_HLTH-WH_Boiler-PLT,Healthcare Boiler Systems PLT,COMPLT,C_HLTH-WH,2020,0.92,,,,,,,,30,1956.522,,,10,0.45625,0.2,0.5,3
C_HLTH-WH_Boiler-ELC,Healthcare Boiler Systems ELC,COMELC,C_HLTH-WH,2020,0.99,,,,,,,,30,505.0505,,,2,0.45625,0.2,0.2,3
C_HLTH-WH_Boiler-BIG,Healthcare Boiler Systems BIG,COMBIG,C_HLTH-WH,2020,0.85,,,,,,,,25,588.2353,,,2,0.45625,0,0,3
C_HLTH-WH_Boiler-H2R,Healthcare Boiler Systems H2R,COMH2R,C_HLTH-WH,2020,0.75,,,,,,,,25,733.3333,,,2,0.45625,0,0,3
C_HLTH-PH_Boiler-COA,Healthcare Boiler Systems COA,COMCOA,C_HLTH-PH,2020,0.75,,,,,,,,25,2133.333,,,15,0.45625,0.0506,0,3
C_HLTH-PH_Boiler-DSL,Healthcare Boiler Systems DSL,COMDSL,C_HLTH-PH,2020,0.85,,,,,,,,25,894.1176,,,3,0.45625,0,0,3
C_HLTH-PH_Boiler-FOL,Healthcare Boiler Systems FOL,COMFOL,C_HLTH-PH,2020,0.84,,,,,,,,25,904.7619,,,3,0.45625,0,0,3
C_HLTH-PH_Boiler-LPG,Healthcare Boiler Systems LPG,COMLPG,C_HLTH-PH,2020,0.85,,,,,,,,25,588.2353,,,2,0.45625,0,0,3
C_HLTH-PH_Boiler-NGA,Healthcare Boiler Systems NGA,COMNGA,C_HLTH-PH,2020,0.85,,,,,,,,25,588.2353,,,2,0.45625,0.2,0.2,3
C_HLTH-PH_Boiler-WOD,Healthcare Boiler Systems WOD,COMWOD,C_HLTH-PH,2020,0.85,,,,,,,,30,2117.647,,,10,0.45625,0.5,0.7,3
C_HLTH-PH_Boiler-PLT,Healthcare Boiler Systems PLT,COMPLT,C_HLTH-PH,2020,0.92,,,,,,,,30,1956.522,,,10,0.45625,0.5,0.7,3
C_HLTH-PH_Boiler-BIG,Healthcare Boiler Systems BIG,COMBIG,C_HLTH-PH,2020,0.85,,,,,,,,25,588.2353,,,2,0.45625,0.02,0.02,3
C_HLTH-PH_Boiler-H2R,Healthcare Boiler Systems H2R,COMH2R,C_HLTH-PH,2020,0.75,,,,,,,,25,733.3333,,,2,0.45625,0,0,3
C_HLTH-WH_DirectH-GEO,Healthcare Direct Heat GEO,COMGEO,C_HLTH-WH,2020,1,,,,,,,,10,100,,,0,0.45625,0.06,0.06,3
C_HLTH-SH_AIRHP-ELC,Healthcare Heat Pump Air Source (for Heating) ELC,COMELC,C_HLTH-SH,2020,,,,3.5,4,4.5,1,,20,490.8571,466.3143,456.988,0,0.342188,0.5,1,3
\I:,,,C_HLTH-SC,,,,,3,3.5,4,1,,,,,,,,,,
C_HLTH-SH_GHP-ELC,Healthcare Heat Pump Ground Source (for Heating) ELC,COMELC,C_HLTH-SH,2020,,,,3.5,4,4.5,1,,20,1846,1753.7,1718.626,0,0.342188,0.5,1,3
\I:,,,C_HLTH-SC,,,,,3,3.5,4,1,,,,,,,,,,
C_HLTH-SH_RH-ELC,Healthcare Resistance Heater ELC,COMELC,C_HLTH-SH,2020,0.99,,,,,,,,10,80.80808,,,0,0.342188,0.5,0.6,3
C_HLTH-WH_AIRHP-ELC,Healthcare Heat Pump Air Source (for Heating) ELC,COMELC,C_HLTH-WH,2020,2.5,3.5,4,,,,,,20,1500,1425,1396.5,0,0.45625,0.6,1,3
C_HLTH-WH_GHP-ELC,Healthcare Heat Pump Ground Source (for Heating) ELC,COMELC,C_HLTH-WH,2020,2.5,3.5,4,,,,,,20,1846,1753.7,1718.626,0,0.45625,0.6,1,3
C_HLTH-WH_Cylinder-ELC,Healthcare Hot Water Cylinder ELC,COMELC,C_HLTH-WH,2020,0.9,,,,,,,,15,727.7778,,,0,0.45625,0.8185,0.8185,3
C_HLTH-WH_Cylinder-NGA,Healthcare Hot Water Cylinder NGA,COMNGA,C_HLTH-WH,2020,0.6,,,,,,,,15,526.6667,,,0,0.45625,0.2,0.2,3
