Sets,TechName,* Sector,* Subsector,* Technology,* Fuel,TechDesc,* OLD TechDesc,Tact,Tcap,Tslvl,PrimaryCG,Vintage
\I: Process Set Membership,Technology Name,,,,,,Technology Description,Activity Unit,Capacity Unit,Timeslice Operational Level,Operational Commodity Group,Vintage Tracking
DMD,R_DDW-SH_HP-ELC,Residential,Detached Dwellings,Heat Pump,Electricity,Residential -:- Detached Dwellings -:- Heat Pump -:- Electricity,Detached dwellings - Heat/Cooling Devices - Heat Pump (for Heating),PJ,GW,,,
\I:,R_DDW-SC_HP-ELC,Residential,Detached Dwellings,Heat Pump,Electricity,Residential -:- Detached Dwellings -:- Heat Pump -:- Electricity,Detached dwellings - Heat/Cooling Devices - Heat Pump (for Cooling),PJ,GW,,,
\I:,\I:,,,,,,Detached dwellings - Heat/Cooling Devices - Ground Source Heat Pump (for Heating),PJ,GW,,,
\I:,\I:,,,,,,Detached dwellings - Heat/Cooling Devices - Ground Source Heat Pump (for Cooling),PJ,GW,,,
\I:,\I:,,,,,,Detached dwellings - Heat/Cooling Devices - Water Source Heat Pump (for Heating),PJ,GW,,,
\I:,\I:,,,,,,Detached dwellings - Heat/Cooling Devices - Water Source Heat Pump (for Cooling),PJ,GW,,,
DMD,R_DDW-SH_DUCHP-ELC,Residential,Detached Dwellings,Heat Pump (Ducted),Electricity,Residential -:- Detached Dwellings -:- Heat Pump (Ducted) -:- Electricity,Detached dwellings - Heat/Cooling Devices - Ducted Heat Pump (for Heating),PJ,GW,,,
\I:,R_DDW-SH_DUCHP-ELC,,,,,,Detached dwellings - Heat/Cooling Devices - Ducted Heat Pump (for Cooling),PJ,GW,,,
DMD,R_DDW-SH_MSHP-ELC,Residential,Detached Dwellings,Heat Pump (Multi-Split),Electricity,Residential -:- Detached Dwellings -:- Heat Pump (Multi-Split) -:- Electricity,Detached dwellings - Heat/Cooling Devices - Multi-Split Heat Pump (for Heating),PJ,GW,,,
\I:,R_DDW-SH_MSHP-ELC,,,,,,Detached dwellings - Heat/Cooling Devices - Multi-Split Heat Pump (for Cooling),PJ,GW,,,
DMD,R_DDW-SH_Centrgasheat-NGA,Residential,Detached Dwellings,Central Gas Heater,Natural Gas,Residential -:- Detached Dwellings -:- Central Gas Heater -:- Natural Gas,Detached dwellings - Heat/Cooling Devices - Centralised Gas Heating,PJ,GW,,,
DMD,R_DDW-WH_HWC-SOL,Residential,Detached Dwellings,Hot Water Cylinder,Solar,Residential -:- Detached Dwellings -:- Hot Water Cylinder -:- Solar,Detached dwellings - Heat/Cooling Devices - Hot Water Cylinder,PJ,GW,,,
DMD,R_DDW-WH_HWC-ELC,Residential,Detached Dwellings,Hot Water Cylinder,Electricity,Residential -:- Detached Dwellings -:- Hot Water Cylinder -:- Electricity,Detached dwellings - Heat/Cooling Devices - Hot Water Cylinder,PJ,GW,,,
