TechName,*TechDesc,Comm-IN,Comm-OUT,EFF,AFA,AFA~LO,Life,CAP2ACT,INVCOST,FIXOM,Start,Flo_mark,CEFF,*Share-O,*Share-O~0,*FLO_MARK,*FLO_MARK~2030,*FLO_MARK~2050,*FLO_MARK~0
\I: Technology Name,Technology Description,Input Commodity,Output Commodity,Efficiency,Annual Availability Factor,Annual Availability Factor,Lifetime of Process,Capacity to Activity Factor,Investment cost,O&M costs,First available year,,Efficiency,,,,,,
\I:    R_DDW-SH_HP-ELC,Detached dwellings - Heat/Cooling Devices - Heat Pump (for Heating),RESELC,R_DDW-SH,3.75,0.082,0.062,12,31.536,558,,2020,,,,,,,,
\I:    R_DDW-SC_HP-ELC,Detached dwellings - Heat/Cooling Devices - Heat Pump (for Cooling),RESELC,R_DDW-SC,3.45,0.0114,0.009,12,31.536,685,,2020,,,,,,,,
R_DDW-SH_HP-ELC,Detached dwellings - Heat/Cooling Devices - Heat Pump (for Heating),RESELC,R_DDW-SH,3.71,0.0934,0.071,12,31.536,558,,2020,,,0.877944325481799,5,,,,
,,,R_DDW-SC,,,,,,,,,,,0.122055674518201,5,,,,
\I:    R_DDW-SC_HP-ELC,Detached dwellings - Heat/Cooling Devices - Heat Pump (for Cooling),RESELC,R_DDW-SC,3.45,0.0114,0.00855,12,31.536,685.428571428571,,2020,,,,,,,,
\I:,Detached dwellings - Heat/Cooling Devices - Ground Source Heat Pump (for Heating),RESELC,R_DDW-SH,4.5,0.082,0.0615,50,31.536,10000000000,,2020,,,,,,,,
\I:,Detached dwellings - Heat/Cooling Devices - Ground Source Heat Pump (for Cooling),RESELC,R_DDW-SH,4,0.0114,0.00855,50,31.536,10000000000,,2020,,,,,,,,
\I:,Detached dwellings - Heat/Cooling Devices - Water Source Heat Pump (for Heating),RESELC,R_DDW-SH,0,0.082,0.0615,25,31.536,10000000000,,2020,,,,,,,,
\I:,Detached dwellings - Heat/Cooling Devices - Water Source Heat Pump (for Cooling),RESELC,R_DDW-SH,0,0.0114,0.00855,25,31.536,10000000000,,2020,,,,,,,,
\I:    R_DDW-SH_DUCHP-ELC,Detached dwellings - Heat/Cooling Devices - Ducted Heat Pump (for Heating),RESELC,R_DDW-SH,3.75,0.082,0.0615,15,31.536,1500,,2020,,,,,,,,
\I:    R_DDW-SH_DUCHP-ELC,Detached dwellings - Heat/Cooling Devices - Ducted Heat Pump (for Cooling),RESELC,R_DDW-SC,3.45,0.0114,0.00855,15,31.536,1875,,2020,,,,,,,,
R_DDW-SH_DUCHP-ELC,Detached dwellings - Heat/Cooling Devices - Ducted Heat Pump (for Heating),RESELC,R_DDW-SH,3.71,0.0934,0.07005,15,31.536,1500,,2020,,,0.877944325481799,5,,,,
,,,R_DDW-SC,,,,,,,,,,,0.122055674518201,5,,,,
\I:    R_DDW-SH_MSHP-ELC,Detached dwellings - Heat/Cooling Devices - Multi-Split Heat Pump (for Heating),RESELC,R_DDW-SH,3.75,0.082,0.0615,15,31.536,625,,2020,,,,,,,,
\I:    R_DDW-SH_MSHP-ELC,Detached dwellings - Heat/Cooling Devices - Multi-Split Heat Pump (for Cooling),RESELC,R_DDW-SC,3.45,0.0114,0.00855,15,31.536,781.25,,2020,,,,,,,,
R_DDW-SH_MSHP-ELC,Detached dwellings - Heat/Cooling Devices - Multi-Split Heat Pump (for Heating),RESELC,R_DDW-SH,3.71,0.0934,0.07005,15,31.536,625,,2020,,,0.877944325481799,5,,,,
,,,R_DDW-SC,,,,,,,,,,,0.122055674518201,5,,,,
R_DDW-SH_Centrgasheat-NGA,Detached dwellings - Heat/Cooling Devices - Centralised Gas Heating,RESNGA,R_DDW-SH,0.8,0.082,0.0615,30,31.536,776,150,2020,,,,,,,,
R_DDW-WH_HWC-SOL,Detached dwellings - Heat/Cooling Devices - Hot Water Cylinder,RESSOL,R_DDW-WH,,0.125,,20,31.536,2121,,2020,,0.6,,,,,,
,,RESELC,,,,,,,,,,,1,,,,,,
R_DDW-WH_HWC-ELC,Detached dwellings - Heat/Cooling Devices - Hot Water Cylinder,RESELC,R_DDW-WH,1,0.125,0.09375,20,31.536,757.58,,2020,,,,,,,,
R_DDW-WH_Gasheat-NGA,Detached dwellings - Heat/Cooling Devices - Gas Water Heater,RESNGA,R_DDW-WH,0.8,0.042,0.0315,20,31.536,250,150,2020,,,,,,,,
R_DDW-WH_Gasheat-LPG,Detached dwellings - Heat/Cooling Devices - Gas Water Heater,RESLPG,R_DDW-WH,0.8,0.042,0.0315,20,31.536,250,150,2020,,,,,,,,
R_DDW-WH_HP-ELC,Detached dwellings - Heat/Cooling Devices - Heat Pump (Water Heating),RESELC,R_DDW-WH,2,0.125,0.09375,12,31.536,1818.2,,2020,,,,,,,,
R_DDW-RF_Refriger-ELC,Detached dwellings - Heat/Cooling Devices - Refrigeration systems,RESELC,R_DDW-RF,1.8,1,0.75,18,31.536,3280,,2020,,,,,,,,
R_DDW-CK_IndCook-ELC,Detached dwellings - Heat/Cooling Devices - Induction Cooktops,RESELC,R_DDW-CK,0.9,0.0416,0.0312,8,31.536,745.454545454545,,2020,,,,,,,,
R_DDW-DW_Dwash-ELC,Detached dwellings - Heat/Cooling Devices - Dishwashers,RESELC,R_DDW-DW,0.25,0.0416,0.0312,15,31.536,2640,,2020,,,,,,,,
R_DDW-CW_Washer-ELC,Detached dwellings - Heat/Cooling Devices - Clothes Washers,RESELC,R_DDW-CW,0.25,0.0416,0.0312,15,31.536,3994.66666666667,,2020,,,,,,,,
R_DDW-CD_Hpdryer-ELC,Detached dwellings - Heat/Cooling Devices - Heat Pump Dryer,RESELC,R_DDW-CD,1,0.0059,0.004425,15,31.536,2212,,2020,,,,,,,,
R_JDW-SH_HP-ELC,Joined dwellings - Heat/Cooling Devices - Heat Pump (for Heating),RESELC,R_JDW-SH,3.75,0.0821,0.061575,12,31.536,702.8125,,2020,,,,,,,,
R_JDW-SC_HP-ELC,Joined dwellings - Heat/Cooling Devices - Heat Pump (for Cooling),RESELC,R_JDW-SC,3.45,0.0114,0.00855,12,31.536,899.6,,2020,,,,,,,,
\I:,Joined dwellings - Heat/Cooling Devices - Ground Source Heat Pump (for Heating),RESELC,R_JDW-SH,4.5,0.082,0.0615,50,31.536,10000000000,,2020,,,,,,,,
\I:,Joined dwellings - Heat/Cooling Devices - Ground Source Heat Pump (for Cooling),RESELC,R_JDW-SH,4,0.0114,0.00855,50,31.536,10000000000,,2020,,,,,,,,
\I:,Joined dwellings - Heat/Cooling Devices - Water Source Heat Pump (for Heating),RESELC,R_JDW-SH,0,0.082,0.0615,25,31.536,10000000000,,2020,,,,,,,,
\I:,Joined dwellings - Heat/Cooling Devices - Water Source Heat Pump (for Cooling),RESELC,R_JDW-SH,0,0.0114,0.00855,25,31.536,10000000000,,2020,,,,,,,,
