Sets,TechName,* Sector,* Subsector,* Technology,* Fuel,TechDesc,* OLD TechDesc,Tact,Tcap,Tslvl,PrimaryCG,Vintage
\I: Process Set Membership,Technology Name,,,,,,Technology Description,Activity Unit,Capacity Unit,Timeslice Operational Level,Operational Commodity Group,Vintage Tracking
DMD,T_P_CICEPET,Transport,Road Transport,Internal Combustion Engine,Petrol,Transport -:- Road Transport -:- Internal Combustion Engine -:- Petrol,light passenger vehicles - Petrol ICE - Car/SUV - New,BVkm,000vehicles,,,YES
DMD,T_P_CICEDSL,Transport,Road Transport,Internal Combustion Engine,Diesel,Transport -:- Road Transport -:- Internal Combustion Engine -:- Diesel,light passenger vehicles - Diesel ICE - Car/SUV - New,BVkm,000vehicles,,,YES
DMD,T_P_CHYBPET,Transport,Road Transport,Hybrid Vehicle,Petrol,Transport -:- Road Transport -:- Hybrid Vehicle -:- Petrol,light passenger vehicles - Petrol hybrid - Car/SUV - New,BVkm,000vehicles,,,YES
DMD,T_P_CHYBDSL,Transport,Road Transport,Hybrid Vehicle,Diesel,Transport -:- Road Transport -:- Hybrid Vehicle -:- Diesel,light passenger vehicles - Diesel Hybrid - Car/SUV - New,BVkm,000vehicles,,,YES
DMD,T_P_CBEVELC,Transport,Road Transport,Battery Electric Vehicle,Electricity,Transport -:- Road Transport -:- Battery Electric Vehicle -:- Electricity,light passenger vehicles - Battery Electric Vehicle - Car/SUV - New,BVkm,000vehicles,,,YES
DMD,T_P_CFCH2R,Transport,Road Transport,Hydrogen Fuel Cell,Hydrogen,Transport -:- Road Transport -:- Hydrogen Fuel Cell -:- Hydrogen,light passenger vehicles - Hydrogen Fuel Cell Vehicle - Car/SUV - New,BVkm,000vehicles,,,YES
DMD,T_P_CPHEVPET,Transport,Road Transport,Plug-In Hybrid Vehicle,Electricity,Transport -:- Road Transport -:- Plug-In Hybrid Vehicle -:- Electricity,light passenger vehicles - Petrol Plug-in Hybrid - Car/SUV - New,BVkm,000vehicles,,,YES
DMD,T_P_CPHEVDSL,Transport,Road Transport,Plug-In Hybrid Vehicle,Diesel,Transport -:- Road Transport -:- Plug-In Hybrid Vehicle -:- Diesel,light passenger vehicles - Diesel Plug-in Hybrid - Car/SUV - New,BVkm,000vehicles,,,YES
DMD,T_C_CICEPET,Transport,Road Transport,Internal Combustion Engine,Petrol,Transport -:- Road Transport -:- Internal Combustion Engine -:- Petrol,light commercial vehicles - Petrol ICE - Van/Ute - New,BVkm,000vehicles,,,YES
DMD,T_C_CICEDSL,Transport,Road Transport,Internal Combustion Engine,Diesel,Transport -:- Road Transport -:- Internal Combustion Engine -:- Diesel,light commercial vehicles - Diesel ICE - Van/Ute - New,BVkm,000vehicles,,,YES
DMD,T_C_CHYBPET,Transport,Road Transport,Hybrid Vehicle,Petrol,Transport -:- Road Transport -:- Hybrid Vehicle -:- Petrol,light commercial vehicles - Petrol hybrid - Van/Ute - New,BVkm,000vehicles,,,YES
DMD,T_C_CHYBDSL,Transport,Road Transport,Hybrid Vehicle,Diesel,Transport -:- Road Transport -:- Hybrid Vehicle -:- Diesel,light commercial vehicles - Diesel Hybrid - Van/Ute - New,BVkm,000vehicles,,,YES
DMD,T_C_CBEVELC,Transport,Road Transport,Battery Electric Vehicle,Electricity,Transport -:- Road Transport -:- Battery Electric Vehicle -:- Electricity,light commercial vehicles - Battery Electric Vehicle - Van/Ute - New,BVkm,000vehicles,,,YES
DMD,T_C_CFCH2R,Transport,Road Transport,Hydrogen Fuel Cell,Hydrogen,Transport -:- Road Transport -:- Hydrogen Fuel Cell -:- Hydrogen,light commercial vehicles - Hydrogen Fuel Cell Vehicle - Van/Ute - New,BVkm,000vehicles,,,YES
DMD,T_C_CPHEVPET,Transport,Road Transport,Plug-In Hybrid Vehicle,Petrol,Transport -:- Road Transport -:- Plug-In Hybrid Vehicle -:- Petrol,light commercial vehicles - Petrol Plug-in Hybrid - Van/Ute - New,BVkm,000vehicles,,,YES
DMD,T_C_CPHEVDSL,Transport,Road Transport,Plug-In Hybrid Vehicle,Diesel,Transport -:- Road Transport -:- Plug-In Hybrid Vehicle -:- Diesel,light commercial vehicles - Diesel Plug-in Hybrid - Van/Ute - New,BVkm,000vehicles,,,YES
