TimeSlice,LimType,Attribute,Year,NI,SI,Pset_Set,Pset_PN
SUM-WK-D,UP,NCAP_AF,,0.500293988865954,0.436804903984487,,EHYD*RR*
SUM-WK-N,UP,NCAP_AF,,0.235174495470752,0.202866178201607,,EHYD*RR*
SUM-WK-P,UP,NCAP_AF,,0.428201485135244,0.361032624721872,,EHYD*RR*
SUM-WE-D,UP,NCAP_AF,,0.471307937699381,0.384218427472321,,EHYD*RR*
SUM-WE-N,UP,NCAP_AF,,0.235612149156904,0.193457898828512,,EHYD*RR*
SUM-WE-P,UP,NCAP_AF,,0.401050853818728,0.313229498967911,,EHYD*RR*
FAL-WK-D,UP,NCAP_AF,,0.509222237043502,0.567491448247484,,EHYD*RR*
FAL-WK-N,UP,NCAP_AF,,0.244070182022894,0.245572152373804,,EHYD*RR*
FAL-WK-P,UP,NCAP_AF,,0.399899605929818,0.501282604616251,,EHYD*RR*
FAL-WE-D,UP,NCAP_AF,,0.474799107608265,0.460834427972728,,EHYD*RR*
FAL-WE-N,UP,NCAP_AF,,0.239394508037781,0.2319134296616,,EHYD*RR*
FAL-WE-P,UP,NCAP_AF,,0.416945434832468,0.455847042388607,,EHYD*RR*
WIN-WK-D,UP,NCAP_AF,,0.733432027980566,0.881638499955913,,EHYD*RR*
WIN-WK-N,UP,NCAP_AF,,0.373990617376619,0.410037905798461,,EHYD*RR*
WIN-WK-P,UP,NCAP_AF,,0.599849408894727,0.751923906924376,,EHYD*RR*
WIN-WE-D,UP,NCAP_AF,,0.705851079759881,0.716007210403908,,EHYD*RR*
WIN-WE-N,UP,NCAP_AF,,0.362084193407143,0.385275536373303,,EHYD*RR*
WIN-WE-P,UP,NCAP_AF,,0.621428243781406,0.710203707178749,,EHYD*RR*
SPR-WK-D,UP,NCAP_AF,,0.679772986283062,0.712747049050524,,EHYD*RR*
SPR-WK-N,UP,NCAP_AF,,0.342532886622066,0.32976302023484,,EHYD*RR*
SPR-WK-P,UP,NCAP_AF,,0.600624882717208,0.596380183899418,,EHYD*RR*
SPR-WE-D,UP,NCAP_AF,,0.650461530296396,0.567584192459404,,EHYD*RR*
SPR-WE-N,UP,NCAP_AF,,0.358844943869836,0.318886227412715,,EHYD*RR*
SPR-WE-P,UP,NCAP_AF,,0.548569045682951,0.467664977794458,,EHYD*RR*
