TimeSlice,LimType,Attribute,Year,NI,SI,Pset_Set,Pset_PN
SUM-WK-D,FX,NCAP_AF,,0.584099580909489,0.624732595233627,,ESO*IND*
SUM-WK-N,FX,NCAP_AF,,0.000751356215561507,0,,ESO*IND*
SUM-WK-P,FX,NCAP_AF,,0.165823124145511,0.239289065222636,,ESO*IND*
SUM-WE-D,FX,NCAP_AF,,0.631398949146181,0.63396040532933,,ESO*IND*
SUM-WE-N,FX,NCAP_AF,,0.000752754470149854,0,,ESO*IND*
SUM-WE-P,FX,NCAP_AF,,0.183449052355038,0.25175455057234,,ESO*IND*
FAL-WK-D,FX,NCAP_AF,,0.190008297404292,0.171007467663862,,ESO*IND*
FAL-WK-N,FX,NCAP_AF,,0,0,,ESO*IND*
FAL-WK-P,FX,NCAP_AF,,0.00375492587727529,0.00938731469318821,,ESO*IND*
FAL-WE-D,FX,NCAP_AF,,0.187888416914501,0.179001802600977,,ESO*IND*
FAL-WE-N,FX,NCAP_AF,,0,0,,ESO*IND*
FAL-WE-P,FX,NCAP_AF,,0.00299243135047226,0.011969725401889,,ESO*IND*
WIN-WK-D,FX,NCAP_AF,,0.102604480598317,0.0810702068924977,,ESO*IND*
WIN-WK-N,FX,NCAP_AF,,0,0,,ESO*IND*
WIN-WK-P,FX,NCAP_AF,,0,0,,ESO*IND*
WIN-WE-D,FX,NCAP_AF,,0.102830822770774,0.0812490451522165,,ESO*IND*
WIN-WE-N,FX,NCAP_AF,,0,0,,ESO*IND*
WIN-WE-P,FX,NCAP_AF,,0,0,,ESO*IND*
SPR-WK-D,FX,NCAP_AF,,0.404566385493091,0.41724871732673,,ESO*IND*
SPR-WK-N,FX,NCAP_AF,,0,0,,ESO*IND*
SPR-WK-P,FX,NCAP_AF,,0.0382022893601051,0.0976280728091574,,ESO*IND*
SPR-WE-D,FX,NCAP_AF,,0.424432427104598,0.384249475426056,,ESO*IND*
SPR-WE-N,FX,NCAP_AF,,0,0,,ESO*IND*
SPR-WE-P,FX,NCAP_AF,,0.0374921290214966,0.0720243531202435,,ESO*IND*
