TimeSlice,LimType,Attribute,Year,NI,SI,Pset_Set,Pset_PN
SUM-WK-D,FX,NCAP_AF,,0.642509539000438,0.664095827860136,,ESO*UTI*FIX*
SUM-WK-N,FX,NCAP_AF,,0.000751356215561507,0.000751356215561507,,ESO*UTI*FIX*
SUM-WK-P,FX,NCAP_AF,,0.172120204809265,0.352636517170201,,ESO*UTI*FIX*
SUM-WE-D,FX,NCAP_AF,,0.687750985175455,0.658294239069244,,ESO*UTI*FIX*
SUM-WE-N,FX,NCAP_AF,,0.000752754470149854,0.000752754470149854,,ESO*UTI*FIX*
SUM-WE-P,FX,NCAP_AF,,0.19223118784012,0.326890598611372,,ESO*UTI*FIX*
FAL-WK-D,FX,NCAP_AF,,0.198875351283159,0.195075185335073,,ESO*UTI*FIX*
FAL-WK-N,FX,NCAP_AF,,0,0,,ESO*UTI*FIX*
FAL-WK-P,FX,NCAP_AF,,0.00187746293863764,0.0253457496716082,,ESO*UTI*FIX*
FAL-WE-D,FX,NCAP_AF,,0.191696965906011,0.192966482236514,,ESO*UTI*FIX*
FAL-WE-N,FX,NCAP_AF,,0,0,,ESO*UTI*FIX*
FAL-WE-P,FX,NCAP_AF,,0.00299243135047226,0.0189520652196576,,ESO*UTI*FIX*
WIN-WK-D,FX,NCAP_AF,,0.105137924563708,0.0988043146502316,,ESO*UTI*FIX*
WIN-WK-N,FX,NCAP_AF,,0,0,,ESO*UTI*FIX*
WIN-WK-P,FX,NCAP_AF,,0,0.000938731469318822,,ESO*UTI*FIX*
WIN-WE-D,FX,NCAP_AF,,0.106639371762284,0.100291790109767,,ESO*UTI*FIX*
WIN-WE-N,FX,NCAP_AF,,0,0,,ESO*UTI*FIX*
WIN-WE-P,FX,NCAP_AF,,0,0,,ESO*UTI*FIX*
SPR-WK-D,FX,NCAP_AF,,0.451491013277556,0.433735748710461,,ESO*UTI*FIX*
SPR-WK-N,FX,NCAP_AF,,0,0,,ESO*UTI*FIX*
SPR-WK-P,FX,NCAP_AF,,0.0435081628823419,0.141136235691499,,ESO*UTI*FIX*
SPR-WE-D,FX,NCAP_AF,,0.473405399462821,0.431966730544325,,ESO*UTI*FIX*
SPR-WE-N,FX,NCAP_AF,,0,0,,ESO*UTI*FIX*
SPR-WE-P,FX,NCAP_AF,,0.0315723191759972,0.144048706240487,,ESO*UTI*FIX*
