TimeSlice,LimType,Attribute,Year,NI,SI,Pset_Set,Pset_PN
SUM-WK-D,FX,NCAP_AF,,0.591718271095265,0.632351285419403,,ESO*DIST*
SUM-WK-N,FX,NCAP_AF,,0.000751356215561507,0.000751356215561507,,ESO*DIST*
SUM-WK-P,FX,NCAP_AF,,0.188912419912608,0.257130793769938,,ESO*DIST*
SUM-WE-D,FX,NCAP_AF,,0.632679677237756,0.616030212047288,,ESO*DIST*
SUM-WE-N,FX,NCAP_AF,,0.000752754470149854,0.000752754470149854,,ESO*DIST*
SUM-WE-P,FX,NCAP_AF,,0.208819665978608,0.242972415087258,,ESO*DIST*
FAL-WK-D,FX,NCAP_AF,,0.183674687490815,0.171007467663862,,ESO*DIST*
FAL-WK-N,FX,NCAP_AF,,0,0,,ESO*DIST*
FAL-WK-P,FX,NCAP_AF,,0.00375492587727529,0.010326046162507,,ESO*DIST*
FAL-WE-D,FX,NCAP_AF,,0.179001802600977,0.179001802600977,,ESO*DIST*
FAL-WE-N,FX,NCAP_AF,,0,0,,ESO*DIST*
FAL-WE-P,FX,NCAP_AF,,0.00398990846729635,0.0139646796355372,,ESO*DIST*
WIN-WK-D,FX,NCAP_AF,,0.0950041487021458,0.0861370948232789,,ESO*DIST*
WIN-WK-N,FX,NCAP_AF,,0,0,,ESO*DIST*
WIN-WK-P,FX,NCAP_AF,,0,0.000938731469318822,,ESO*DIST*
WIN-WE-D,FX,NCAP_AF,,0.100291790109767,0.0875966268047334,,ESO*DIST*
WIN-WE-N,FX,NCAP_AF,,0,0,,ESO*DIST*
WIN-WE-P,FX,NCAP_AF,,0,0,,ESO*DIST*
SPR-WK-D,FX,NCAP_AF,,0.404566385493091,0.403298152309727,,ESO*DIST*
SPR-WK-N,FX,NCAP_AF,,0,0,,ESO*DIST*
SPR-WK-P,FX,NCAP_AF,,0.0435081628823419,0.0891386751735785,,ESO*DIST*
SPR-WE-D,FX,NCAP_AF,,0.436989599504143,0.393039496105737,,ESO*DIST*
SPR-WE-N,FX,NCAP_AF,,0,0,,ESO*DIST*
SPR-WE-P,FX,NCAP_AF,,0.0424253038927462,0.0809040678884927,,ESO*DIST*
