TimeSlice,LimType,Attribute,Year,NI,SI,Pset_Set,Pset_PN
SUM-WK-D,FX,NCAP_AF,,0.67679364483643,0.759329455182336,,ESO*UTI*TRA*
SUM-WK-N,FX,NCAP_AF,,0,0.000751356215561507,,ESO*UTI*TRA*
SUM-WK-P,FX,NCAP_AF,,0.302259871860172,0.434498565798997,,ESO*UTI*TRA*
SUM-WE-D,FX,NCAP_AF,,0.738980108838431,0.745383749296303,,ESO*UTI*TRA*
SUM-WE-N,FX,NCAP_AF,,0,0.000752754470149854,,ESO*UTI*TRA*
SUM-WE-P,FX,NCAP_AF,,0.362019140551698,0.406905610808782,,ESO*UTI*TRA*
FAL-WK-D,FX,NCAP_AF,,0.272345226279485,0.240677176712103,,ESO*UTI*TRA*
FAL-WK-N,FX,NCAP_AF,,0,0,,ESO*UTI*TRA*
FAL-WK-P,FX,NCAP_AF,,0.00281619440795646,0.0328556014261588,,ESO*UTI*TRA*
FAL-WE-D,FX,NCAP_AF,,0.25517278243118,0.24755568444816,,ESO*UTI*TRA*
FAL-WE-N,FX,NCAP_AF,,0,0,,ESO*UTI*TRA*
FAL-WE-P,FX,NCAP_AF,,0.00598486270094452,0.0319192677383708,,ESO*UTI*TRA*
WIN-WK-D,FX,NCAP_AF,,0.164673857750386,0.129205642234918,,ESO*UTI*TRA*
WIN-WK-N,FX,NCAP_AF,,0,0,,ESO*UTI*TRA*
WIN-WK-P,FX,NCAP_AF,,0,0.000938731469318822,,ESO*UTI*TRA*
WIN-WE-D,FX,NCAP_AF,,0.157420024982419,0.143455345346882,,ESO*UTI*TRA*
WIN-WE-N,FX,NCAP_AF,,0,0,,ESO*UTI*TRA*
WIN-WE-P,FX,NCAP_AF,,0,0,,ESO*UTI*TRA*
SPR-WK-D,FX,NCAP_AF,,0.513634439262388,0.506025040162205,,ESO*UTI*TRA*
SPR-WK-N,FX,NCAP_AF,,0,0,,ESO*UTI*TRA*
SPR-WK-P,FX,NCAP_AF,,0.0870163257646838,0.168726778007131,,ESO*UTI*TRA*
SPR-WE-D,FX,NCAP_AF,,0.55251558557995,0.482195420142502,,ESO*UTI*TRA*
SPR-WE-N,FX,NCAP_AF,,0,0,,ESO*UTI*TRA*
SPR-WE-P,FX,NCAP_AF,,0.0562381935322449,0.154901690957236,,ESO*UTI*TRA*
