TimeSlice,LimType,Attribute,Year,NI,SI,Pset_Set,Pset_PN
SUM-WK-D,UP,NCAP_AF,,0.438074685682117,0.458391192844186,,EWIN*OFF*FIX*
SUM-WK-N,UP,NCAP_AF,,0.243439413841928,0.235925851686313,,EWIN*OFF*FIX*
SUM-WK-P,UP,NCAP_AF,,0.350537490282283,0.325349167627269,,EWIN*OFF*FIX*
SUM-WE-D,UP,NCAP_AF,,0.443131919684744,0.467465753424658,,EWIN*OFF*FIX*
SUM-WE-N,UP,NCAP_AF,,0.244645202798702,0.236364903627054,,EWIN*OFF*FIX*
SUM-WE-P,UP,NCAP_AF,,0.325914805779696,0.306398949146181,,EWIN*OFF*FIX*
FAL-WK-D,UP,NCAP_AF,,0.511755681008892,0.452219747822214,,EWIN*OFF*FIX*
FAL-WK-N,UP,NCAP_AF,,0.286876337023832,0.247825107900169,,EWIN*OFF*FIX*
FAL-WK-P,UP,NCAP_AF,,0.37455385625821,0.311658847813849,,EWIN*OFF*FIX*
FAL-WE-D,UP,NCAP_AF,,0.496380885226823,0.446869748337191,,EWIN*OFF*FIX*
FAL-WE-N,UP,NCAP_AF,,0.279044223431538,0.237150184524927,,EWIN*OFF*FIX*
FAL-WE-P,UP,NCAP_AF,,0.390013552678218,0.324180062967828,,EWIN*OFF*FIX*
WIN-WK-D,UP,NCAP_AF,,0.599159497814866,0.466153689631862,,EWIN*OFF*FIX*
WIN-WK-N,UP,NCAP_AF,,0.343200225182961,0.268101707637455,,EWIN*OFF*FIX*
WIN-WK-P,UP,NCAP_AF,,0.442142522049165,0.328556014261588,,EWIN*OFF*FIX*
WIN-WE-D,UP,NCAP_AF,,0.61190687130263,0.503997983209843,,EWIN*OFF*FIX*
WIN-WE-N,UP,NCAP_AF,,0.35161068368049,0.282784762619629,,EWIN*OFF*FIX*
WIN-WE-P,UP,NCAP_AF,,0.475796584725089,0.378043827276329,,EWIN*OFF*FIX*
SPR-WK-D,UP,NCAP_AF,,0.563095533413581,0.476855676944835,,EWIN*OFF*FIX*
SPR-WK-N,UP,NCAP_AF,,0.319246659680653,0.253143821911483,,EWIN*OFF*FIX*
SPR-WK-P,UP,NCAP_AF,,0.456305122912366,0.353371176580972,,EWIN*OFF*FIX*
SPR-WE-D,UP,NCAP_AF,,0.582652799338857,0.489729723582229,,EWIN*OFF*FIX*
SPR-WE-N,UP,NCAP_AF,,0.343174858984691,0.266391443047477,,EWIN*OFF*FIX*
SPR-WE-P,UP,NCAP_AF,,0.44595900836096,0.360121765601218,,EWIN*OFF*FIX*
