TimeSlice,LimType,Attribute,Year,NI,SI,Pset_Set,Pset_PN
SUM-WK-D,UP,NCAP_AF,,0.516801150935135,0.519340714330393,,EWIN*HIGHCF*
SUM-WK-N,UP,NCAP_AF,,0.296785705146795,0.286266718128934,,EWIN*HIGHCF*
SUM-WK-P,UP,NCAP_AF,,0.456538348122135,0.446043213682546,,EWIN*HIGHCF*
SUM-WE-D,UP,NCAP_AF,,0.531502158003378,0.637802589604053,,EWIN*HIGHCF*
SUM-WE-N,UP,NCAP_AF,,0.30938208723159,0.356805618851031,,EWIN*HIGHCF*
SUM-WE-P,UP,NCAP_AF,,0.472283730531056,0.501557515481328,,EWIN*HIGHCF*
FAL-WK-D,UP,NCAP_AF,,0.500355183164635,0.461086801701081,,EWIN*HIGHCF*
FAL-WK-N,UP,NCAP_AF,,0.296639144304748,0.277113529742916,,EWIN*HIGHCF*
FAL-WK-P,UP,NCAP_AF,,0.38206370801276,0.32667855132295,,EWIN*HIGHCF*
FAL-WE-D,UP,NCAP_AF,,0.459564911642224,0.441791683015177,,EWIN*HIGHCF*
FAL-WE-N,UP,NCAP_AF,,0.289517733158191,0.25136423343967,,EWIN*HIGHCF*
FAL-WE-P,UP,NCAP_AF,,0.373056441692208,0.339142219720189,,EWIN*HIGHCF*
WIN-WK-D,UP,NCAP_AF,,0.490221407303072,0.487687963337682,,EWIN*HIGHCF*
WIN-WK-N,UP,NCAP_AF,,0.284623381497467,0.316164758866579,,EWIN*HIGHCF*
WIN-WK-P,UP,NCAP_AF,,0.363289078626384,0.357656689810471,,EWIN*HIGHCF*
WIN-WE-D,UP,NCAP_AF,,0.52177121183689,0.559856701751992,,EWIN*HIGHCF*
WIN-WE-N,UP,NCAP_AF,,0.30148745856008,0.348618252330018,,EWIN*HIGHCF*
WIN-WE-P,UP,NCAP_AF,,0.421932820416589,0.451857133921311,,EWIN*HIGHCF*
SPR-WK-D,UP,NCAP_AF,,0.551681434763306,0.513634439262388,,EWIN*HIGHCF*
SPR-WK-N,UP,NCAP_AF,,0.32074899690268,0.301218613016334,,EWIN*HIGHCF*
SPR-WK-P,UP,NCAP_AF,,0.500874460499156,0.459488647025708,,EWIN*HIGHCF*
SPR-WE-D,UP,NCAP_AF,,0.582652799338857,0.590187102778583,,EWIN*HIGHCF*
SPR-WE-N,UP,NCAP_AF,,0.354143918404293,0.361978960846865,,EWIN*HIGHCF*
SPR-WE-P,UP,NCAP_AF,,0.469638247742958,0.479504597485457,,EWIN*HIGHCF*
