TimeSlice,LimType,Attribute,Year,NI,SI,Pset_Set,Pset_PN
SUM-WK-D,UP,NCAP_AF,,0.464740101332332,0.534578094701945,,EWIN*DIST*
SUM-WK-N,UP,NCAP_AF,,0.266731456524335,0.294531636500111,,EWIN*DIST*
SUM-WK-P,UP,NCAP_AF,,0.411409270031901,0.458637375010053,,EWIN*DIST*
SUM-WE-D,UP,NCAP_AF,,0.478992306248827,0.655732782886095,,EWIN*DIST*
SUM-WE-N,UP,NCAP_AF,,0.278519153955446,0.366591426962979,,EWIN*DIST*
SUM-WE-P,UP,NCAP_AF,,0.425445674610621,0.516194407956465,,EWIN*DIST*
FAL-WK-D,UP,NCAP_AF,,0.449686303856823,0.475020743510729,,EWIN*DIST*
FAL-WK-N,UP,NCAP_AF,,0.266599737286545,0.284623381497467,,EWIN*DIST*
FAL-WK-P,UP,NCAP_AF,,0.343575717770689,0.336065866016138,,EWIN*DIST*
FAL-WE-D,UP,NCAP_AF,,0.413862323744103,0.454486846320211,,EWIN*DIST*
FAL-WE-N,UP,NCAP_AF,,0.260341527491087,0.25884531181585,,EWIN*DIST*
FAL-WE-P,UP,NCAP_AF,,0.336149788369717,0.34911699088843,,EWIN*DIST*
WIN-WK-D,UP,NCAP_AF,,0.440819249977957,0.50162190514733,,EWIN*DIST*
WIN-WK-N,UP,NCAP_AF,,0.256085944830175,0.32517658097204,,EWIN*DIST*
WIN-WK-P,UP,NCAP_AF,,0.32667855132295,0.367982735972978,,EWIN*DIST*
WIN-WE-D,UP,NCAP_AF,,0.469721042286252,0.576360414048536,,EWIN*DIST*
WIN-WE-N,UP,NCAP_AF,,0.271563145055358,0.358343654219053,,EWIN*DIST*
WIN-WE-P,UP,NCAP_AF,,0.380038781509977,0.464824336440024,,EWIN*DIST*
SPR-WK-D,UP,NCAP_AF,,0.497147407878658,0.527585004279392,,EWIN*DIST*
SPR-WK-N,UP,NCAP_AF,,0.289199915240121,0.309481467737481,,EWIN*DIST*
SPR-WK-P,UP,NCAP_AF,,0.450999249390129,0.473283918183524,,EWIN*DIST*
SPR-WE-D,UP,NCAP_AF,,0.523634089060998,0.606511426897991,,EWIN*DIST*
SPR-WE-N,UP,NCAP_AF,,0.318102723168458,0.37216451602221,,EWIN*DIST*
SPR-WE-P,UP,NCAP_AF,,0.422279768978962,0.493317487124956,,EWIN*DIST*
