TimeSlice,LimType,Attribute,Year,NI,SI,Pset_Set,Pset_PN
SUM-WK-D,LO,NCAP_AF,,0.367728779633452,0.351475573903797,,EWIN*LOWCF*
SUM-WK-N,LO,NCAP_AF,,0.21158191030212,0.193549361128644,,EWIN*LOWCF*
SUM-WK-P,LO,NCAP_AF,,0.325768973004852,0.302259871860172,,EWIN*LOWCF*
SUM-WE-D,LO,NCAP_AF,,0.379095515106024,0.432373803715519,,EWIN*LOWCF*
SUM-WE-N,LO,NCAP_AF,,0.220406508859877,0.241483634024073,,EWIN*LOWCF*
SUM-WE-P,LO,NCAP_AF,,0.336453368361794,0.339575905423156,,EWIN*LOWCF*
FAL-WK-D,LO,NCAP_AF,,0.35670891032699,0.313133674122273,,EWIN*LOWCF*
FAL-WK-N,LO,NCAP_AF,,0.211477425408144,0.187445899793582,,EWIN*LOWCF*
FAL-WK-P,LO,NCAP_AF,,0.271856633514731,0.221540626759242,,EWIN*LOWCF*
FAL-WE-D,LO,NCAP_AF,,0.328043019802074,0.299605853998798,,EWIN*LOWCF*
FAL-WE-N,LO,NCAP_AF,,0.205879276912491,0.170568586976919,,EWIN*LOWCF*
FAL-WE-P,LO,NCAP_AF,,0.265727903921937,0.22981872771627,,EWIN*LOWCF*
WIN-WK-D,LO,NCAP_AF,,0.34860188963774,0.330361093086928,,EWIN*LOWCF*
WIN-WK-N,LO,NCAP_AF,,0.202465603302683,0.214481366109964,,EWIN*LOWCF*
WIN-WK-P,LO,NCAP_AF,,0.25833890035654,0.241817226496528,,EWIN*LOWCF*
WIN-WE-D,LO,NCAP_AF,,0.37171438157139,0.379839286086612,,EWIN*LOWCF*
WIN-WE-N,LO,NCAP_AF,,0.214856570963908,0.235803590417214,,EWIN*LOWCF*
WIN-WE-P,LO,NCAP_AF,,0.300839098434144,0.306424970288359,,EWIN*LOWCF*
SPR-WK-D,LO,NCAP_AF,,0.393659580116161,0.34800318551506,,EWIN*LOWCF*
SPR-WK-N,LO,NCAP_AF,,0.228956192636855,0.204317862195618,,EWIN*LOWCF*
SPR-WK-P,LO,NCAP_AF,,0.356554700694314,0.311560893225746,,EWIN*LOWCF*
SPR-WE-D,LO,NCAP_AF,,0.414888976080945,0.399820369201491,,EWIN*LOWCF*
SPR-WE-N,LO,NCAP_AF,,0.251974964953143,0.245080127603679,,EWIN*LOWCF*
SPR-WE-P,LO,NCAP_AF,,0.33466658326557,0.324405579533371,,EWIN*LOWCF*
