UC_N,Pset_Set,Pset_PN,Pset_CI,Pset_CO,Cset_CN,Attribute,Year,LimType,UC_ACT~2020,UC_ACT~2030,UC_ACT~2050,UC_RHST,UC_RHST~0,UC_Desc
MAX-COA-SHR_DARY-PH-MVR_DRY,,,INDCOA,DARY-PH-MVR_DRY,,,2020,LO,-0.29,-0.4,-0.6,0,5,Max share of COA in DARY-PH-MVR_DRY
,,,-INDCOA,DARY-PH-MVR_DRY,,,,,0.71,0.6,0.4,,,
MAX-NGA-SHR_DARY-PH-MVR_DRY,,,INDNGA,DARY-PH-MVR_DRY,,,2020,LO,-0.71,-0.71,-0.71,0,5,Max share of NGA in DARY-PH-MVR_DRY
,,,-INDNGA,DARY-PH-MVR_DRY,,,,,0.29,0.29,0.29,,,
MAX-COA-SHR_DARY-PH-MVR_PRE,,,INDCOA,DARY-PH-MVR_PRE,,,2020,LO,-0.29,-0.4,-0.6,0,5,Max share of COA in DARY-PH-MVR_PRE
,,,-INDCOA,DARY-PH-MVR_PRE,,,,,0.71,0.6,0.4,,,
MAX-NGA-SHR_DARY-PH-MVR_PRE,,,INDNGA,DARY-PH-MVR_PRE,,,2020,LO,-0.71,-0.71,-0.71,0,5,Max share of NGA in DARY-PH-MVR_PRE
,,,-INDNGA,DARY-PH-MVR_PRE,,,,,0.29,0.29,0.29,,,
MAX-COA-SHR_DARY-PH-TVR_EVP,,,INDCOA,DARY-PH-TVR_EVP,,,2020,LO,-0.29,-0.4,-0.6,0,5,Max share of COA in DARY-PH-TVR_EVP
,,,-INDCOA,DARY-PH-TVR_EVP,,,,,0.71,0.6,0.4,,,
MAX-NGA-SHR_DARY-PH-TVR_EVP,,,INDNGA,DARY-PH-TVR_EVP,,,2020,LO,-0.71,-0.71,-0.71,0,5,Max share of NGA in DARY-PH-TVR_EVP
,,,-INDNGA,DARY-PH-TVR_EVP,,,,,0.29,0.29,0.29,,,
MAX-COA-SHR_DARY-PH-TVR_DRY,,,INDCOA,DARY-PH-TVR_DRY,,,2020,LO,-0.29,-0.4,-0.6,0,5,Max share of COA in DARY-PH-TVR_DRY
,,,-INDCOA,DARY-PH-TVR_DRY,,,,,0.71,0.6,0.4,,,
MAX-NGA-SHR_DARY-PH-TVR_DRY,,,INDNGA,DARY-PH-TVR_DRY,,,2020,LO,-0.71,-0.71,-0.71,0,5,Max share of NGA in DARY-PH-TVR_DRY
,,,-INDNGA,DARY-PH-TVR_DRY,,,,,0.29,0.29,0.29,,,
MAX-COA-SHR_DARY-PH-MVR_TVR,,,INDCOA,DARY-PH-MVR_TVR,,,2020,LO,-0.29,-0.4,-0.6,0,5,Max share of COA in DARY-PH-MVR_TVR
,,,-INDCOA,DARY-PH-MVR_TVR,,,,,0.71,0.6,0.4,,,
MAX-NGA-SHR_DARY-PH-MVR_TVR,,,INDNGA,DARY-PH-MVR_TVR,,,2020,LO,-0.71,-0.71,-0.71,0,5,Max share of NGA in DARY-PH-MVR_TVR
,,,-INDNGA,DARY-PH-MVR_TVR,,,,,0.29,0.29,0.29,,,
MAX-NGA-SHR_FOOD-PH-OVN,,,INDNGA,FOOD-PH-OVN,,,2020,LO,-0.11,-0.3,-0.5,0,5,Max share of NGA in FOOD-PH-OVN
,,,-INDNGA,FOOD-PH-OVN,,,,,0.89,0.7,0.5,,,
MAX-COA-SHR_FOOD-PH-OVN,,,INDCOA,FOOD-PH-OVN,,,2020,LO,-0.96,-1,-1,0,5,Max share of COA in FOOD-PH-OVN
,,,-INDCOA,FOOD-PH-OVN,,,,,0.04,0,0,,,
MAX-COA-SHR_FOOD-PH-STM_HW,,,INDCOA,FOOD-PH-STM_HW,,,2020,LO,-0.96,-0.98,-1,0,5,Max share of COA in FOOD-PH-STM_HW
,,,-INDCOA,FOOD-PH-STM_HW,,,,,0.04,0.02,0,,,
MAX-NGA-SHR_FOOD-PH-STM_HW,,,INDNGA,FOOD-PH-STM_HW,,,2020,LO,-0.04,-0.2,-0.4,0,5,Max share of NGA in FOOD-PH-STM_HW
,,,-INDNGA,FOOD-PH-STM_HW,,,,,0.96,0.8,0.6,,,
MAX-NGA-SHR_IIS-PH-FURN,,,INDNGA,IIS-PH-FURN,,,2020,LO,-0.74,-0.74,-0.74,0,5,Max share of NGA in IIS-PH-FURN
,,,-INDNGA,IIS-PH-FURN,,,,,0.26,0.26,0.26,,,
MAX-NGA-SHR_MEAT-PH-STM_HW,,,INDNGA,MEAT-PH-STM_HW,,,2020,LO,-0.54,-0.54,-0.54,0,5,Max share of NGA in MEAT-PH-STM_HW
,,,-INDNGA,MEAT-PH-STM_HW,,,,,0.46,0.46,0.46,,,
MAX-COA-SHR_MEAT-PH-STM_HW,,,INDCOA,MEAT-PH-STM_HW,,,2020,LO,-0.48,-0.6,-0.7,0,5,Max share of COA in MEAT-PH-STM_HW
,,,-INDCOA,MEAT-PH-STM_HW,,,,,0.52,0.4,0.3,,,
MAX-FOL-SHR_METAL-PH-FURN,,,INDFOL,METAL-PH-FURN,,,2020,LO,-0.84,-1,-1,0,5,Max share of FOL in METAL-PH-FURN
,,,-INDFOL,METAL-PH-FURN,,,,,0.16,0,0,,,
MAX-COA-SHR_MNRL-PH-FURN,,,INDCOA,MNRL-PH-FURN,,,2020,LO,-0.48,-0.55,-0.7,0,5,Max share of COA in MNRL-PH-FURN
,,,-INDCOA,MNRL-PH-FURN,,,,,0.52,0.45,0.3,,,
MAX-NGA-SHR_MNRL-PH-FURN,,,INDNGA,MNRL-PH-FURN,,,2020,LO,-0.66,-0.7,-0.75,0,5,Max share of NGA in MNRL-PH-FURN
,,,-INDNGA,MNRL-PH-FURN,,,,,0.34,0.3,0.25,,,
MAX-FOL-SHR_MNNG-PH-STM_HW,,,INDFOL,MNNG-PH-STM_HW,,,2020,LO,-0.84,-0.84,-0.84,0,5,Max share of FOL in MNNG-PH-STM_HW
,,,-INDFOL,MNNG-PH-STM_HW,,,,,0.16,0.16,0.16,,,
MAX-NGA-SHR_CHMCL-MoTP-Stat,,,INDNGA,CHMCL-MoTP-Stat,,,2020,LO,-0.91,-0.91,-0.91,0,5,Max share of NGA in CHMCL-MoTP-Stat
,,,-INDNGA,CHMCL-MoTP-Stat,,,,,0.09,0.09,0.09,,,
MAX-NGA-SHR_WOOD-PH-STM_HW,,,INDNGA,WOOD-PH-STM_HW,,,2020,LO,-0.97,-0.97,-0.97,0,5,Max share of NGA in WOOD-PH-STM_HW
,,,-INDNGA,WOOD-PH-STM_HW,,,,,0.03,0.03,0.03,,,
MAX-DSL-SHR_WOOD-PH-STM_HW,,,INDDSL,WOOD-PH-STM_HW,,,2020,LO,-1,-1,-1,0,5,Max share of DSL in WOOD-PH-STM_HW
,,,-INDDSL,WOOD-PH-STM_HW,,,,,0,0,0,,,
MAX-FOL-SHR_WOOD-PH-STM_HW,,,INDFOL,WOOD-PH-STM_HW,,,2020,LO,-1,-1,-1,0,5,Max share of FOL in WOOD-PH-STM_HW
,,,-INDFOL,WOOD-PH-STM_HW,,,,,0,0,0,,,
MAX-COA-SHR_WOOD-PH-STM_HW,,,INDCOA,WOOD-PH-STM_HW,,,2020,LO,-0.99,-0.99,-0.99,0,5,Max share of COA in WOOD-PH-STM_HW
,,,-INDCOA,WOOD-PH-STM_HW,,,,,0.01,0.01,0.01,,,
MAX-NGA-SHR_PLPPPR-PH-STM_HW,,,INDNGA,PLPPPR-PH-STM_HW,,,2020,LO,-0.92,-0.92,-0.92,0,5,Max share of NGA in PLPPPR-PH-STM_HW
,,,-INDNGA,PLPPPR-PH-STM_HW,,,,,0.08,0.08,0.08,,,
MAX-GEO-SHR_WOOD-PH-STM_HW,,,INDGEO,WOOD-PH-STM_HW,,,2020,LO,-0.96,-0.96,-0.96,0,5,Max share of GEO in WOOD-PH-STM_HW
,,,-INDGEO,WOOD-PH-STM_HW,,,,,0.04,0.04,0.04,,,
