TimeSlice,Attribute,Cset_CN,*2015,*2018,2020,2025,2030,2035,2040,2045,2050,2055,2060
,Demand,ALU-PH-FURN,,0,0,0,0,0,0,0,0,0,0
,Demand,CNST-MoTP-Mob,,0.86592,0.892158,0.919191,0.947044,1.019863,1.09828,1.200121,1.311404,1.433007,1.565885
,Demand,CNST-MoTP-Stat,,0.528,0.544,0.5604,0.5774,0.6218,0.6696,0.7317,0.7996,0.8737,0.9547
,Demand,DARY-PH-MVR_DRY,,6.6014,6.5761100366,6.5198661086,6.4723888398,6.4032193706,6.313050848,6.2241563956,6.1365096078,6.0500972818,5.9648996134
,Demand,DARY-PH-MVR_PRE,,1.7651,1.7583379019,1.7432992499,1.7306046507,1.7121099329,1.688000432,1.6642315954,1.6407963627,1.6176912037,1.5949108231
,Demand,DARY-PH-TVR_EVP,,1.4678,1.4621768582,1.4496712022,1.4391147846,1.4237351762,1.403686496,1.3839211012,1.3644331206,1.3452196186,1.3262761918
,Demand,DARY-PH-TVR_DRY,,1.4276,1.4221308644,1.4099677124,1.3997004132,1.3847420204,1.365242432,1.3460183704,1.3270641252,1.3083768412,1.2899522356
,Demand,DARY-PH-MVR_TVR,,0.6946,0.6919389874,0.6860209954,0.6810254322,0.6737474134,0.664259872,0.6549063884,0.6456841842,0.6365918702,0.6276273626
,Demand,DARY-PH-MVR_Fan,,36.4393,36.2997010417,35.9892382057,35.7271667601,35.3453557747,34.847631376,34.3569397622,33.8731351761,33.3961447391,32.9258591333
,Demand,DARY-Pump,,0.5599,0.5577550231,0.5529846751,0.5489578743,0.5430912421,0.535443568,0.5279039546,0.5204701623,0.5131410713,0.5059150019
,Demand,DARY-RFGR,,0.6679,0.6653412751,0.6596507671,0.6548472303,0.6478489741,0.638726128,0.6297321866,0.6208644783,0.6121216673,0.6035017499
,Demand,DARY-PH-STM_HW,,0.4671,0.4653105399,0.4613308479,0.4579714647,0.4530771909,0.446697072,0.4404071034,0.4342054167,0.4280910777,0.4220626851
