TimeSlice,Attribute,Cset_CN,*2015,*2018,2020,2025,2030,2035,2040,2045,2050,2055,2060
,Demand,ALU-PH-FURN,,14.6282,14.6282,14.6282,0,0,0,0,0,0,0
,Demand,CNST-MoTP-Mob,,0.346388,0.356884,0.367698,0.37884,0.407969,0.439338,0.480077,0.524593,0.573237,0.626391
,Demand,CNST-MoTP-Stat,,0.1547,0.1594,0.1642,0.1692,0.1822,0.1962,0.2144,0.2343,0.256,0.2798
,Demand,DARY-PH-MVR_DRY,,2.7476,2.7370739444,2.7136643924,2.6939036532,2.6651143004,2.627584832,2.5905856504,2.5541057652,2.5181396812,2.4826791556
,Demand,DARY-PH-MVR_PRE,,0.7347,0.7318853643,0.7256257203,0.7203417579,0.7126435713,0.702608304,0.6927148338,0.6829602219,0.6733429989,0.6638609607
,Demand,DARY-PH-TVR_EVP,,0.6109,0.6085596421,0.6033547741,0.5989611813,0.5925601711,0.584215888,0.5759895086,0.5678785893,0.5598819083,0.5519976329
,Demand,DARY-PH-TVR_DRY,,0.5942,0.5919236198,0.5868610358,0.5825875494,0.5763615218,0.568245344,0.5602438468,0.5523546534,0.5445765754,0.5369078302
,Demand,DARY-PH-MVR_TVR,,0.2891,0.2879924579,0.2855293259,0.2834501187,0.2804209289,0.276472112,0.2725790914,0.2687407107,0.2649563917,0.2612252671
,Demand,DARY-PH-MVR_Fan,,15.1668,15.1086959892,14.9794748532,14.8703952276,14.7114774972,14.504314176,14.3000780472,14.0987084436,13.9001750316,13.7044323108
,Demand,DARY-Pump,,0.233,0.232107377,0.230122217,0.228446481,0.226005107,0.22282256,0.219684982,0.216591441,0.213541471,0.210534373
,Demand,DARY-RFGR,,0.278,0.276934982,0.274566422,0.272567046,0.269654162,0.26585696,0.262113412,0.258422406,0.254783386,0.251195518
,Demand,DARY-PH-STM_HW,,0.1944,0.1936552536,0.1919989656,0.1906008408,0.1885639176,0.185908608,0.1832908176,0.1807097688,0.1781650728,0.1756561464
,Demand,DARY-MoTP-Stat,,0.0493,0.0491111317,0.0486910957,0.0483365301,0.0478199647,0.047146576,0.0464827022,0.0458281461,0.0451828091,0.0445465433
,Demand,DARY-AIR,,0.0661,0.0658467709,0.0652835989,0.0648082077,0.0641156119,0.063212752,0.0623226494,0.0614450397,0.0605797907,0.0597267041
,Demand,FOOD-PH-STM_HW,,0.3401,0.3609168408,0.383007838791686,0.406450982588448,0.437703252671538,0.471358529333985,0.515066191683538,0.562826734439777,0.615015969044174,0.672044554805733
,Demand,FOOD-PH-OVN,,0.0754,0.0800150832,0.0849126464125056,0.0901099796741222,0.0970385923300028,0.104499950343377,0.114189917238867,0.124778405694676,0.136348732919526,0.148991941876955
,Demand,FOOD-Pump,,0.2166,0.2298576528,0.243926780012582,0.258857050363592,0.278760730751706,0.300194817564661,0.328030982412979,0.358448311319187,0.391686147882882,0.428006029317618
,Demand,FOOD-MoTP-Stat,,0.1373,0.1457038584,0.154622100164947,0.164086209671843,0.176702900887392,0.190289697375937,0.207934690144515,0.227215850157546,0.248284894295105,0.271307607688407
,Demand,FOOD-RFGR,,0.1109,0.1176879672,0.124891412296378,0.132535765860214,0.14272652373206,0.153700855345895,0.167953074559554,0.183526859304238,0.200544754386942,0.21914066782698
,Demand,FOOD-PH-DirH,,0.0201,0.0213302808,0.0226358646272064,0.0240213606293084,0.0258683780614464,0.0278574138183273,0.0304405482294593,0.0332632089451324,0.0363476065209876,0.0397180110308593
,Demand,IIS-FDSTCK,,0,0,0,0,0,0,0,0,0,0
,Demand,IIS-PH-FURN,,0,0,0,0,0,0,0,0,0,0
,Demand,IIS-MoTP-Stat,,0,0,0,0,0,0,0,0,0,0
,Demand,MEAT-PH-STM_HW,,0.8112,0.7976635056,0.813499752,0.7880832336,0.76346088,0.729195792,0.6866345616,0.6465580368,0.6088202016,0.5732855856
,Demand,MEAT-PH-DirH,,0.0135,0.0132747255,0.0135382725,0.0131152905,0.012705525,0.012135285,0.0114269805,0.0107600265,0.010131993,0.0095406255
,Demand,MEAT-RFGR,,0.4869,0.4787750997,0.4882803615,0.4730248107,0.458245935,0.437679279,0.4121330967,0.3880782891,0.3654272142,0.3440985597
,Demand,MEAT-MoTP-Stat,,0.2064,0.2029558032,0.206985144,0.2005182192,0.19425336,0.185535024,0.1747058352,0.1645088496,0.1549069152,0.1458655632
,Demand,METAL-PH-FURN,,0.2797,0.2695,0.2597,0.2503,0.2695,0.2902,0.3172,0.3466,0.3787,0.4138
,Demand,METAL-MoTP-Stat,,0.2052,0.1978,0.1906,0.1836,0.1977,0.213,0.2327,0.2543,0.2779,0.3036
,Demand,METAL-RFGR,,0.0535,0.0515,0.0497,0.0479,0.0515,0.0555,0.0606,0.0663,0.0724,0.0791
,Demand,METAL-PH-DirH,,0,0,0,0,0,0,0,0,0,0
,Demand,MTHOL-FDSTCK,,0,0,0,0,0,0,0,0,0,0
