TimeSlice,Attribute,Cset_CN,Cset_SET,Year,NI,SI
SUM-WK-D,COM_FR,"T_*,-T_F_H*",DEM,2020,0.0808125351848377,0.0808125351848377
SUM-WK-N,COM_FR,"T_*,-T_F_H*",DEM,2020,0.0881591292925502,0.0881591292925502
SUM-WK-P,COM_FR,"T_*,-T_F_H*",DEM,2020,0.00734659410771251,0.00734659410771251
SUM-WE-D,COM_FR,"T_*,-T_F_H*",DEM,2020,0.0322011634452993,0.0322011634452993
SUM-WE-N,COM_FR,"T_*,-T_F_H*",DEM,2020,0.0351285419403265,0.0351285419403265
SUM-WE-P,COM_FR,"T_*,-T_F_H*",DEM,2020,0.00292737849502721,0.00292737849502721
FAL-WK-D,COM_FR,"T_*,-T_F_H*",DEM,2020,0.0826083693000563,0.0826083693000563
FAL-WK-N,COM_FR,"T_*,-T_F_H*",DEM,2020,0.0901182210546069,0.0901182210546069
FAL-WK-P,COM_FR,"T_*,-T_F_H*",DEM,2020,0.00750985175455057,0.00750985175455057
FAL-WE-D,COM_FR,"T_*,-T_F_H*",DEM,2020,0.0329167448551949,0.0329167448551949
FAL-WE-N,COM_FR,"T_*,-T_F_H*",DEM,2020,0.0359091762056671,0.0359091762056671
FAL-WE-P,COM_FR,"T_*,-T_F_H*",DEM,2020,0.00299243135047226,0.00299243135047226
WIN-WK-D,COM_FR,"T_*,-T_F_H*",DEM,2020,0.0826083693000563,0.0826083693000563
WIN-WK-N,COM_FR,"T_*,-T_F_H*",DEM,2020,0.0901182210546069,0.0901182210546069
WIN-WK-P,COM_FR,"T_*,-T_F_H*",DEM,2020,0.00750985175455057,0.00750985175455057
WIN-WE-D,COM_FR,"T_*,-T_F_H*",DEM,2020,0.0329167448551949,0.0329167448551949
WIN-WE-N,COM_FR,"T_*,-T_F_H*",DEM,2020,0.0359091762056671,0.0359091762056671
WIN-WE-P,COM_FR,"T_*,-T_F_H*",DEM,2020,0.00299243135047226,0.00299243135047226
SPR-WK-D,COM_FR,"T_*,-T_F_H*",DEM,2020,0.081710452242447,0.081710452242447
SPR-WK-N,COM_FR,"T_*,-T_F_H*",DEM,2020,0.0891386751735785,0.0891386751735785
SPR-WK-P,COM_FR,"T_*,-T_F_H*",DEM,2020,0.00742822293113154,0.00742822293113154
SPR-WE-D,COM_FR,"T_*,-T_F_H*",DEM,2020,0.0325589541502471,0.0325589541502471
SPR-WE-N,COM_FR,"T_*,-T_F_H*",DEM,2020,0.0355188590729968,0.0355188590729968
SPR-WE-P,COM_FR,"T_*,-T_F_H*",DEM,2020,0.00295990492274973,0.00295990492274973
