TimeSlice,Attribute,Cset_CN,*2015,*2018,2020,2025,2030,2035,2040,2045,2050,2055,2060
,Demand,ALU-PH-FURN,,0,0,0,0,0,0,0,0,0,0
,Demand,CNST-MoTP-Mob,,0.802685,0.902929583848882,1.01568818774231,1.14248368184443,1.2303466691413,1.32489704281119,1.34489299018395,1.36515378454178,1.38574563763095,1.40666854945146
,Demand,CNST-MoTP-Stat,,0.528,0.5939,0.668,0.7515,0.8092,0.8715,0.8846,0.8979,0.9115,0.9252
,Demand,DARY-PH-MVR_DRY,,6.6014,6.5657656428,6.599551608,6.425670732,6.256344822,6.167820048,6.156399626,6.145045218,6.133756824,6.122402416
,Demand,DARY-PH-MVR_PRE,,1.7651,1.7555719902,1.764605772,1.718113038,1.672838223,1.649168232,1.646114609,1.643078637,1.640060316,1.637024344
,Demand,DARY-PH-TVR_EVP,,1.4678,1.4598768156,1.467389016,1.428727164,1.391078094,1.371394896,1.368855602,1.366330986,1.363821048,1.361296432
,Demand,DARY-PH-TVR_DRY,,1.4276,1.4198938152,1.427200272,1.389597288,1.352979348,1.333835232,1.331365484,1.328910012,1.326468816,1.324013344
,Demand,DARY-PH-MVR_TVR,,0.6946,0.6908505492,0.694405512,0.676109748,0.658293258,0.648978672,0.647777014,0.646582302,0.645394536,0.644199824
,Demand,DARY-PH-MVR_Fan,,36.4393,36.2426006586,36.429096996,35.469285834,34.534617789,34.045966776,33.982926787,33.920251191,33.857939988,33.795264392
,Demand,DARY-Pump,,0.5599,0.5568776598,0.559743228,0.544995462,0.530634027,0.523125768,0.522157141,0.521194113,0.520236684,0.519273656
,Demand,DARY-RFGR,,0.6679,0.6642946758,0.667712988,0.650120502,0.632988867,0.624032328,0.622876861,0.621728073,0.620585964,0.619437176
,Demand,DARY-PH-STM_HW,,0.4671,0.4645785942,0.466969212,0.454665798,0.442684683,0.436420872,0.435612789,0.434809377,0.434010636,0.433207224
,Demand,DARY-MoTP-Stat,,0.1185,0.117860337,0.11846682,0.11534553,0.112306005,0.11071692,0.110511915,0.110308095,0.11010546,0.10990164
,Demand,DARY-AIR,,0.1588,0.1579427976,0.158755536,0.154572744,0.150499524,0.148370016,0.148095292,0.147822156,0.147550608,0.147277472
,Demand,FOOD-PH-STM_HW,,7.5357,8.4766376448,9.570339,10.700694,11.529621,12.433905,12.81069,13.187475,13.639617,14.016402
,Demand,FOOD-PH-OVN,,1.3387,1.5058554368,1.700149,1.900954,2.048211,2.208855,2.27579,2.342725,2.423047,2.489982
,Demand,FOOD-Pump,,0.691,0.777281024,0.87757,0.98122,1.05723,1.14015,1.1747,1.20925,1.25071,1.28526
,Demand,FOOD-MoTP-Stat,,0.4379,0.4925779456,0.556133,0.621818,0.669987,0.722535,0.74443,0.766325,0.792599,0.814494
,Demand,FOOD-RFGR,,0.3537,0.3978643968,0.449199,0.502254,0.541161,0.583605,0.60129,0.618975,0.640197,0.657882
,Demand,FOOD-PH-DirH,,0.064,0.071991296,0.08128,0.09088,0.09792,0.1056,0.1088,0.112,0.11584,0.11904
,Demand,IIS-FDSTCK,,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5
,Demand,IIS-PH-FURN,,2.2187,2.2187,2.2187,2.2187,2.2187,2.2187,2.2187,2.2187,2.2187,2.2187
,Demand,IIS-MoTP-Stat,,1.2123,1.3637,1.534,1.7255,1.8582,2.001,2.0312,2.0618,2.0929,2.1245
,Demand,MEAT-PH-STM_HW,,1.9489,1.9163787057,1.954434876,1.788544508,1.636725198,1.563271157,1.557794748,1.552357317,1.546919886,1.541501944
,Demand,MEAT-PH-DirH,,0.0324,0.0318593412,0.032492016,0.029734128,0.027210168,0.025989012,0.025897968,0.025807572,0.025717176,0.025627104
,Demand,MEAT-RFGR,,1.1699,1.1503778787,1.173222516,1.073640628,0.982505418,0.938411887,0.935124468,0.931860447,0.928596426,0.925344104
,Demand,MEAT-MoTP-Stat,,0.4959,0.4876249167,0.497308356,0.455097348,0.416466738,0.397776267,0.396382788,0.394999227,0.393615666,0.392237064
