TimeSlice,Attribute,NI,SI,Cset_Set,Cset_CN,Year
SUM-WK-D,COM_FR,0.1183833,0.1183833,DEM,ADCF*Mob-Trac*,2020
SUM-WK-N,COM_FR,0.1181833,0.1181833,DEM,ADCF*Mob-Trac*,2020
SUM-WK-P,COM_FR,0,0,DEM,ADCF*Mob-Trac*,2020
SUM-WE-D,COM_FR,0.0470667,0.0470667,DEM,ADCF*Mob-Trac*,2020
SUM-WE-N,COM_FR,0.0470667,0.0470667,DEM,ADCF*Mob-Trac*,2020
SUM-WE-P,COM_FR,0,0,DEM,ADCF*Mob-Trac*,2020
FAL-WK-D,COM_FR,0.1201333,0.1201333,DEM,ADCF*Mob-Trac*,2020
FAL-WK-N,COM_FR,0.1201333,0.1201333,DEM,ADCF*Mob-Trac*,2020
FAL-WK-P,COM_FR,0,0,DEM,ADCF*Mob-Trac*,2020
FAL-WE-D,COM_FR,0.0478667,0.0478667,DEM,ADCF*Mob-Trac*,2020
FAL-WE-N,COM_FR,0.0478667,0.0478667,DEM,ADCF*Mob-Trac*,2020
FAL-WE-P,COM_FR,0,0,DEM,ADCF*Mob-Trac*,2020
WIN-WK-D,COM_FR,0,0,DEM,ADCF*Mob-Trac*,2020
WIN-WK-N,COM_FR,0,0,DEM,ADCF*Mob-Trac*,2020
WIN-WK-P,COM_FR,0,0,DEM,ADCF*Mob-Trac*,2020
WIN-WE-D,COM_FR,0,0,DEM,ADCF*Mob-Trac*,2020
WIN-WE-N,COM_FR,0,0,DEM,ADCF*Mob-Trac*,2020
WIN-WE-P,COM_FR,0,0,DEM,ADCF*Mob-Trac*,2020
SPR-WK-D,COM_FR,0.1191333,0.1191333,DEM,ADCF*Mob-Trac*,2020
SPR-WK-N,COM_FR,0.1191333,0.1191333,DEM,ADCF*Mob-Trac*,2020
SPR-WK-P,COM_FR,0,0,DEM,ADCF*Mob-Trac*,2020
SPR-WE-D,COM_FR,0.0475167,0.0475167,DEM,ADCF*Mob-Trac*,2020
SPR-WE-N,COM_FR,0.0475167,0.0475167,DEM,ADCF*Mob-Trac*,2020
SPR-WE-P,COM_FR,0,0,DEM,ADCF*Mob-Trac*,2020
