TimeSlice,Attribute,NI,SI,Cset_Set,Cset_CN,Year
SUM-WK-D,COM_FR,0.140947365767566,0.140947365767566,DEM,"ADCF-MoTP-Stat, ADCF-WH, ADCF-PUMP, ADCF-RFGR, ADCF-LIG",2020
SUM-WK-N,COM_FR,0.0652719557128457,0.0652719557128457,DEM,"ADCF-MoTP-Stat, ADCF-WH, ADCF-PUMP, ADCF-RFGR, ADCF-LIG",2020
SUM-WK-P,COM_FR,0.0148057810193078,0.0148057810193078,DEM,"ADCF-MoTP-Stat, ADCF-WH, ADCF-PUMP, ADCF-RFGR, ADCF-LIG",2020
SUM-WE-D,COM_FR,0.0581310381820033,0.0581310381820033,DEM,"ADCF-MoTP-Stat, ADCF-WH, ADCF-PUMP, ADCF-RFGR, ADCF-LIG",2020
SUM-WE-N,COM_FR,0.024106619492385,0.024106619492385,DEM,"ADCF-MoTP-Stat, ADCF-WH, ADCF-PUMP, ADCF-RFGR, ADCF-LIG",2020
SUM-WE-P,COM_FR,0.00537331787660849,0.00537331787660849,DEM,"ADCF-MoTP-Stat, ADCF-WH, ADCF-PUMP, ADCF-RFGR, ADCF-LIG",2020
FAL-WK-D,COM_FR,0.111283792041318,0.111283792041318,DEM,"ADCF-MoTP-Stat, ADCF-WH, ADCF-PUMP, ADCF-RFGR, ADCF-LIG",2020
FAL-WK-N,COM_FR,0.060130297254772,0.060130297254772,DEM,"ADCF-MoTP-Stat, ADCF-WH, ADCF-PUMP, ADCF-RFGR, ADCF-LIG",2020
FAL-WK-P,COM_FR,0.00890277356312926,0.00890277356312926,DEM,"ADCF-MoTP-Stat, ADCF-WH, ADCF-PUMP, ADCF-RFGR, ADCF-LIG",2020
FAL-WE-D,COM_FR,0.0440532612444961,0.0440532612444961,DEM,"ADCF-MoTP-Stat, ADCF-WH, ADCF-PUMP, ADCF-RFGR, ADCF-LIG",2020
FAL-WE-N,COM_FR,0.0252609279587072,0.0252609279587072,DEM,"ADCF-MoTP-Stat, ADCF-WH, ADCF-PUMP, ADCF-RFGR, ADCF-LIG",2020
FAL-WE-P,COM_FR,0.00320526013661524,0.00320526013661524,DEM,"ADCF-MoTP-Stat, ADCF-WH, ADCF-PUMP, ADCF-RFGR, ADCF-LIG",2020
WIN-WK-D,COM_FR,0.0488289891107925,0.0488289891107925,DEM,"ADCF-MoTP-Stat, ADCF-WH, ADCF-PUMP, ADCF-RFGR, ADCF-LIG",2020
WIN-WK-N,COM_FR,0.0219260697749487,0.0219260697749487,DEM,"ADCF-MoTP-Stat, ADCF-WH, ADCF-PUMP, ADCF-RFGR, ADCF-LIG",2020
WIN-WK-P,COM_FR,0.00425153830224591,0.00425153830224591,DEM,"ADCF-MoTP-Stat, ADCF-WH, ADCF-PUMP, ADCF-RFGR, ADCF-LIG",2020
WIN-WE-D,COM_FR,0.0163623982584435,0.0163623982584435,DEM,"ADCF-MoTP-Stat, ADCF-WH, ADCF-PUMP, ADCF-RFGR, ADCF-LIG",2020
WIN-WE-N,COM_FR,0.00866504983175246,0.00866504983175246,DEM,"ADCF-MoTP-Stat, ADCF-WH, ADCF-PUMP, ADCF-RFGR, ADCF-LIG",2020
WIN-WE-P,COM_FR,0.0017767591766981,0.0017767591766981,DEM,"ADCF-MoTP-Stat, ADCF-WH, ADCF-PUMP, ADCF-RFGR, ADCF-LIG",2020
SPR-WK-D,COM_FR,0.160732255425675,0.160732255425675,DEM,"ADCF-MoTP-Stat, ADCF-WH, ADCF-PUMP, ADCF-RFGR, ADCF-LIG",2020
SPR-WK-N,COM_FR,0.0664866785729822,0.0664866785729822,DEM,"ADCF-MoTP-Stat, ADCF-WH, ADCF-PUMP, ADCF-RFGR, ADCF-LIG",2020
SPR-WK-P,COM_FR,0.0145400055500406,0.0145400055500406,DEM,"ADCF-MoTP-Stat, ADCF-WH, ADCF-PUMP, ADCF-RFGR, ADCF-LIG",2020
SPR-WE-D,COM_FR,0.0613165147319116,0.0613165147319116,DEM,"ADCF-MoTP-Stat, ADCF-WH, ADCF-PUMP, ADCF-RFGR, ADCF-LIG",2020
SPR-WE-N,COM_FR,0.0280017524428741,0.0280017524428741,DEM,"ADCF-MoTP-Stat, ADCF-WH, ADCF-PUMP, ADCF-RFGR, ADCF-LIG",2020
SPR-WE-P,COM_FR,0.00563959857188031,0.00563959857188031,DEM,"ADCF-MoTP-Stat, ADCF-WH, ADCF-PUMP, ADCF-RFGR, ADCF-LIG",2020
