Sets,TechName,* Sector,* Subsector,* Technology,* Fuel,TechDesc,* OLD TechDesc,Tact,Tcap,Tslvl,PrimaryCG,Vintage
*Process Set Membership,Technology Name,,,,,,Technology Description,Activity Unit,Capacity Unit,TimeSlice level of Process Activity,Primary Commodity Group,Vintage Tracking
PRE,G_ELC_HV-00,,,,,-:-  -:-  -:-,Existing electricity distribution grid  - 220V voltage,PJ,GW,DAYNITE,,
PRE,G_ELC_MV-00,,,,,-:-  -:-  -:-,Existing electricity distribution grid  - 65/50V voltage,PJ,GW,DAYNITE,,
PRE,G_ELC_LV-00,,,,,-:-  -:-  -:-,Existing electricity distribution grid  - Low voltage,PJ,GW,DAYNITE,,
PRE,G_ELC2ELCD,,,,,-:-  -:-  -:-,Virtual process for collecting ELCDD from grid and RES,PJ,GW,DAYNITE,,
PRE,G_ELC_R_00,,,,,-:-  -:-  -:-,Existing electricity distribution grid  RESELC,PJ,GW,DAYNITE,,
PRE,G_ELC_I_00,,,,,-:-  -:-  -:-,Existing electricity distribution grid  INDELC,PJ,GW,DAYNITE,,
PRE,G_ELC_S_00,,,,,-:-  -:-  -:-,Existing electricity distribution grid  COMELC,PJ,GW,DAYNITE,,
PRE,G_ELC_A_00,,,,,-:-  -:-  -:-,Existing electricity distribution grid  AGRELC,PJ,GW,DAYNITE,,
,,,,,,-:-  -:-  -:-,,,,,,
DMD,P_OWNUSE_ELC,,,,,-:-  -:-  -:-,"""Own use in electricity, CHP and heat plants""",PJ,PJ,,,
