TechName,LimType,Comm-IN,Comm-OUT,PASTI~1970,PASTI~2000,PASTI~2005,PASTI~2015,NCAP_PASTI~2018,*RESID~2018,*RESID~2016,*RESID~2035,*Share-I,Share-I~2018,Share-I~0,EFF~2018,*AFA,AFA~2018,*ACT_BND~2015,ACT_BND~2018,ACT_BND~FX~2018,ACT_BND~0,FIXOM,VAROM,LIFE,CAP2ACT,Peak,NCAP_BND,NCAP_BND~2021,NCAP_BND~0,ENV_ACT~ELCCO2
*Technology Name,,Input Commodity,Output Commodity,Past Investment Capacity,Past Investment Capacity,Past Investment Capacity,Past Investment Capacity,Past Investment Capacity,Existing Installed Capacity,Existing Installed Capacity,Retirement Capacity,Fuel input coef,Fuel input coef,Fuel input coef,Efficiency,Utilisation Factor,Utilisation Factor,"Generation, stat","Generation, stat",,Interpolation/extrapolation for future years,Fixed O&M Cost,Variable O&M Cost,Lifetime,Capacity to Activity Factor,% contribution to PEAK,,,,
*Units,,,,GW,GW,GW,GW,GW,GW,,GW,%,%,%,%,%,%,PJ,PJ,,Ã‚Â´-1 no extrapolation,Milion NZD (2015)/GW,Milion NZD (2015)/PJ,Years,PJ/GW,,,,,
ELCREHYDRRInflex00,,ELCHYD,ELC,0.2064,,,,,0.2064,0,,,,,1,,,2.41765619798025,3.38284695214823,,1,6.54,0.244444444444444,100,31.536,0.722,0,0,5,
ELCREHYDDAM00,,ELCHYD,ELC,1.5469,,,,,1.5469,0,,,,,1,,,20.080767950283,23.7264589466538,,1,6.54,0.244444444444444,100,31.536,0.98,0,0,5,
ELCREHYDRRFlex00,,ELCHYD,ELC,0.2064,,,,,0.2064,0,,,,,1,,,0.801575851736766,1.70219227875917,,1,6.54,0.244444444444444,100,31.536,0.83,0,0,5,
ELCTENGACHP00,,ELCNGA,ELC,0.064,0.2906,,,,0.3546,0,,0.760507631196738,0.746605742255241,5,0.300568670174652,0.665512805605575,0.665512805605575,6.099,,5.0444,,36,1.11111111111111,25,31.536,0.66,0,0,5,
,,ELCWOD,,,,,,,,,,0.239492368803262,0.253394257744759,5,,,,,,,,,,,,,,,,
\I:,,ELCGEO,,,,,,,,,,0,0,5,,,,,,,,,,,,,,,,
\I:,,ELCBIG,,,,,,,,,,0,0,5,,,,,,,,,,,,,,,,
ELCTECOA00,,ELCCOA,ELC,,0.5,,,,0.5,0,,,,,0.331683659882697,0.428082191780822,0.371004566210046,6.75,,,1,72,2.77777777777778,30,31.536,0.97,0,0,5,
ELCTECOA00,LO,ELCCOA,ELC,,,,,,,,,,,,,,,,5.325,,,,,,,,,,,
ELCTENGACCGT00,,ELCNGA,ELC,,0.385,0.403,,,0.788,0,,,,,0.51,0.648043294998387,0.648043294998387,16.1041143606425,,,,36,1.11111111111111,25,31.536,0.97,0,0,5,
\I:,LO,ELCNGA,ELC,,,,,,,,,,,,,,,,13.6116182686435,,,,,,,,,,,
ELCTENGAOCGT00,,ELCNGA,ELC,,,0.051,0.302,,0.353,0,,,,,0.400920711381386,0.340982277671917,0.340982277671917,3.79588563935753,,,1,25.2,1.11111111111111,25,31.536,0.97,0,0,5,
\I:,LO,ELCNGA,ELC,,,,,,,,,,,,,,,,3.20838173135647,,,,,,,,,,,
ELCTEDSL00,,ELCOIL,ELC,,,0.155,,,0.155,0,,,,,0.334268973319114,0.05,0.05,0.00558,0.042,,,21,2.77777777777778,30,31.536,0.97,0,0,5,
ELCREWind00,,ELCWIN,ELC,,0.04125,0.36265,0.1727,0.133,0.7096,0,,,,,1,0.397378774487484,0.37534432673448,7.22579957278803,6.82513271944231,,1,61.51,0.833333333333333,25,31.536,0.25,0,0,5,
ELCREGEO00,,ELCGEO,ELC,,0.4464,0.1083,0.436,0.025,1.0157,0,,,,,0.1568883521202,0.93,0.93,28.28,28.4,,1,107.64,0,40,31.536,0.923,0,0,5,23.8928571428571
\I:,FX,ELCGEO,ELC,,,,,,,,,,,,,,,,28.4,,,,,,,,,,,
ELCREBIG00,,ELCBIG,ELC,,0.03,,0.005,,0.035,0,,,,,0.296963238638043,0.80588171341596,0.887874175545408,0.8895,0.98,,,36,1.11111111111111,30,31.536,0.66,0,0,5,
ELCRESOL00,,ELCSOL,ELCDD,,,,0.026414,0.091153,0.117567,0,,,,,1,,,,,,,41,1.11111111111111,20,31.536,0,0,0,5,
