Csets,Region,CommName,* Fuel,* Enduse,CommDesc,* OLD CommDesc,Unit,LimType,CTSLvl,PeakTS,Ctype
*Commodity Set Membership,Region Name,Commodity Name,,,,Commodity Description,Unit,Sense of the Balance EQN.,Timeslice Level,Peak Monitoring,Electricity Indicator
NRG,,ELCCOA,Coal,Electricity Production,Coal -:- Electricity Production,Electricity Plants Bituminous & Sub-bitum.,PJ,FX,,,
,,ELCCOL,Coal,Electricity Production,Coal -:- Electricity Production,Electricity Plants Lignite,PJ,FX,,,
,,ELCOIL,Oil,Electricity Production,Oil -:- Electricity Production,Electricity Plants Oil,PJ,FX,,,
,,ELCNGA,Natural Gas,Electricity Production,Natural Gas -:- Electricity Production,Electricity Plants Natural Gas,PJ,FX,,,
,,ELCHYD,Hydro,Electricity Production,Hydro -:- Electricity Production,Electricity Plants Hydro,PJ,FX,,,
,,ELCGEO,Geothermal,Electricity Production,Geothermal -:- Electricity Production,Electricity Plants Geothermal,PJ,FX,,,
,,ELCSOL,Solar,Electricity Production,Solar -:- Electricity Production,Electricity Plants Solar,PJ,FX,,,
,,ELCWIN,Wind,Electricity Production,Wind -:- Electricity Production,Electricity Plants Wind,PJ,FX,,,
,,ELCBIL,Liquid Biofuels,Electricity Production,Liquid Biofuels -:- Electricity Production,Electricity Plants Liquid Biofuels,PJ,FX,,,
,,ELCBIG,Biogas,Electricity Production,Biogas -:- Electricity Production,Electricity Plants Biogas,PJ,FX,,,
,,ELCWOD,Wood,Electricity Production,Wood -:- Electricity Production,Electricity Plants Wood,PJ,FX,,,
,,ELCTID,Tidal,Electricity Production,Tidal -:- Electricity Production,Electricity Plants Tidal,PJ,FX,,,
,,ELCURN,Uranium,Electricity Production,Uranium -:- Electricity Production,Electricity Plants Uranium,PJ,FX,,,
ENV,,BATNRG,Electricity,Electricity Production,Electricity -:- Electricity Production,Dummy Commodity for Batteries,PJ,N,DAYNITE,,
