Sets,Region,TechName,* Sector,* Subsector,* Technology,* Fuel,TechDesc,* OLD TechDesc,Tact,Tcap,Tslvl,PrimaryCG,Vintage
*Process Set Membership,Region Name,Technology Name,,,,,,Technology Description,Activity Unit,Capacity Unit,TimeSlice level of Process Activity,Primary Commodity Group,Vintage Tracking
*,,,,,,,,,,,,,
PRE,,FTE_ELCCOA,Electricity,,,Coal,Electricity -:-  -:-  -:- Coal,Sector Fuel Technology Existing Electricity Plants Bituminous & Sub-bitum.,PJ,PJa,,,
,,FTE_ELCCOL,Electricity,,,Coal,Electricity -:-  -:-  -:- Coal,Sector Fuel Technology Existing Electricity Plants Lignite,PJ,PJa,,,
,,FTE_ELCOIL,Electricity,,,Oil,Electricity -:-  -:-  -:- Oil,Sector Fuel Technology Existing Electricity Plants Oil,PJ,PJa,,,
,,FTE_ELCNGA,Electricity,,,Natural Gas,Electricity -:-  -:-  -:- Natural Gas,Sector Fuel Technology Existing Electricity Plants Natural Gas,PJ,PJa,DAYNITE,,
,,FTE_ELCHYD,Electricity,,,Hydro,Electricity -:-  -:-  -:- Hydro,Sector Fuel Technology Existing Electricity Plants Hydro,PJ,PJa,,,
,,FTE_ELCGEO,Electricity,,,Geothermal,Electricity -:-  -:-  -:- Geothermal,Sector Fuel Technology Existing Electricity Plants Geothermal,PJ,PJa,,,
,,FTE_ELCSOL,Electricity,,,Solar,Electricity -:-  -:-  -:- Solar,Sector Fuel Technology Existing Electricity Plants Solar,PJ,PJa,,,
,,FTE_ELCWIN,Electricity,,,Wind,Electricity -:-  -:-  -:- Wind,Sector Fuel Technology Existing Electricity Plants Wind,PJ,PJa,,,
,,FTE_ELCBIL,Electricity,,,Liquid Biofuels,Electricity -:-  -:-  -:- Liquid Biofuels,Sector Fuel Technology Existing Electricity Plants Liquid Biofuels,PJ,PJa,,,
,,FTE_ELCBIG,Electricity,,,Biogas,Electricity -:-  -:-  -:- Biogas,Sector Fuel Technology Existing Electricity Plants Biogas,PJ,PJa,,,
,,FTE_ELCWOD,Electricity,,,Wood,Electricity -:-  -:-  -:- Wood,Sector Fuel Technology Existing Electricity Plants Wood,PJ,PJa,,,
,,FTE_ELCTID,Electricity,,,Tidal,Electricity -:-  -:-  -:- Tidal,Sector Fuel Technology Existing Electricity Plants Tidal,PJ,PJa,,,
,,FTE_ELCURN,Electricity,,,Uranium,Electricity -:-  -:-  -:- Uranium,Sector Fuel Technology Existing Electricity Plants Uranium,PJ,PJa,,,
