CommName,*Demand~2015,*Demand~2016,Demand~2018
ALU-PH-FURN,0,0,0
CNST-MoTP-Mob,0.86,0.86,0.86
CNST-MoTP-Stat,0.53,0.52,0.52
DARY-AIR,0.16,0.15,0.15
DARY-MoTP-Stat,0.12,0.11,0.11
DARY-PH-MVR_DRY,6.6,6.6,6.6
DARY-PH-MVR_PRE,1.77,1.76,1.76
DARY-PH-TVR_EVP,1.46,1.46,1.46
DARY-PH-TVR_DRY,1.43,1.42,1.42
DARY-PH-MVR_TVR,0.7,0.69,0.69
DARY-PH-MVR_Fan,36.44,36.43,36.43
DARY-PH-STM_HW,0.46,0.46,0.46
DARY-Pump,0.56,0.55,0.55
DARY-RFGR,0.67,0.66,0.66
FOOD-MoTP-Stat,0.44,0.43,0.43
FOOD-PH-DirH,0.06,0.06,0.06
FOOD-PH-OVN,1.33,1.33,1.33
FOOD-PH-STM_HW,7.54,7.53,7.53
FOOD-Pump,0.69,0.69,0.69
FOOD-RFGR,0.35,0.35,0.35
IIS-FDSTCK,18.5,18.5,18.5
IIS-MoTP-Stat,0.61,0.6,0.6
IIS-PH-FURN,2.22,2.21,2.21
MEAT-MoTP-Stat,0.5,0.49,0.49
MEAT-PH-STM_HW,1.96,1.94,1.94
MEAT-PH-DirH,0.03,0.03,0.03
MEAT-RFGR,1.17,1.16,1.16
METAL-MoTP-Stat,0.83,0.83,0.83
METAL-PH-FURN,1.63,1.63,1.63
METAL-RFGR,0.22,0.21,0.21
METAL-PH-DirH,0.03,0.03,0.03
MTHOL-FDSTCK,41.07,41.06,41.06
MTHOL-PH_REFRM,16.46,16.46,16.46
MNRL-MoTP-Stat,0.52,0.51,0.51
MNRL-PH-FURN,3.99,3.98,3.98
MNRL-PH-STM_HW,0.43,0.43,0.43
MNNG-MoTP-Mob,0.64,0.64,0.64
MNNG-MoTP-Stat,2.2,1.08,1.08
MNNG-PH-STM_HW,1.87,0.16,0.16
OTH-ELC,4.08,4.08,4.08
OTH-DSL,4.04,4.03,4.03
OTH-LPG,2.65,2.65,2.65
OTH-COA,1,1,1
OTH-NGA,1.06,1.05,1.05
OTH-PET,0.05,0.05,0.05
OTH-BGS,0.04,0.03,0.03
OTH-FOL,0.01,0,0
CHMCL-MoTP-Stat,1.15,1.15,1.15
CHMCL-PH-DirH,0.51,0.5,0.5
CHMCL-PH-STM_HW,4.76,4.75,4.75
CHMCL-PH-REFRM,1.51,1.51,1.51
CHMCL-PH-FURN,0.34,0.33,0.33
REFI-MoTP-Stat,0.63,0.62,0.62
REFI-PH-FURN,2.31,2.31,2.31
REFI-PH-STM_HW,0.42,0.41,0.41
UREA-FDSTCK,3.99,3.99,3.99
WOOD-MoTP-Stat,0.75,0.74,0.74
WOOD-PH-FURN,0.22,0.21,0.21
WOOD-PH-STM_HW,11.44,10.89,10.89
WOOD-Pump,0.23,0.23,0.23
WOOD-Fan,129.42,72.08,72.08
WOOD-Refin,0.72,0.36,0.36
WOOD-AIR,0.19,0.18,0.18
PLPPPR-MoTP-Stat,0.45,0.45,0.45
PLPPPR-PH-DirH,0.15,0.15,0.15
PLPPPR-PH-FURN,0.78,0.77,0.77
PLPPPR-PH-STM_HW,32.76,30.82,30.82
PLPPPR-Pump,2.2,0.62,0.62
PLPPPR-Fan,9.78,9.78,9.78
PLPPPR-Refin,2.27,2.27,2.27
PLPPPR-AIR,0.06,0.06,0.06
