CommName,Demand~2018
C_EDU-OTH,0.079
C_EDU-LT,0.073
C_EDU-SH,1.751
C_EDU-WH,0.129
C_EDU-MPM,0.073
C_EDU-MPS,0.007
C_EDU-RF,0.002
C_EDU-SC,0.354
C_HLTH-OTH,0.16
C_HLTH-LT,0.05
C_HLTH-SH,1.982
C_HLTH-WH,0.47
C_HLTH-PH,0.215
C_HLTH-MPM,0.009
C_HLTH-MPS,0.045
C_HLTH-RF,0.088
C_HLTH-SC,0.547
C_OFFC-OTH,1.59
C_OFFC-LT,0.399
C_OFFC-SH,5.879
C_OFFC-WH,0.59
C_OFFC-MPM,0.219
C_OFFC-MPS,0.466
C_OFFC-SC,4.424
C_WSR-OTH,0.51
C_WSR-CK,1.091
C_WSR-LT,0.308
C_WSR-SH,4.473
C_WSR-WH,2.063
C_WSR-MPM,0.044
C_WSR-MPS,0.961
C_WSR-RF,7.256
C_WSR-SC,0.957
C_OTH-OTH,0.237
C_OTH-LT,0.102
C_OTH-SH,2.158
C_OTH-WH,2.247
C_OTH-MPM,0.122
C_OTH-MPS,0.245
C_OTH-SC,1.01
