CommName,Demand~2018,Demand~2020,Demand~2025,Demand~2030,Demand~2040,Demand~2050,Demand~2060
R_DDW-SH,17.788,17.788,17.788,17.788,17.788,17.788,17.788
R_DDW-WH,13.835,13.835,13.835,13.835,13.835,13.835,13.835
R_DDW-CK,1.759,1.759,1.759,1.759,1.759,1.759,1.759
R_DDW-RF,5.126,5.126,5.126,5.126,5.126,5.126,5.126
R_DDW-CD,0.149,0.149,0.149,0.149,0.149,0.149,0.149
R_DDW-SC,1.057,1.057,1.057,1.057,1.057,1.057,1.057
R_DDW-CW,0.482,0.482,0.482,0.482,0.482,0.482,0.482
R_DDW-DW,0.16,0.16,0.16,0.16,0.16,0.16,0.16
R_DDW-LT,0.497,0.497,0.497,0.497,0.497,0.497,0.497
R_DDW-OTH,1.862,1.862,1.862,1.862,1.862,1.862,1.862
R_DDW-MPS,0.147,0.147,0.147,0.147,0.147,0.147,0.147
R_DDW-MPM,0,0,0,0,0,0,0
R_DDW-UNAL,0.087,0.087,0.087,0.087,0.087,0.087,0.087
R_JDW-SH,2.434,2.434,2.434,2.434,2.434,2.434,2.434
R_JDW-WH,3.175,3.175,3.175,3.175,3.175,3.175,3.175
R_JDW-CK,0.386,0.386,0.386,0.386,0.386,0.386,0.386
R_JDW-RF,1.125,1.125,1.125,1.125,1.125,1.125,1.125
R_JDW-CD,0.032,0.032,0.032,0.032,0.032,0.032,0.032
R_JDW-SC,0.232,0.232,0.232,0.232,0.232,0.232,0.232
R_JDW-CW,0.105,0.105,0.105,0.105,0.105,0.105,0.105
R_JDW-DW,0.035,0.035,0.035,0.035,0.035,0.035,0.035
R_JDW-LT,0.101,0.101,0.101,0.101,0.101,0.101,0.101
R_JDW-OTH,0.408,0.408,0.408,0.408,0.408,0.408,0.408
R_JDW-MPS,0.032,0.032,0.032,0.032,0.032,0.032,0.032
R_JDW-MPM,0,0,0,0,0,0,0
R_JDW-UNAL,0.02,0.02,0.02,0.02,0.02,0.02,0.02
