Csets,Region,CommName,* Fuel,* Enduse,CommDesc,* OLD CommDesc,Unit,LimType,CTSLvl,PeakTS,Ctype
*Commodity Set Membership,Region Name,Commodity Name,,,,Commodity Description,Unit,Sense of the Balance EQN.,Timeslice Level,Peak Monitoring,Electricity Indicator
NRG,,OILD,Crude Oil (domestic),,Crude Oil (domestic) -:-,Oil products - Crude oil (domestic - for export),PJ,,,,
,,OILI,Crude Oil (imported),,Crude Oil (imported) -:-,Oil products - Crude oil imported (for refinery),PJ,,,,
,,LPG,LPG,,LPG -:-,Oil products - LPG,PJ,,,,
,,PET,Petrol,,Petrol -:-,Oil products - Petroleum,PJ,,,,
,,DSL,Diesel,,Diesel -:-,Oil products - Diesel oil,PJ,,,,
,,FOL,Fuel Oil,,Fuel Oil -:-,Oil products - Light fuel oil,PJ,,,,
,,JET,Jet Fuel,,Jet Fuel -:-,Oil products - Jet kerosen,PJ,,,,
,,OTH,Other fuels from refinery,,Other fuels from refinery -:-,Oil products - Other fuels from refinery,PJ,,,,
