Sets,Region,TechName,* Sector,* Subsector,* Technology,* Fuel,TechDesc,* OLD TechDesc,Tact,Tcap,Tslvl,PrimaryCG,Vintage
*Process Set Membership,Region Name,Technology Name,,,,,,Technology Description,Activity Unit,Capacity Unit,TimeSlice level of Process Activity,Primary Commodity Group,Vintage Tracking
*,,,,,,,,,,,,,
DMD,NI,T_P_CICEPET15,Transport,Road Transport,Internal Combustion Engine,Petrol,Transport -:- Road Transport -:- Internal Combustion Engine -:- Petrol,Light Vehicles -Passenger-Car/SUV-ICE-Petrol-Existing,BVKm,000cars,,,
DMD,NI,T_P_CICEDSL15,Transport,Road Transport,Internal Combustion Engine,Diesel,Transport -:- Road Transport -:- Internal Combustion Engine -:- Diesel,Light Vehicles -Passenger-Car/SUV-ICE-Diesel-Existing,BVKm,000cars,,,
DMD,NI,T_P_CBEVNEW15,Transport,Road Transport,Battery Electric Vehicle,Electricity,Transport -:- Road Transport -:- Battery Electric Vehicle -:- Electricity,Light Vehicles -Passenger-Car/SUV-BEV-Electricity-Existing,BVKm,000cars,,,
DMD,NI,T_P_CBEVUSD15,Transport,Road Transport,Battery Electric Vehicle,Electricity,Transport -:- Road Transport -:- Battery Electric Vehicle -:- Electricity,Light Vehicles -Passenger-Car/SUV-BEV: Used Import-Electricity-Existing,BVKm,000cars,,,
DMD,NI,T_P_CICELPG15,Transport,Road Transport,Internal Combustion Engine,LPG,Transport -:- Road Transport -:- Internal Combustion Engine -:- LPG,Light Vehicles -Passenger-Car/SUV-ICE-LPG-Existing 2015/New,BVKm,000cars,,,
DMD,NI,T_P_CHYBPET15,Transport,Road Transport,Hybrid Vehicle,Petrol,Transport -:- Road Transport -:- Hybrid Vehicle -:- Petrol,Light Vehicles -Passenger-Car/SUV-ICE Hybrid-Petrol-Existing 2015/New,BVKm,000cars,,,
DMD,NI,T_P_CPHEVPET15,Transport,Road Transport,Plug-In Hybrid Vehicle,Electricity,Transport -:- Road Transport -:- Plug-In Hybrid Vehicle -:- Electricity,Light Vehicles -Passenger-Car/SUV-PHEV-Petrol-Existing 2015/New,BVKm,000cars,,,
DMD,NI,T_C_CICEPET15,Transport,Road Transport,Internal Combustion Engine,Petrol,Transport -:- Road Transport -:- Internal Combustion Engine -:- Petrol,Light Vehicles -Commercial-Van/ute-ICE-Petrol-Existing,BVKm,000cars,,,
DMD,NI,T_C_CICEDSL15,Transport,Road Transport,Internal Combustion Engine,Diesel,Transport -:- Road Transport -:- Internal Combustion Engine -:- Diesel,Light Vehicles -Commercial-Van/ute-ICE-Diesel-Existing,BVKm,000cars,,,
DMD,NI,T_C_CBEVNEW15,Transport,Road Transport,Battery Electric Vehicle,Electricity,Transport -:- Road Transport -:- Battery Electric Vehicle -:- Electricity,Light Vehicles -Commercial-Van/ute-BEV-Electricity-Existing,BVKm,000cars,,,
DMD,NI,T_C_CICELPG15,Transport,Road Transport,Internal Combustion Engine,LPG,Transport -:- Road Transport -:- Internal Combustion Engine -:- LPG,Light Vehicles -Commercial-Van/ute-ICE-LPG-Existing 2015/New,BVKm,000cars,,,
DMD,NI,T_C_CHYBPET15,Transport,Road Transport,Hybrid Vehicle,Petrol,Transport -:- Road Transport -:- Hybrid Vehicle -:- Petrol,Light Vehicles -Commercial-Van/ute-ICE Hybrid-Petrol-Existing 2015/New,BVKm,000cars,,,
DMD,NI,T_P_MICEPET15,Transport,Road Transport,Internal Combustion Engine,Petrol,Transport -:- Road Transport -:- Internal Combustion Engine -:- Petrol,Motor cycle petrol,BVKm,000mcy,,,
DMD,NI,T_P_BICEPET15,Transport,Road Transport,Internal Combustion Engine,Petrol,Transport -:- Road Transport -:- Internal Combustion Engine -:- Petrol,Bus- ICE-PET,BVKm,000busses,,,
DMD,NI,T_P_BICEDSL15,Transport,Road Transport,Internal Combustion Engine,Diesel,Transport -:- Road Transport -:- Internal Combustion Engine -:- Diesel,Bus- ICE-DSL,BVKm,000busses,,,
DMD,NI,T_P_BBEVELC15,Transport,Road Transport,Battery Electric Vehicle,Electricity,Transport -:- Road Transport -:- Battery Electric Vehicle -:- Electricity,Bus- BEV-NEW,BVKm,000busses,,,
DMD,NI,T_F_MTICEPET15,Transport,Road Transport,Internal Combustion Engine,Petrol,Transport -:- Road Transport -:- Internal Combustion Engine -:- Petrol,Medium Truck - ICE - PET,BVKm,000trucks,,,
DMD,NI,T_F_MTICEDSL15,Transport,Road Transport,Internal Combustion Engine,Diesel,Transport -:- Road Transport -:- Internal Combustion Engine -:- Diesel,Medium Truck - ICE - DSL,BVKm,000trucks,,,
DMD,NI,T_F_MBEVELC15,Transport,Road Transport,Battery Electric Vehicle,Electricity,Transport -:- Road Transport -:- Battery Electric Vehicle -:- Electricity,Medium Truck - BEV - ELC,BVKm,000trucks,,,
DMD,NI,T_F_HTICEDSL15,Transport,Road Transport,Internal Combustion Engine,Diesel,Transport -:- Road Transport -:- Internal Combustion Engine -:- Diesel,Heavy truck - ICE - DSL,BVKm,000trucks,,,
DMD,NI,T_F_VHTICEDSL15,Transport,Road Transport,Internal Combustion Engine,Diesel,Transport -:- Road Transport -:- Internal Combustion Engine -:- Diesel,Very Heavy Truck - ICE - DSL,BVKm,000trucks,,,
DMD,NI,T_F_DSHIPP15,Transport,Shipping,Ship,Fuel Oil,Transport -:- Shipping -:- Ship -:- Fuel Oil,Domestic shipping,PJ,PJa,,,
DMD,NI,T_F_ISHIPP15,Transport,Shipping,Ship,Fuel Oil,Transport -:- Shipping -:- Ship -:- Fuel Oil,International shipping,PJ,PJa,,,
DMD,NI,T_O_FuelJet,Transport,Aviation,Plane,Jet Fuel,Transport -:- Aviation -:- Plane -:- Jet Fuel,Other transport fuels aviation jet fuel,PJ,PJa,,,
DMD,NI,T_O_FuelJet_Int,Transport,Aviation,Plane,Jet Fuel,Transport -:- Aviation -:- Plane -:- Jet Fuel,Other transport fuels aviation jet fuel - International,PJ,PJa,,,
DMD,NI,T_R_Rail15,Transport,Rail,Train,Diesel,Transport -:- Rail -:- Train -:- Diesel,Rail transport fuel consumption,PJ,PJa,,,
DMD,NI,T_P_Rail15,Transport,Rail,Train,Electricity,Transport -:- Rail -:- Train -:- Electricity,Passenger rail transport fuel consumption,PJ,PJa,,,
