TechName,Comm-IN,Comm-OUT,EFF~2018,LIFE,*ACT_BND~UP,ACT_BND~2018,ACT_BND~0,Cap2Act,NCAP_AFA~2018,INVCOST,FIXOM,VAROM,PRC_resid~2018,PRC_resid~2040,PRC_resid~2045,PRC_resid~2050,Share,Share~0,CEFF~2018
*Technology Name,Input Commodity,Output Commodity,Fuel efficiency,Lifetime,Total BVKM NY,NI BVKM,Interpolation rule for ACT_BND,Vehicle max annual travel distance,Annual utilisation rate,Invesment cost of technology,Fixed O&M costs,Variable O&M costs,Total vehicle stock,NI vehicle stock,New NI vehicle stock 2018,NI vehicle stock,Mode or fuel share,Mode or fuel share interpolation rule,Efficiency for input commodity
*Units,,,Bvkm/PJ,Years,,2018,,000km,%,000NZD/vehicle,000NZD/vehicle,000NZD/vehicle,000vehicles,000vehicles,000vehicles,000vehicles,%,,%
T_P_CICEPET15,TRAPET,T_P_Car,0.308459183327481,18.893708933,,23.4846080343888,-1,0.08,0.133079127596572,33.8572530637795,1.38367610709503,,2205.88762288687,0,,,,,
T_P_CICEDSL15,TRADSL,T_P_Car,0.27102281432564,19.957648846,,2.79555721132864,-1,0.08,0.166526485898479,40.9821610282072,1.34308666666667,,209.843286808511,0,,,,,
T_P_CBEVNEW15,TRAELC,T_P_Car,1.40799222108786,18.893708933,,0.0481864807044184,-1,0.08,0.0960190785477425,56.4342738974834,1.34698629521946,,6.27303467097677,0,,,,,
T_P_CBEVUSD15,TRAELC,T_P_Car,1.40799222108786,13.893708933,,0,-1,0.08,0.0816162167655811,25.285083214394,1.61927176981466,,0,0,,,,,
T_P_CICELPG15,TRALPG,T_P_Car,0.314569915448285,18.893708933,,0.013343948502762,-1,0.08,0.238458603586417,36.6794543808068,1.38367610709503,,0.699489780514785,0,,,,,
T_P_CHYBPET15,TRAPET,T_P_Car,0.409739656052812,18.893708933,,0.348425322016564,-1,0.08,0.189723539701952,38.4943273070229,1.13302870436116,,22.9561209539369,0,,,,,
T_P_CPHEVPET15,,T_P_Car,,18.893708933,,0.02223991417127,-1,0.08,0.140028304387927,51.9096740364948,1.21513296486487,,1.98530524493621,0,,,,,
,TRAPET,,,,,,,,,,,,,,,,0.4,,0.308459183327481
,TRAELC,,,,,,,,,,,,,,,,0.6,,1.40799222108786
T_C_CICEPET15,TRAPET,T_C_Car,0.224465495704546,22.051404093,,1.0798734943225,-1,0.08,0.12412458902592,33.8966666666667,1.34308666666667,,108.748949623612,,0,,,,
T_C_CICEDSL15,TRADSL,T_C_Car,0.242329128781387,15.784552846,,5.26597133407856,-1,0.08,0.20286569808977,50.4003390834807,1.53961127372657,,324.473985971024,0,,,,,
T_C_CBEVNEW15,TRAELC,T_C_Car,1.32866322117862,22.051404093,,0.00635219702542649,-1,0.08,0.143987098755951,70.7086956521739,1.70980622173149,,0.551455397767358,,0,,,,
T_C_CICELPG15,TRALPG,T_C_Car,0.314569915448285,22.051404093,,0.00282319867796733,-1,0.08,0.158800736835419,36.7188679836939,1.34308666666667,,0.222228083936198,,0,,,,
T_C_CHYBPET15,TRAPET,T_C_Car,0.320800575407661,22.051404093,,9.22654970345036e-05,-1,0.08,0.158800736835419,38.5391389793411,1.09979187902069,,0.00726267859907095,,0,,,,
T_P_MICEPET15,TRAPET,T_P_Mcy,0.586029893127309,12.14726436,,0.303333810695972,-1,0.08,0.0301146766888311,10,0.5,,125.907798143684,0,,,,,
T_P_BICEPET15,TRAPET,T_P_Bus,0.108785306236062,31,,0.00135129062584408,-1,0.08,0.158358142775702,0,18.7441995049423,,0.106664125551003,,,0,,,
T_P_BICEDSL15,TRADSL,T_P_Bus,0.0732005477545315,26.248,,0.206747465754145,-1,0.08,0.347791772292316,440,18.7441995049423,,7.4307201257041,,,0,,,
T_P_BBEVELC15,TRAELC,T_P_Bus,0.265481250816156,30,,0.00202693593876612,-1,0.08,0.43322550831793,927.408,17.2243995450822,,0.0584838582865319,,,0,,,
T_F_MTICEPET15,TRAPET,T_F_MTrk,0.136382216288253,34.774647887,,0.0053924053833707,-1,0.08,0.0382721277,0,3.8,,1.76120512087792,,,0,,,
T_F_MTICEDSL15,TRADSL,T_F_MTrk,0.131872336742822,21.981385163,,0.587921320980416,-1,0.08,0.131881175292351,440,3.8,,55.7245300245775,,0,,,,
T_F_MBEVELC15,TRAELC,T_F_MTrk,0.600561691903235,21.981385163,,2.86187167013468e-05,-1,0.08,0.0195306586538462,927.408,3.5,,0.0183165332571304,,0,,,,
T_F_HTICEDSL15,TRADSL,T_F_HTrk,0.0565,21.981385163,,0.482240592947534,-1,0.08,0.145,200,16.44,,41.5827573859761,,0,,,,
T_F_VHTICEDSL15,TRADSL,T_F_VHTrk,0.047,21.981385163,,1.0834690860466,-1,0.08,1.457,300,18,,9.29916303823543,,,,,,
T_F_DSHIPP15,TRAFOL,T_F_DSHIP,1,60,,1.21586335144989,,,,,,,,,,,,,
T_F_ISHIPP15,FOL,T_F_ISHIP,1,60,,7.38981111486747,,,,,,,,,,,,,
T_O_FuelJet,TRAJet,T_O_JET,1,60,,7.71288141351089,,,,,,,,,,,,,
T_O_FuelJet_Int,Jet,T_O_JET_Int,1,60,,45.7161031953756,,,,,,,,,,,,,
T_R_Rail15,TRADSL,T_F_Rail,1,60,,1.23068346841534,,,,,,,,,,,0.976280745,3,
,TRAELC,,,,,,,,,,,,,,,,0.023719255,3,
T_P_Rail15,TRAELC,T_P_Rail,1,60,,0.256338051282051,,,,,,,,,,,0.617484415,3,
,TRADSL,,,,,,,,,,,,,,,,0.382515585,3,
