TechName,Comm-IN,Comm-OUT,Share-I~UP,Share-I~UP~2020,Share-I~UP~2060,CAP2ACT,EFF,LIFE,FIXOM,VAROM,FLO_DELIV
*Technology Name,Input Commodity,Output Commodity,,,,,Efficiency,Lifetime,Fixed O&M,Variable O&M,
*Units,,,,,,,,Years,MNZD/GW,MNZD/PJ,
FTE_TRANGA,NGA,TRANGA,,,,,1,60,,4.946,
FTE_TRABIL,BIL,TRABIL,,,,,1,60,,,
FTE_TRALPG,LPG,TRALPG,,,,,1,60,,4.946,
FTE_TRAPET,PET,TRAPET,,,,,1,60,,0.92,
FTE_TRADSL,DSL,TRADSL,1,1,1,,1,60,,0.92,
,BDSL,,0.07,0.07,0.07,,,,,,
,DID,,1,1,1,,,,,,2.4
FTE_TRAJET,JET,TRAJET,,,,,1,60,,,
,DIJ,,,,,,,,,,2.4
\I:,H2R,\I:,,,,31.536,0.37,20,100.409722222222,,
G_ELC_T_00,ELCD,TRAELC,,,,,1,60,,,
FTE_TRAFOL,FOL,TRAFOL,,,,,1,60,,,
