TechName,Comm-IN,Comm-OUT,Share-I~UP,Share-I~UP~2020,Share-I~UP~0,NCAP_PASTI~SI~2000,PRC_RESID~2018,*PRC_RESID~2015,*NCAP_PASTY,EFF,LIFE,INVCOST,VAROM,CAP2ACT,*ACT_BND~SI~2015,*ACT_BND~NI~2018,ACT_BND~SI~2018,ACT_BND~SI~0,AFA,*AFA~LO,*FLO_MARK~NI~2018,*FLO_MARK~SI~2018,*FLO_MARK~0,NCAP_BND~2025,NCAP_BND~0
*Technology Name,Input Commodity,Output Commodity,Input Share,Input Share,Input Share,Existing Installed Capacity,Existing Installed Capacity,Existing Installed Capacity,Existing Installed Capacity installation period,Efficiency,Lifetime,CAPEX,Variable O&M,Capacity to activity factor,Actual end-use in 2018,Actual end-use in 2018,Actual end-use in 2018,Actual end-use in 2018,Annual utilisation factor,Annual utilisation factor,Technology market share in end-use,Technology market share in end-use,Technology market share in end-use,Technology investment ban for existing tech,
*Units,,,,,,GW,GW,GW,Years,%,Years,NZD/kW,MNZD/PJ,,Eun-use PJ,Eun-use PJ,Eun-use PJ,Eun-use PJ,%,%,%,%,Interpolation/extrapolation rule,,
ALU-PH-FURN-ELC-Furn15,INDELC,ALU-PH-FURN,,,,0.516,,,,0.8,25,63,,31.536,14.628,0,14.6282,5,0.9,0.63,0.05,,5,0,5
CNST-MoTP-Mob-DSL-ICE_Off15,INDDSL,CNST-MoTP-Mob,,,,,0.123,0.123,16,0.18,20,2388,,31.536,0.346,2.9505,0.346388,5,0.09,0.06,0.833,1,5,0,5
CNST-MoTP-Mob-NGA-ICE_Off15,INDNGA,CNST-MoTP-Mob,,,,,0,0,16,0.13,20,2723,,31.536,0,0.5932,0,5,0.09,0.06,0.168,0,5,0,5
CNST-MoTP-Stat-ELC-Mtr15,INDELC,CNST-MoTP-Stat,,,,,0.01,0.01,6,0.675,10,280,,31.536,0.155,0.0108,0.1547,5,0.5,0.35,,,,0,5
CNST-MoTP-Stat-DSL-St_ngn15,INDDSL,CNST-MoTP-Stat,,,,,0,0,16,0.22,20,455,,31.536,0,0.006,0,5,0.5,0.35,,,,0,5
DARY-PH-MVR_DRY-COA-BLR15,INDCOA,DARY-PH-MVR_DRY,,,,,0.128,0.128,16,0.8,20,750,,31.536,2.748,0.721,2.7476,5,0.685,0.48,0.92,,5,0,5
DARY-PH-MVR_DRY-NGA-BLR15,INDNGA,DARY-PH-MVR_DRY,,,,,0,0,21,0.87,25,250,,31.536,0,0.0628,0,5,0.685,0.48,0.081,0,5,0,5
DARY-PH-MVR_PRE-COA-BLR15,INDCOA,DARY-PH-MVR_PRE,,,,,0.035,0.035,16,0.8,20,750,,31.536,0.735,0.0001,0.7347,5,0.685,0.48,0.001,1,5,0,5
