Csets,Region,CommName,* Fuel,* Enduse,CommDesc,* OLD CommDesc,Unit,LimType,CTSLvl,PeakTS,Ctype
*Commodity Set Membership,Region Name,Commodity Name,,,,Commodity Description,Unit,Sense of the Balance EQN.,Timeslice Level,Peak Monitoring,Electricity Indicator
DEM,,ALU-PH-FURN,,Process Heat Furnace,-:- Process Heat Furnace,Aluminium - Process Heat: Furnace/Kiln,PJ,,DAYNITE,,
DEM,,CNST-MoTP-Mob,,"Motive Power, Mobile","-:- Motive Power, Mobile","Construction - Motive Power, Mobile",PJ,,DAYNITE,,
DEM,,CNST-MoTP-Stat,,"Motive Power, Stationary","-:- Motive Power, Stationary","Construction - Motive Power, Stationary",PJ,,DAYNITE,,
DEM,,DARY-AIR,,Compressed Air,-:- Compressed Air,Dairy - Compressed Air,PJ,,DAYNITE,,
DEM,,DARY-MoTP-Stat,,"Motive Power, Stationary","-:- Motive Power, Stationary","Dairy - Motive Power, Stationary",PJ,,DAYNITE,,
DEM,,DARY-PH-MVR_DRY,,Process Heat Evaporation/Drying,-:- Process Heat Evaporation/Drying,Dairy - Process Heat: MVR Drying,PJ,,DAYNITE,,
DEM,,DARY-PH-MVR_PRE,,Process Heat Evaporation/Drying,-:- Process Heat Evaporation/Drying,Dairy - Process Heat: MVR Evaporation Preheat,PJ,,DAYNITE,,
DEM,,DARY-PH-TVR_EVP,,Process Heat Evaporation/Drying,-:- Process Heat Evaporation/Drying,Dairy - Process Heat: TVR Evaporation,PJ,,DAYNITE,,
DEM,,DARY-PH-TVR_DRY,,Process Heat Evaporation/Drying,-:- Process Heat Evaporation/Drying,Dairy - Process Heat: TVR Drying,PJ,,DAYNITE,,
DEM,,DARY-PH-MVR_TVR,,Process Heat Evaporation/Drying,-:- Process Heat Evaporation/Drying,Dairy - Process Heat: MVR Evaporation TVR,PJ,,DAYNITE,,
DEM,,DARY-PH-MVR_Fan,,Process Heat MVR Fan,-:- Process Heat MVR Fan,Dairy - Process Heat: MVR Fan,PJ,,DAYNITE,,
DEM,,DARY-PH-STM_HW,,Process Heat Steam/Hot Water,-:- Process Heat Steam/Hot Water,Dairy - Process Heat: Steam/Hot Water,PJ,,DAYNITE,,
DEM,,DARY-Pump,,Pumping,-:- Pumping,Dairy - Pumping,PJ,,DAYNITE,,
DEM,,DARY-RFGR,,Refrigeration,-:- Refrigeration,Dairy - Refrigeration,PJ,,DAYNITE,,
DEM,,FOOD-MoTP-Stat,,"Motive Power, Stationary","-:- Motive Power, Stationary","Food - Motive Power, Stationary",PJ,,DAYNITE,,
DEM,,FOOD-PH-DirH,,Process Heat Direct,-:- Process Heat Direct,Food - Process Heat: Direct Heat,PJ,,DAYNITE,,
DEM,,FOOD-PH-OVN,,Process Heat Oven,-:- Process Heat Oven,Food - Process Heat: Oven,PJ,,DAYNITE,,
DEM,,FOOD-PH-STM_HW,,Process Heat Steam/Hot Water,-:- Process Heat Steam/Hot Water,Food - Process Heat: Steam/Hot Water,PJ,,DAYNITE,,
DEM,,FOOD-Pump,,Pumping,-:- Pumping,Food - Pumping,PJ,,DAYNITE,,
DEM,,FOOD-RFGR,,Refrigeration,-:- Refrigeration,Food - Refrigeration,PJ,,DAYNITE,,
DEM,,IIS-FDSTCK,,Feedstock,-:- Feedstock,Iron/Steel - Steel production (feedstock),PJ,,DAYNITE,,
DEM,,IIS-MoTP-Stat,,"Motive Power, Stationary","-:- Motive Power, Stationary","Iron/Steel - Motive Power, Stationary",PJ,,DAYNITE,,
DEM,,IIS-PH-FURN,,Process Heat Furnace,-:- Process Heat Furnace,Iron/Steel - Process Heat: Furnace/Kiln,PJ,,DAYNITE,,
DEM,,MEAT-MoTP-Stat,,"Motive Power, Stationary","-:- Motive Power, Stationary","Meat - Motive Power, Stationary",PJ,,DAYNITE,,
DEM,,MEAT-PH-STM_HW,,Process Heat Steam/Hot Water,-:- Process Heat Steam/Hot Water,Meat - Process Heat: Steam/Hot Water,PJ,,DAYNITE,,
DEM,,MEAT-PH-DirH,,Process Heat Direct,-:- Process Heat Direct,Meat - Process Heat: Direct Heat,PJ,,DAYNITE,,
DEM,,MEAT-RFGR,,Refrigeration,-:- Refrigeration,Meat - Refrigeration,PJ,,DAYNITE,,
DEM,,METAL-MoTP-Stat,,"Motive Power, Stationary","-:- Motive Power, Stationary","Metal product manufacturing - Motive Power, Stationary",PJ,,DAYNITE,,
DEM,,METAL-PH-FURN,,Process Heat Furnace,-:- Process Heat Furnace,Metal product manufacturing - Process Heat: Furnace/Kiln,PJ,,DAYNITE,,
DEM,,METAL-RFGR,,Refrigeration,-:- Refrigeration,Metal product manufacturing - Refrigeration,PJ,,DAYNITE,,
DEM,,METAL-PH-DirH,,Process Heat Direct,-:- Process Heat Direct,Metal product manufacturing - Process Heat: Direct Heat,PJ,,DAYNITE,,
DEM,,MTHOL-FDSTCK,,Feedstock,-:- Feedstock,Methanol - Methanol production (feedstock),PJ,,DAYNITE,,
DEM,,MTHOL-PH_REFRM,,Process Heat Reformer,-:- Process Heat Reformer,Methanol - Process Heat: Reformer,PJ,,DAYNITE,,
DEM,,MNRL-MoTP-Stat,,"Motive Power, Stationary","-:- Motive Power, Stationary","Mineral - Motive Power, Stationary",PJ,,DAYNITE,,
DEM,,MNRL-PH-FURN,,Process Heat Furnace,-:- Process Heat Furnace,Mineral - Process Heat: Furnace/Kiln,PJ,,DAYNITE,,
DEM,,MNRL-PH-STM_HW,,Process Heat Steam/Hot Water,-:- Process Heat Steam/Hot Water,Mineral - Process Heat: Steam/Hot Water,PJ,,DAYNITE,,
DEM,,MNNG-MoTP-Mob,,"Motive Power, Mobile","-:- Motive Power, Mobile","Mining - Motive Power, Mobile",PJ,,DAYNITE,,
DEM,,MNNG-MoTP-Stat,,"Motive Power, Stationary","-:- Motive Power, Stationary","Mining - Motive Power, Stationary",PJ,,DAYNITE,,
