CommName,Demand~2018
ADCF-MoTP-Stat,0.412
ADCF-IRG,0.935
ADCF-WH,0.841
ADCF-MoTP-Mob-Trac,0.155
ADCF-MoTP-Mob-MTr,0.05
ADCF-MoTP-Mob-Uti,0.046
ADCF-MoTP-Mob-Bike,0.028
ADCF-PUMP,0.362
ADCF-RFGR,1.368
ADCF-LIG,0.004
ALIVE-IRG,0.48
ALIVE-MoTP-Mob-Trac,0.115
ALIVE-MoTP-Mob-MTr,0.007
ALIVE-MoTP-Mob-Uti,0.013
ALIVE-MoTP-Mob-Bike,0.021
ALIVE-LIG,0.032
AHORT-IRG,0.486
AHORT-MoTP-Mob-Trac,0.134
AHORT-MoTP-Mob-MTr,0.008
AHORT-MoTP-Mob-Uti,0.015
AHORT-MoTP-Stat,0.07
AHORT-LIG,0.002
AINDC-SH,1.074
AINDC-LIG,0.001
AFORE-MoTP-Stat,0.053
AFORE-MoTP-Mob-GB,0.023
AFORE-MoTP-Mob-CY,0.023
AFORE-LIG,0.002
AFISH-BOAT,0.337
AFISH-RFGR,0.161
AFISH-LIG,0.001
AOTH-ELC,0.011
AOTH-FOL,0.015
AOTH-LPG,0.055
AOTH-PET,0.006
