CommName,Demand~2018
C_EDU-OTH,0.022
C_EDU-LT,0.02
C_EDU-SH,0.332
C_EDU-WH,0.026
C_EDU-MPM,0.02
C_EDU-MPS,0.002
C_EDU-RF,0
C_EDU-SC,0.098
C_HLTH-OTH,0.057
C_HLTH-LT,0.018
C_HLTH-SH,0.25
C_HLTH-WH,0.151
C_HLTH-PH,0.077
C_HLTH-MPM,0.003
C_HLTH-MPS,0.016
C_HLTH-RF,0.032
C_HLTH-SC,0.197
C_OFFC-OTH,0.485
C_OFFC-LT,0.122
C_OFFC-SH,1.491
C_OFFC-WH,0.175
C_OFFC-MPM,0.067
C_OFFC-MPS,0.142
C_OFFC-SC,1.351
C_WSR-OTH,0.155
C_WSR-CK,0.252
C_WSR-LT,0.094
C_WSR-SH,0.864
C_WSR-WH,0.469
C_WSR-MPM,0.013
C_WSR-MPS,0.293
C_WSR-RF,2.216
C_WSR-SC,0.292
C_OTH-OTH,0.073
C_OTH-LT,0.031
C_OTH-SH,0.342
C_OTH-WH,0.025
C_OTH-MPM,0.037
C_OTH-MPS,0.075
C_OTH-SC,0.312
