TechName,*TechDesc,Comm-IN,Comm-OUT,*Delivered energy,EFF,*Share~UP~2018,Life,INVCOST,FIXOM,AFA,CAP2ACT,PRC_RESID,*ACT_BND~Total,*NI Split,ACT_BND
*Technology Name,Technology Description,Input Commodity,Output Commodity,Energy consumption 2018,Efficiency,,Lifetime of Process,Investment Cost,O&M Cost,Capacity Factor,Capacity to activity,Existing Installed Capacity in Pja,Bound on activity of a process,Consumption of North Island,Bound on activity of a process
C_EDU-OTH_ELEC-ELC00,Education Electronics ELC,COMELC,C_EDU-OTH,0.113127629,0.9,,4,5000,0,0.22,31.536,0.00318450284000104,0.1018148661,0.783,0.0220938259437
C_EDU-LT_INC-ELC00,Education Lighting Incandescent ELC,COMELC,C_EDU-LT,0.00607109956,0.015,0.01,1,22,0,0.22,31.536,2.84832184109935e-06,9.10664934e-05,0.783,1.97614290678e-05
C_EDU-LT_FLU-ELC00,Education Lighting Fluorescent ELC,COMELC,C_EDU-LT,0.49175906436,0.135,0.81,5,333,0,0.22,31.536,0.00207642662216143,0.0663874736886,0.783,0.0144060817904262
C_EDU-LT_LED-ELC00,Education Lighting LED ELC,COMELC,C_EDU-LT,0.10927979208,0.25,0.18,20,1000,0,0.22,31.536,0.000854496552329805,0.02731994802,0.783,0.00592842872034
C_EDU-SH_Boiler-COA00,Education Boiler Systems COA,COMCOA,C_EDU-SH,0.107400894,0.75,,25,4000,15,0.1,31.536,0.00554271166238584,0.0805506705,0.783,0.0174794954985
C_EDU-SH_Boiler-DSL00,Education Boiler Systems DSL,COMDSL,C_EDU-SH,0.022328154,0.85,,25,1900,3,0.1,31.536,0.00130594495348174,0.0189789309,0.783,0.0041184280053
C_EDU-SH_Boiler-FOL00,Education Boiler Systems FOL,COMFOL,C_EDU-SH,0.003734259,0.84,,25,1900,3,0.1,31.536,0.000215842443721461,0.00313677756,0.783,0.00068068073052
C_EDU-SH_Boiler-NGA00,Education Boiler Systems NGA,COMNGA,C_EDU-SH,0.426939836,0.85,,25,1250,2,0.1,31.536,0,0.3628988606,1,0
C_EDU-SH_Burner-NGA00,Education Burner (Direct Heat) NGA,COMNGA,C_EDU-SH,0.234601969,0.8,,12.5,300,0,0.1,31.536,0,0.1876815752,1,0
C_EDU-SH_AIRHP-ELC00,Education Heat Pump Air Source (for Heating) ELC,COMELC,C_EDU-SH,0.020628337,3.5,,10,1718,0,0.1,31.536,0.00496804349045535,0.0721991795,0.783,0.0156672219515
C_EDU-SH_RH-ELC00,Education Resistance Heater ELC,COMELC,C_EDU-SH,1.373233614,0.99,,10,80,0,0.1,31.536,0.093547620908048,1.35950127786,0.783,0.29501177729562
C_EDU-WH_Boiler-COA00,Education Boiler Systems COA,COMCOA,C_EDU-WH,0.012821948,0.75,,25,4000,15,0.22,31.536,0.000300777760049121,0.009616461,0.783,0.002086772037
C_EDU-WH_Cylinder-ELC00,Education Hot Water Cylinder ELC,COMELC,C_EDU-WH,0.126398348,0.9,,15,655,0,0.22,31.536,0.00355806889736405,0.1137585132,0.783,0.0246855973644
C_EDU-WH_Cylinder-NGA00,Education Hot Water Cylinder NGA,COMNGA,C_EDU-WH,0.054405725,0.6,,15,316,0,0.22,31.536,0,0.032643435,1,0
C_EDU-MPM_-DSL00,Education Motive power - mobile DSL,COMDSL,C_EDU-MPM,0.4916667262,0.16,,20,929,7,0.05,31.536,0.0108261470913648,0.078666676192,0.783,0.017070668733664
C_EDU-MPM_-PET00,Education Motive power - mobile PET,COMPET,C_EDU-MPM,0.1100450892,0.14,,20,650,7,0.05,31.536,0.00212022438476408,0.015406312488,0.783,0.003343169809896
C_EDU-MPS_-ELC00,Education Motive power Stationery ELC,COMELC,C_EDU-MPS,0.011123123,0.86,,10,187,0,0.22,31.536,0.00029919589938483,0.00956588578,0.783,0.00207579721426
C_EDU-MPS_-PET00,Education Motive power Stationery PET,COMPET,C_EDU-MPS,0.003518958,0.14,,20,150,5,0.22,31.536,1.54089329424381e-05,0.00049265412,0.783,0.00010690594404
C_EDU-RF_Refriger-ELC00,Education Refrigeration Systems ELC,COMELC,C_EDU-RF,0.002026467,1.8,,8,7500,5,0.22,31.536,0.000114088662048568,0.0036476406,0.783,0.0007915380102
C_EDU-SC_AirHP-ELC00,Education Heat Pump Air Source (for Cooling) ELC,COMELC,C_EDU-SC,0.129344777,3.5,,10,1718,0,0.11,31.536,0.0283189653762223,0.4527067195,0.783,0.0982373581315
\I:,,,,,,,,,,,,,,,
C_HLTH-OTH_ELEC-ELC00,Healthcare Electronics ELC,COMELC,C_HLTH-OTH,0.242168705,0.9,,4,5000,0,0.46,31.536,0.00398145639920836,0.2179518345,0.735,0.0577572361425
C_HLTH-LT_INC-ELC00,Healthcare Lighting Incandescent ELC,COMELC,C_HLTH-LT,0.00444433409,0.015,0.01,1,88,0,0.46,31.536,1.21780959839893e-06,6.666501135e-05,0.735,1.766622800775e-05
C_HLTH-LT_FLU-ELC00,Healthcare Lighting Fluorescent ELC,COMELC,C_HLTH-LT,0.35999106129,0.135,0.81,5,1332,0,0.46,31.536,0.000887783197232821,0.04859879327415,0.735,0.0128786802176498
C_HLTH-LT_LED-ELC00,Healthcare Lighting LED ELC,COMELC,C_HLTH-LT,0.07999801362,0.25,0.18,20,4000,0,0.46,31.536,0.000365342879519679,0.019999503405,0.735,0.005299868402325
C_HLTH-SH_Boiler-COA00,Healthcare Boiler Systems COA,COMCOA,C_HLTH-SH,0.071848824,0.75,,25,1600,15,0.34,31.536,0.00133180695171904,0.053886618,0.735,0.01427995377
C_HLTH-SH_Boiler-DSL00,Healthcare Boiler Systems DSL,COMDSL,C_HLTH-SH,0.012593835,0.85,,25,760,3,0.34,31.536,0.000264567975884703,0.01070475975,0.735,0.00283676133375
C_HLTH-SH_Boiler-NGA00,Healthcare Boiler Systems NGA,COMNGA,C_HLTH-SH,1.515810427,0.85,,25,500,2,0.34,31.536,0,1.28843886295,1,0
C_HLTH-SH_AIRHP-ELC00,Healthcare Heat Pump Air Source (for Heating) ELC,COMELC,C_HLTH-SH,0.099243505,3.5,,10,1718,0,0.34,31.536,0.00858480605615058,0.3473522675,0.735,0.0920483508875
C_HLTH-SH_RH-ELC00,Healthcare Resistance Heater ELC,COMELC,C_HLTH-SH,0.538359911,0.99,,10,80,0,0.34,31.536,0.0131725015156208,0.53297631189,0.735,0.14123872265085
C_HLTH-WH_Boiler-FOL00,Healthcare Boiler Systems FOL,COMFOL,C_HLTH-WH,0.002456939,0.84,,25,760,3,0.46,31.536,3.77011932118986e-05,0.00206382876,0.735,0.0005469146214
C_HLTH-WH_Boiler-COA00,Healthcare Boiler Systems COA,COMCOA,C_HLTH-WH,0.071019019,0.75,,25,1600,15,0.46,31.536,0.000973010143428214,0.05326426425,0.735,0.01411503002625
C_HLTH-WH_Cylinder-ELC00,Healthcare Hot Water Cylinder ELC,COMELC,C_HLTH-WH,0.571760579,0.9,,15,655,0,0.46,31.536,0.009400222939932,0.5145845211,0.735,0.1363648980915
C_HLTH-WH_DirectH-GEO00,Healthcare Direct Heat GEO,COMGEO,C_HLTH-WH,0.0520199519164451,1,,10,100,0,0.46,31.536,0,0.0520199519164451,1,0
C_HLTH-PH_RH-ELC00,Healthcare Resistance Heater ELC,COMELC,C_HLTH-PH,0.272800187,0.99,,10,80,0,0.46,31.536,0.00493356998898774,0.27007218513,0.735,0.07156912905945
C_HLTH-PH_Boiler-COA00,Healthcare Boiler Systems COA,COMCOA,C_HLTH-PH,0.030929005,0.75,,25,1600,15,0.46,31.536,0.000423748962107488,0.02319675375,0.735,0.00614713974375
C_HLTH-PH_Boiler-NGA00,Healthcare Boiler Systems NGA,COMNGA,C_HLTH-PH,0,0.85,,25,500,2,0.34,31.536,0,0,1,0
C_HLTH-MPM_-DSL00,Healthcare Motive power - mobile DSL,COMDSL,C_HLTH-MPM,0.05358036502,0.16,,20,929,7,0.05,31.536,0.00144077085036022,0.0085728584032,0.735,0.002271807476848
C_HLTH-MPM_-PET00,Healthcare Motive power - mobile PET,COMPET,C_HLTH-MPM,0.0266315328,0.14,,20,650,7,0.05,31.536,0.000626604431050228,0.003728414592,0.735,0.00098802986688
C_HLTH-MPS_-ELC00,Healthcare Motive power Stationery ELC,COMELC,C_HLTH-MPS,0.071252472,0.86,,10,187,0,0.46,31.536,0.00111938587568659,0.06127712592,0.735,0.0162384383688
C_HLTH-RF_Refriger-ELC00,Healthcare Refrigeration Systems ELC,COMELC,C_HLTH-RF,0.067219312,1.8,,8,7500,5,0.46,31.536,0.00221028361127655,0.1209947616,0.735,0.032063611824
C_HLTH-SC_AIRHP-ELC00,Healthcare Heat Pump Air Source (for Cooling) ELC,COMELC,C_HLTH-SC,0.213015993,3.5,,10,1718,0,0.23,31.536,0.0272390330316078,0.7455559755,0.735,0.1975723335075
\I:,,,,,,,,,,,,,,,
C_OFFC-OTH_EELC-ELC00,Office Blocks Electronics ELC,COMELC,C_OFFC-OTH,2.306752488,0.9,,4,5000,0,0.45,31.536,0.0342326282465753,2.0760772392,0.766,0.4858020739728
C_OFFC-LT_INC-ELC00,Office Blocks Lighting Incandescent ELC,COMELC,C_OFFC-LT,0.03379766627,0.015,0.01,1,44,0,0.45,31.536,8.35939234227549e-06,0.00050696499405,0.766,0.0001186298086077
C_OFFC-LT_FLU-ELC00,Office Blocks Lighting Fluorescent ELC,COMELC,C_OFFC-LT,2.73761096787,0.135,0.81,5,666,0,0.45,31.536,0.00609399701751884,0.36957748066245,0.766,0.0864811304750133
C_OFFC-LT_LED-ELC00,Office Blocks Lighting LED ELC,COMELC,C_OFFC-LT,0.60835799286,0.25,0.18,20,2000,0,0.45,31.536,0.00250781770268265,0.152089498215,0.766,0.03558894258231
C_OFFC-SH_Boiler-COA00,Office Blocks Boiler Systems COA,COMCOA,C_OFFC-SH,0.05482311,0.75,,25,800,15,0.1,31.536,0.00305094362157534,0.0411173325,0.766,0.009621455805
C_OFFC-SH_Boiler-DSL00,Office Blocks Boiler Systems DSL,COMDSL,C_OFFC-SH,1.384873653,0.85,,25,380,3,0.1,31.536,0.0873450563107876,1.17714260505,0.766,0.2754513695817
C_OFFC-SH_Boiler-FOL00,Office Blocks Boiler Systems FOL,COMFOL,C_OFFC-SH,0.029400894,0.84,,25,380,3,0.1,31.536,0.00183252147534247,0.02469675096,0.766,0.00577903972464
C_OFFC-SH_Boiler-NGA00,Office Blocks Boiler Systems NGA,COMNGA,C_OFFC-SH,1.101296853,0.85,,25,250,2,0.1,31.536,0,0.93610232505,1,0
C_OFFC-SH_Burner-NGA00,Office Blocks Burner (Direct Heat) NGA,COMNGA,C_OFFC-SH,0.076031865,0.8,,12.5,300,0,0.1,31.536,0,0.060825492,1,0
C_OFFC-SH_AirHP-ELC00,Office Blocks Heat Pump Air Source (for Heating) ELC,COMELC,C_OFFC-SH,1.272833907,3.5,,10,1718,0,0.1,31.536,0.330559034066781,4.4549186745,0.766,1.042450969833
C_OFFC-SH_RH-ELC00,Office Blocks Resistance Heater ELC,COMELC,C_OFFC-SH,0.683711661,0.99,,10,80,0,0.1,31.536,0.0502247093440068,0.67687454439,0.766,0.15838864338726
C_OFFC-WH_Boiler-FOL00,Office Blocks Boiler Systems FOL,COMFOL,C_OFFC-WH,8.6308e-05,0.84,,25,380,3,0.45,31.536,1.19543805175038e-06,7.249872e-05,0.766,1.696470048e-05
C_OFFC-WH_Boiler-COA00,Office Blocks Boiler Systems COA,COMCOA,C_OFFC-WH,0.000382967,0.75,,25,800,15,0.45,31.536,4.73608352359208e-06,0.00028722525,0.766,6.72107085e-05
C_OFFC-WH_AirHP-ELC00,Office Blocks Heat Pump (for Heating) ELC,COMELC,C_OFFC-WH,0.21680042,2.5,,10,3750,0,0.45,31.536,0.00893710508625063,0.54200105,0.766,0.1268282457
C_OFFC-WH_Cylinder-ELC00,Office Blocks Hot Water Cylinder ELC,COMELC,C_OFFC-WH,0.232263404,0.9,,15,655,0,0.45,31.536,0.00344683133789954,0.2090370636,0.766,0.0489146728824
