Csets,CommName,* Fuel,* Enduse,CommDesc,* OLD CommDesc,Unit,LimType,CTSLvl,PeakTS,Ctype
NRG,COMCOA,Coal,,Coal -:-,Commercial Coal,PJ,FX,,,
NRG,COMNGA,Natural Gas,,Natural Gas -:-,Commercial Natural gas,PJ,FX,,,
NRG,COMLPG,LPG,,LPG -:-,Commercial LPG,PJ,FX,,,
NRG,COMDSL,Diesel,,Diesel -:-,Commercial Diesel,PJ,FX,,,
NRG,COMBIG,Biogas,,Biogas -:-,Commercial Biogas,PJ,FX,,,
NRG,COMGEO,Geothermal,,Geothermal -:-,Commercial Geothermal,PJ,FX,,,
NRG,COMFOL,Fuel Oil,,Fuel Oil -:-,Commercial Fuel Oil,PJ,FX,,,
NRG,COMPET,Petrol,,Petrol -:-,Commercial petroleum,PJ,FX,,,
NRG,COMWOD,Wood,,Wood -:-,Commercial wood,PJ,FX,,,
NRG,COMPLT,Wood,,Wood -:-,Commercial pellet,PJ,FX,,,
ENV,COMCO2,,,-:-,Commercial sector CO2,kt,,,,
DEM,C_EDU-OTH,,Electronics and Other Appliances,-:- Electronics and Other Appliances,Education Other,PJ,,,,
DEM,C_EDU-LT,,Lighting,-:- Lighting,Education Lighting,PJ,,,,
DEM,C_EDU-SH,,Space Heating,-:- Space Heating,Education Space Heating,PJ,,,,
DEM,C_EDU-WH,,Water Heating,-:- Water Heating,Education Hot Water,PJ,,,,
DEM,C_EDU-MPM,,"Motive Power, Mobile","-:- Motive Power, Mobile","Education Motive Power, Mobile",PJ,,,,
DEM,C_EDU-MPS,,"Motive Power, Stationary","-:- Motive Power, Stationary","Education Motive Power, Stationery",PJ,,,,
DEM,C_EDU-RF,,Refrigeration,-:- Refrigeration,Education Refrigeration,PJ,,,,
DEM,C_EDU-SC,,Space Cooling,-:- Space Cooling,Education Space Cooling,PJ,,,,
DEM,C_HLTH-OTH,,Electronics and Other Appliances,-:- Electronics and Other Appliances,Healthcare Other,PJ,,,,
DEM,C_HLTH-LT,,Lighting,-:- Lighting,Healthcare Lighting,PJ,,,,
DEM,C_HLTH-SH,,Space Heating,-:- Space Heating,Healthcare Space Heating,PJ,,,,
DEM,C_HLTH-WH,,Water Heating,-:- Water Heating,Healthcare Hot Water,PJ,,,,
DEM,C_HLTH-PH,,Process Heat,-:- Process Heat,Healthcare Process Heat,PJ,,,,
DEM,C_HLTH-MPM,,"Motive Power, Mobile","-:- Motive Power, Mobile","Healthcare Motive Power, Mobile",PJ,,,,
DEM,C_HLTH-MPS,,"Motive Power, Stationary","-:- Motive Power, Stationary","Healthcare Motive Power, Stationery",PJ,,,,
DEM,C_HLTH-RF,,Refrigeration,-:- Refrigeration,Healthcare Refrigeration,PJ,,,,
DEM,C_HLTH-SC,,Space Cooling,-:- Space Cooling,Healthcare Space Cooling,PJ,,,,
DEM,C_OFFC-OTH,,Electronics and Other Appliances,-:- Electronics and Other Appliances,Office Blocks Other,PJ,,,,
DEM,C_OFFC-LT,,Lighting,-:- Lighting,Office Blocks Lighting,PJ,,,,
DEM,C_OFFC-SH,,Space Heating,-:- Space Heating,Office Blocks Space Heating,PJ,,,,
DEM,C_OFFC-WH,,Water Heating,-:- Water Heating,Office Blocks Hot Water,PJ,,,,
DEM,C_OFFC-MPM,,"Motive Power, Mobile","-:- Motive Power, Mobile","Office Blocks Motive Power, Mobile",PJ,,,,
DEM,C_OFFC-MPS,,"Motive Power, Stationary","-:- Motive Power, Stationary","Office Blocks Motive Power, Stationery",PJ,,,,
DEM,C_OFFC-SC,,Space Cooling,-:- Space Cooling,Office Blocks Space Cooling,PJ,,,,
DEM,C_WSR-OTH,,Electronics and Other Appliances,-:- Electronics and Other Appliances,WSR Other,PJ,,,,
DEM,C_WSR-CK,,Cooking,-:- Cooking,WSR Cooking,PJ,,,,
DEM,C_WSR-LT,,Lighting,-:- Lighting,WSR Lighting,PJ,,,,
DEM,C_WSR-SH,,Space Heating,-:- Space Heating,WSR Space Heating,PJ,,,,
DEM,C_WSR-WH,,Water Heating,-:- Water Heating,WSR Hot Water,PJ,,,,
DEM,C_WSR-MPM,,"Motive Power, Mobile","-:- Motive Power, Mobile","WSR Motive Power, Mobile",PJ,,,,
DEM,C_WSR-MPS,,"Motive Power, Stationary","-:- Motive Power, Stationary","WSR Motive Power, Stationery",PJ,,,,
DEM,C_WSR-RF,,Refrigeration,-:- Refrigeration,WSR Refrigeration,PJ,,,,
DEM,C_WSR-SC,,Space Cooling,-:- Space Cooling,WSR Space Cooling,PJ,,,,
DEM,C_OTH-OTH,,Electronics and Other Appliances,-:- Electronics and Other Appliances,Other Other,PJ,,,,
DEM,C_OTH-LT,,Lighting,-:- Lighting,Other Lighting,PJ,,,,
DEM,C_OTH-SH,,Space Heating,-:- Space Heating,Other Space Heating,PJ,,,,
DEM,C_OTH-WH,,Water Heating,-:- Water Heating,Other Hot Water,PJ,,,,
DEM,C_OTH-MPM,,"Motive Power, Mobile","-:- Motive Power, Mobile","Other Motive Power, Mobile",PJ,,,,
DEM,C_OTH-MPS,,"Motive Power, Stationary","-:- Motive Power, Stationary","Other Motive Power, Stationery",PJ,,,,
DEM,C_OTH-SC,,Space Cooling,-:- Space Cooling,Other Space Cooling,PJ,,,,
