Sets,TechName,* Sector,* Subsector,* Technology,* Fuel,TechDesc,* OLD TechDesc,Tact,Tcap,Tslvl,PrimaryCG,Vintage
PRE,FTE_COMCOA_00,Commercial,,,Coal,Commercial -:-  -:-  -:- Coal,Distribution network for Commercial Coal,PJ,PJ_a,,,
PRE,FTE_COMNGA_00,Commercial,,,Natural Gas,Commercial -:-  -:-  -:- Natural Gas,Distribution network for Commercial Natural gas,PJ,PJ_a,,,
PRE,FTE_COMLPG_00,Commercial,,,LPG,Commercial -:-  -:-  -:- LPG,Distribution network for Commercial LPG,PJ,PJ_a,,,
PRE,FTE_COMDSL_00,Commercial,,,Diesel,Commercial -:-  -:-  -:- Diesel,Distribution network for Commercial Diesel,PJ,PJ_a,,,
PRE,FTE_COMBIG_00,Commercial,,,Biogas,Commercial -:-  -:-  -:- Biogas,Distribution network for Commercial Biogas,PJ,PJ_a,,,
PRE,FTE_COMGEO_00,Commercial,,,Geothermal,Commercial -:-  -:-  -:- Geothermal,Distribution network for Commercial Geothermal,PJ,PJ_a,,,
PRE,FTE_COMFOL_00,Commercial,,,Fuel Oil,Commercial -:-  -:-  -:- Fuel Oil,Distribution network for Commercial Fuel Oil,PJ,PJ_a,,,
PRE,FTE_COMPET_00,Commercial,,,Petrol,Commercial -:-  -:-  -:- Petrol,Distribution network for Commercial petroleum,PJ,PJ_a,,,
PRE,FTE_COMWOD_00,Commercial,,,Wood,Commercial -:-  -:-  -:- Wood,Distribution network for Commercial wood,PJ,PJ_a,,,
PRE,FTE_COMPLT_00,Commercial,,,Wood,Commercial -:-  -:-  -:- Wood,Distribution network for Commercial pellet,PJ,PJ_a,,,
DMD,C_EDU-OTH_ELEC-ELC00,Commercial,Education,Electronics and Other Appliances,Electricity,Commercial -:- Education -:- Electronics and Other Appliances -:- Electricity,Education Electronics ELC,PJ,GW,,,
DMD,C_EDU-LT_INC-ELC00,Commercial,Education,Lights (Incandescent),Electricity,Commercial -:- Education -:- Lights (Incandescent)  -:- Electricity,Education Lighting Incandescent ELC,PJ,GW,,,
DMD,C_EDU-LT_FLU-ELC00,Commercial,Education,Lights (Fluorescent),Electricity,Commercial -:- Education -:- Lights (Fluorescent)  -:- Electricity,Education Lighting Fluorescent ELC,PJ,GW,,,
DMD,C_EDU-LT_LED-ELC00,Commercial,Education,Lights (LED),Electricity,Commercial -:- Education -:- Lights (LED) -:- Electricity,Education Lighting LED ELC,PJ,GW,,,
DMD,C_EDU-SH_Boiler-COA00,Commercial,Education,Boiler,Coal,Commercial -:- Education -:- Boiler -:- Coal,Education Boiler Systems COA,PJ,GW,,,
DMD,C_EDU-SH_Boiler-DSL00,Commercial,Education,Boiler,Diesel,Commercial -:- Education -:- Boiler -:- Diesel,Education Boiler Systems DSL,PJ,GW,,,
DMD,C_EDU-SH_Boiler-FOL00,Commercial,Education,Boiler,Fuel Oil,Commercial -:- Education -:- Boiler -:- Fuel Oil,Education Boiler Systems FOL,PJ,GW,,,
DMD,C_EDU-SH_Boiler-NGA00,Commercial,Education,Boiler,Natural Gas,Commercial -:- Education -:- Boiler -:- Natural Gas,Education Boiler Systems NGA,PJ,GW,,,
DMD,C_EDU-SH_Burner-NGA00,Commercial,Education,Burner,Natural Gas,Commercial -:- Education -:- Burner -:- Natural Gas,Education Burner (Direct Heat) NGA,PJ,GW,,,
DMD,C_EDU-SH_AIRHP-ELC00,Commercial,Education,Heat Pump,Electricity,Commercial -:- Education -:- Heat Pump -:- Electricity,Education Heat Pump Air Source (for Heating) ELC,PJ,GW,,,
DMD,C_EDU-SH_RH-ELC00,Commercial,Education,Resistance Heater,Electricity,Commercial -:- Education -:- Resistance Heater -:- Electricity,Education Resistance Heater ELC,PJ,GW,,,
DMD,C_EDU-WH_Boiler-COA00,Commercial,Education,Boiler,Coal,Commercial -:- Education -:- Boiler -:- Coal,Education Boiler Systems COA,PJ,GW,,,
DMD,C_EDU-WH_Cylinder-ELC00,Commercial,Education,Hot Water Cylinder,Electricity,Commercial -:- Education -:- Hot Water Cylinder -:- Electricity,Education Hot Water Cylinder ELC,PJ,GW,,,
DMD,C_EDU-WH_Cylinder-NGA00,Commercial,Education,Hot Water Cylinder,Natural Gas,Commercial -:- Education -:- Hot Water Cylinder -:- Natural Gas,Education Hot Water Cylinder NGA,PJ,GW,,,
DMD,C_EDU-MPM_-DSL00,Commercial,Education,Mobile Motor,Diesel,Commercial -:- Education -:- Mobile Motor -:- Diesel,Education Motive power - mobile DSL,PJ,GW,,,
DMD,C_EDU-MPM_-PET00,Commercial,Education,Mobile Motor,Petrol,Commercial -:- Education -:- Mobile Motor -:- Petrol,Education Motive power - mobile PET,PJ,GW,,,
DMD,C_EDU-MPS_-ELC00,Commercial,Education,Stationary Motor,Electricity,Commercial -:- Education -:- Stationary Motor -:- Electricity,Education Motive power Stationery ELC,PJ,GW,,,
DMD,C_EDU-MPS_-PET00,Commercial,Education,Stationary Motor,Petrol,Commercial -:- Education -:- Stationary Motor -:- Petrol,Education Motive power Stationery PET,PJ,GW,,,
DMD,C_EDU-RF_Refriger-ELC00,Commercial,Education,Refrigerator,Electricity,Commercial -:- Education -:- Refrigerator -:- Electricity,Education Refrigeration Systems ELC,PJ,GW,,,
DMD,C_EDU-SC_AirHP-ELC00,Commercial,Education,Heat Pump,Electricity,Commercial -:- Education -:- Heat Pump -:- Electricity,Education Heat Pump Air Source (for Cooling) ELC,PJ,GW,,,
DMD,C_HLTH-OTH_ELEC-ELC00,Commercial,Healthcare,Electronics and Other Appliances,Electricity,Commercial -:- Healthcare -:- Electronics and Other Appliances -:- Electricity,Healthcare Electronics ELC,PJ,GW,,,
