Csets,Region,CommName,* Fuel,* Enduse,CommDesc,* OLD CommDesc,Unit,LimType,CTSLvl,PeakTS,Ctype
*Commodity Set Membership,Region Name,Commodity Name,,,,Commodity Description,Unit,Sense of the Balance EQN.,Timeslice Level,Peak Monitoring,Electricity Indicator
DEM,,ADCF-MoTP-Stat,,Milking Machine,-:- Milking Machine,"Dairy Cattle Farming Motive Power, Stationary",PJ,,,,
DEM,,ADCF-IRG,,Irrigation,-:- Irrigation,Dairy Cattle Farming Irrigation,PJ,,,,
DEM,,ADCF-WH,,Water Heating,-:- Water Heating,"Dairy Cattle Farming Low Temperature Heat (<100 C), Water Heating",PJ,,,,
DEM,,ADCF-MoTP-Mob-Trac,,Tractor Services,-:- Tractor Services,"Dairy Cattle Farming Motive Power, Mobile",PJ,,,,
DEM,,ADCF-MoTP-Mob-MTr,,Truck Services,-:- Truck Services,"Dairy Cattle Farming Motive Power, Mobile",PJ,,,,
DEM,,ADCF-MoTP-Mob-Uti,,Farm Vehicle,-:- Farm Vehicle,"Dairy Cattle Farming Motive Power, Mobile",PJ,,,,
DEM,,ADCF-MoTP-Mob-Bike,,Off-road Motorbike Use,-:- Off-road Motorbike Use,"Dairy Cattle Farming Motive Power, Mobile",PJ,,,,
DEM,,ADCF-PUMP,,Pumping,-:- Pumping,Dairy Cattle Farming Pumping,PJ,,,,
DEM,,ADCF-RFGR,,Refrigeration,-:- Refrigeration,Dairy Cattle Farming Refrigeration,PJ,,,,
DEM,,ADCF-LIG,,Lighting,-:- Lighting,Dairy Cattle Farming Lighting,PJ,,,,
DEM,,ALIVE-IRG,,Irrigation,-:- Irrigation,Livestock Farming Irrigation,PJ,,,,
DEM,,ALIVE-MoTP-Mob-Trac,,Tractor Services,-:- Tractor Services,"Livestock Farming Motive Power, Mobile",PJ,,,,
DEM,,ALIVE-MoTP-Mob-MTr,,Truck Services,-:- Truck Services,"Livestock Farming Motive Power, Mobile",PJ,,,,
DEM,,ALIVE-MoTP-Mob-Uti,,Farm Vehicle,-:- Farm Vehicle,"Livestock Farming Motive Power, Mobile",PJ,,,,
DEM,,ALIVE-MoTP-Mob-Bike,,Off-road Motorbike Use,-:- Off-road Motorbike Use,"Livestock Farming Motive Power, Mobile",PJ,,,,
DEM,,ALIVE-LIG,,Lighting,-:- Lighting,Livestock Farming Lighting,PJ,,,,
DEM,,AHORT-IRG,,Irrigation,-:- Irrigation,Horticulture (Outdoor) Irrigation,PJ,,,,
DEM,,AHORT-MoTP-Mob-Trac,,Tractor Services,-:- Tractor Services,"Horticulture (Outdoor) Motive Power, Mobile",PJ,,,,
DEM,,AHORT-MoTP-Mob-MTr,,Truck Services,-:- Truck Services,"Horticulture (Outdoor) Motive Power, Mobile",PJ,,,,
DEM,,AHORT-MoTP-Mob-Uti,,Farm Vehicle,-:- Farm Vehicle,"Horticulture (Outdoor) Motive Power, Mobile",PJ,,,,
DEM,,AHORT-MoTP-Stat,,"Motive Power, Stationary","-:- Motive Power, Stationary","Horticulture (Outdoor) Motive Power, Stationary",PJ,,,,
DEM,,AHORT-LIG,,Lighting,-:- Lighting,Horticulture (Outdoor) Lighting,PJ,,,,
DEM,,AINDC-SH,,Space Heating,-:- Space Heating,"Indoor Cropping Low Temperature Heat (<100 C), Space Heating",PJ,,,,
DEM,,AINDC-LIG,,Lighting,-:- Lighting,"Indoor Cropping Low Temperature Heat (<100 C), Space Heating",PJ,,,,
DEM,,AFORE-MoTP-Stat,,"Motive Power, Stationary","-:- Motive Power, Stationary","Forestry and Logging Motive Power, Stationary",PJ,,,,
DEM,,AFORE-MoTP-Mob-GB,,Ground Based Forestry,-:- Ground Based Forestry,"Forestry and Logging Motive Power, Mobile",PJ,,,,
DEM,,AFORE-MoTP-Mob-CY,,Cable Yarding (Forestry),-:- Cable Yarding (Forestry),"Forestry and Logging Motive Power, Mobile",PJ,,,,
DEM,,AFORE-LIG,,Lighting,-:- Lighting,Forestry and Logging Lighting,PJ,,,,
DEM,,AFISH-BOAT,,Boat,-:- Boat,"Fishing, Hunting and Trapping Motive Power, Mobile",PJ,,,,
DEM,,AFISH-RFGR,,Refrigeration,-:- Refrigeration,"Fishing, Hunting and Trapping Refrigeration",PJ,,,,
DEM,,AFISH-LIG,,Lighting,-:- Lighting,"Fishing, Hunting and Trapping Lighting",PJ,,,,
DEM,,AOTH-ELC,,Other,-:- Other,Other Other - Elec,PJ,,,,
DEM,,AOTH-FOL,,Other,-:- Other,Other Other - Fuel Oil,PJ,,,,
DEM,,AOTH-LPG,,Other,-:- Other,Other Other - LPG,PJ,,,,
DEM,,AOTH-PET,,Other,-:- Other,Other Other - Petrol,PJ,,,,
