Sets,Region,TechName,* Sector,* Subsector,* Technology,* Fuel,TechDesc,* OLD TechDesc,Tact,Tcap,Tslvl,PrimaryCG,Vintage
*Process Set Membership,Region Name,Technology Name,,,,,,Technology Description,Activity Unit,Capacity Unit,TimeSlice level of Process Activity,Primary Commodity Group,Vintage Tracking
*,,,,,,,,,,,,,
DMD,,ADCF-MoTP-Stat-VacP_ELC00,Agriculture,Dairy Cattle Farming,Vacuum Pump,Electricity,Agriculture -:- Dairy Cattle Farming -:- Vacuum Pump -:- Electricity,Dairy Cattle Farming-Vacuum Pump,PJ,GW,,,
DMD,,ADCF-MoTP-Stat-VPVSD_ELC00,Agriculture,Dairy Cattle Farming,Vacuum Pump with VSD,Electricity,Agriculture -:- Dairy Cattle Farming -:- Vacuum Pump with VSD -:- Electricity,Dairy Cattle Farming-Vacuum pump with VSD,PJ,GW,,,
DMD,,ADCF-IRG-Irg_ELC00,Agriculture,Dairy Cattle Farming,Irrigator,Electricity,Agriculture -:- Dairy Cattle Farming -:- Irrigator -:- Electricity,Dairy Cattle Farming-Irrigation,PJ,GW,,,
DMD,,ADCF-IRG-IrgVSD_ELC00,Agriculture,Dairy Cattle Farming,Irrigator with VSD,Electricity,Agriculture -:- Dairy Cattle Farming -:- Irrigator with VSD -:- Electricity,Dairy Cattle Farming-Irrigation with VSD,PJ,GW,,,
DMD,,ADCF-WH-Cylinder_ELC00,Agriculture,Dairy Cattle Farming,Hot Water Cylinder,Electricity,Agriculture -:- Dairy Cattle Farming -:- Hot Water Cylinder -:- Electricity,Dairy Cattle Farming-Hot Water Cylinder,PJ,GW,,,
DMD,,ADCF-WH-Hreco_ELC00,Agriculture,Dairy Cattle Farming,Heat Recovery System (Heating),Electricity,Agriculture -:- Dairy Cattle Farming -:- Heat Recovery System (Heating) -:- Electricity,Dairy Cattle Farming-Heat Recovery & Heat Pump,PJ,GW,,,
DMD,,ADCF-MoTP-Mob-Trac-_DSL00,Agriculture,Dairy Cattle Farming,Tractor (Agricultural),Diesel,Agriculture -:- Dairy Cattle Farming -:- Tractor (Agricultural) -:- Diesel,Dairy Cattle Farming-Tractor,PJ,GW,,,
DMD,,ADCF-MoTP-Mob-MTr-_DSL00,Agriculture,Dairy Cattle Farming,Truck (Agricultural),Diesel,Agriculture -:- Dairy Cattle Farming -:- Truck (Agricultural) -:- Diesel,Dairy Cattle Farming-Medium Truck,PJ,GW,,,
DMD,,ADCF-MoTP-Mob-Uti-_DSL00,Agriculture,Dairy Cattle Farming,Utility Vehicle (Agricultural),Diesel,Agriculture -:- Dairy Cattle Farming -:- Utility Vehicle (Agricultural) -:- Diesel,Dairy Cattle Farming-Utility,PJ,GW,,,
DMD,,ADCF-MoTP-Mob-Bike-_PET00,Agriculture,Dairy Cattle Farming,Farm Bike,Petrol,Agriculture -:- Dairy Cattle Farming -:- Farm Bike -:- Petrol,Dairy Cattle Farming-Motorbike/side by side,PJ,GW,,,
DMD,,ADCF-PUMP-Pump_ELC00,Agriculture,Dairy Cattle Farming,Transfer Pump,Electricity,Agriculture -:- Dairy Cattle Farming -:- Transfer Pump -:- Electricity,Dairy Cattle Farming-Transfer Pumps etc,PJ,GW,,,
DMD,,ADCF-RFGR-RF_ELC00,Agriculture,Dairy Cattle Farming,Refrigerator,Electricity,Agriculture -:- Dairy Cattle Farming -:- Refrigerator -:- Electricity,Dairy Cattle Farming-Refrigeration,PJ,GW,,,
DMD,,ADCF-RFGR-HRECSys_ELC00,Agriculture,Dairy Cattle Farming,Heat Recovery System (Cooling),Electricity,Agriculture -:- Dairy Cattle Farming -:- Heat Recovery System (Cooling) -:- Electricity,Dairy Cattle Farming-Heat Recovery System,PJ,GW,,,
DMD,,ADCF-LIG-LT_ELC00,Agriculture,Dairy Cattle Farming,Lights (General),Electricity,Agriculture -:- Dairy Cattle Farming -:- Lights (General) -:- Electricity,Dairy Cattle Farming-Light,PJ,GW,,,
DMD,,ALIVE-IRG-Irg_ELC00,Agriculture,Livestock Farming,Irrigator,Electricity,Agriculture -:- Livestock Farming -:- Irrigator -:- Electricity,Livestock Farming-Irrigation,PJ,GW,,,
DMD,,ALIVE-IRG-IrgVSD_ELC00,Agriculture,Livestock Farming,Irrigator with VSD,Electricity,Agriculture -:- Livestock Farming -:- Irrigator with VSD -:- Electricity,Livestock Farming-Irrigation with VSD,PJ,GW,,,
DMD,,ALIVE-MoTP-Mob-Trac-_DSL00,Agriculture,Livestock Farming,Tractor (Agricultural),Diesel,Agriculture -:- Livestock Farming -:- Tractor (Agricultural) -:- Diesel,Livestock Farming-Tractor,PJ,GW,,,
DMD,,ALIVE-MoTP-Mob-MTr-_DSL00,Agriculture,Livestock Farming,Truck (Agricultural),Diesel,Agriculture -:- Livestock Farming -:- Truck (Agricultural) -:- Diesel,Livestock Farming-Medium Truck,PJ,GW,,,
DMD,,ALIVE-MoTP-Mob-Uti-_DSL00,Agriculture,Livestock Farming,Utility Vehicle (Agricultural),Diesel,Agriculture -:- Livestock Farming -:- Utility Vehicle (Agricultural) -:- Diesel,Livestock Farming-Utility,PJ,GW,,,
DMD,,ALIVE-MoTP-Mob-Bike-_PET00,Agriculture,Livestock Farming,Farm Bike,Petrol,Agriculture -:- Livestock Farming -:- Farm Bike -:- Petrol,Livestock Farming-Motorbike/side by side,PJ,GW,,,
DMD,,ALIVE-LIG-LT_ELC00,Agriculture,Livestock Farming,Lights (General),Electricity,Agriculture -:- Livestock Farming -:- Lights (General) -:- Electricity,Livestock Farming-Light,PJ,GW,,,
DMD,,AHORT-IRG-Irg_ELC00,Agriculture,Outdoor Horticulture/Arable Farming,Irrigator,Electricity,Agriculture -:- Outdoor Horticulture/Arable Farming -:- Irrigator -:- Electricity,Horticulture (Outdoor)-Irrigation,PJ,GW,,,
DMD,,AHORT-IRG-IrgVSD_ELC00,Agriculture,Outdoor Horticulture/Arable Farming,Irrigator with VSD,Electricity,Agriculture -:- Outdoor Horticulture/Arable Farming -:- Irrigator with VSD -:- Electricity,Horticulture (Outdoor)-Irrigation with VSD,PJ,GW,,,
DMD,,AHORT-MoTP-Mob-Trac-_DSL00,Agriculture,Outdoor Horticulture/Arable Farming,Tractor (Agricultural),Diesel,Agriculture -:- Outdoor Horticulture/Arable Farming -:- Tractor (Agricultural) -:- Diesel,Horticulture (Outdoor)-Tractor,PJ,GW,,,
DMD,,AHORT-MoTP-Mob-MTr-_DSL00,Agriculture,Outdoor Horticulture/Arable Farming,Truck (Agricultural),Diesel,Agriculture -:- Outdoor Horticulture/Arable Farming -:- Truck (Agricultural) -:- Diesel,Horticulture (Outdoor)-Medium Truck,PJ,GW,,,
DMD,,AHORT-MoTP-Mob-Uti-_DSL00,Agriculture,Outdoor Horticulture/Arable Farming,Utility Vehicle (Agricultural),Diesel,Agriculture -:- Outdoor Horticulture/Arable Farming -:- Utility Vehicle (Agricultural) -:- Diesel,Horticulture (Outdoor)-Utility,PJ,GW,,,
DMD,,AHORT-MoTP-Stat-Motor_DSL00,Agriculture,Outdoor Horticulture/Arable Farming,Stationary Motor,Diesel,Agriculture -:- Outdoor Horticulture/Arable Farming -:- Stationary Motor -:- Diesel,Horticulture (Outdoor)-Frost Protection windmills,PJ,GW,,,
DMD,,AHORT-LIG-LT_ELC00,Agriculture,Outdoor Horticulture/Arable Farming,Lights (General),Electricity,Agriculture -:- Outdoor Horticulture/Arable Farming -:- Lights (General) -:- Electricity,Horticulture (Outdoor)-Light,PJ,GW,,,
DMD,,AINDC-SH-Boiler_COA00,Agriculture,Indoor Cropping,Boiler,Coal,Agriculture -:- Indoor Cropping -:- Boiler -:- Coal,Indoor Cropping-Boiler,PJ,GW,,,
DMD,,AINDC-SH-Boiler_DSL00,Agriculture,Indoor Cropping,Boiler,Diesel,Agriculture -:- Indoor Cropping -:- Boiler -:- Diesel,Indoor Cropping-Boiler,PJ,GW,,,
DMD,,AINDC-LIG-LT_ELC00,Agriculture,Indoor Cropping,Lights (General),Electricity,Agriculture -:- Indoor Cropping -:- Lights (General) -:- Electricity,Indoor Cropping-Light,PJ,GW,,,
DMD,,AFORE-MoTP-Stat-Motor_ELC00,Agriculture,Forestry,Stationary Motor,Electricity,Agriculture -:- Forestry -:- Stationary Motor -:- Electricity,Forestry and Logging-Motive Power Stationery,PJ,GW,,,
DMD,,AFORE-MoTP-Stat-Motor_DSL00,Agriculture,Forestry,Stationary Motor,Diesel,Agriculture -:- Forestry -:- Stationary Motor -:- Diesel,Forestry and Logging-Motive Power Stationery,PJ,GW,,,
DMD,,AFORE-MoTP-Mob-GB-_DSL00,Agriculture,Forestry,Skidder (Forestry),Diesel,Agriculture -:- Forestry -:- Skidder (Forestry) -:- Diesel,Forestry and Logging-Ground Based,PJ,GW,,,
