TechName,*TechDesc,Comm-IN,Comm-OUT,EFF,AFA,AFA~LO,NCAP_LIFE,CAP2ACT,NCAP_PASTI,*NCAP_PASTI,ACT_BND,INVCOST,FIXOM,NCAP_BND,NCAP_BND~0,FLO_MARK,FLO_MARK~2030,FLO_MARK~2050,FLO_MARK~0
\I: Technology Name,Technology Description,Input Commodity,Output Commodity,Efficiency,Annual Availability Factor,Annual Availability Factor,Lifetime of Process,Capacity to Activity Factor,Existing Installed Capacity in Pja,,Bound on activity of a process,Investment cost,O&M costs,,,,,,
R_DDW-SH_Burner-WOD00,Detached dwellings - Heat/Cooling Devices - Burner (Direct Heat),RESWOD,R_DDW-SH,0.6,0.0821,0.061575,20,31.536,0.635568733681722,,1.64555456756025,373,,,,0.162365891905064,,,5
R_DDW-SH_Burner-LPG00,Detached dwellings - Heat/Cooling Devices - Burner (Direct Heat),RESLPG,R_DDW-SH,0.8,0.0821,0.061575,20,31.536,0.128962871667885,,0.333898493227403,1260,150,,,,,,
R_DDW-SH_Burner-DSL00,Detached dwellings - Heat/Cooling Devices - Burner (Direct Heat),RESDSL,R_DDW-SH,0.8,0.0045,0.003375,5,31.536,0.215986823639123,,0.0306511221162752,,,0,5,,,,
R_DDW-SH_Burner-COA00,Detached dwellings - Heat/Cooling Devices - Burner (Direct Heat),RESCOA,R_DDW-SH,0.6,0.0045,0.003375,5,31.536,0.141457201996448,,0.0200744744497199,,,0,5,,,,
R_DDW-SH_OF-WOD00,Detached dwellings - Heat/Cooling Devices - Open Fire,RESWOD,R_DDW-SH,0.06,0.0821,0,50,31.536,0.00195280389574741,,0.00505601550218143,,,0,5,,,,
R_DDW-SH_OF-COA00,Detached dwellings - Heat/Cooling Devices - Open Fire,RESCOA,R_DDW-SH,0.06,0.0821,0,50,31.536,0.00149532229739019,,0.00387154733397781,,,0,5,,,,
R_DDW-SH_OFWB-COA00,"Detached dwellings - Heat/Cooling Devices - Open Fire, with Wetback",RESCOA,R_DDW-SH,0.06,0.0821,0,50,31.536,0.000177112762702105,,0.000458563645743491,,,0,5,,,,
R_DDW-SH_HP-ELC00,Detached dwellings - Heat/Cooling Devices - Heat Pump (for Heating),RESELC,R_DDW-SH,3.75,0.0821,0.061575,12,31.536,2.55913750062593,,6.62587723404059,557.906976744186,,,,,,,
R_DDW-SH_RH-ELC00,Detached dwellings - Heat/Cooling Devices - Resistance Heater,RESELC,R_DDW-SH,1,0.0821,0.061575,5,31.536,0.567536421329348,,1.46941172666777,24,,,,,,,
R_DDW-WH_OFWB-COA00,"Detached dwellings - Heat/Cooling Devices - Open Fire, with Wetback",RESCOA,R_DDW-WH,0.16,0.1666,0,50,31.536,0.000132772963674401,,0.000697575555193823,,,0,5,,,,
R_DDW-WH_HWC-SOL00,Detached dwellings - Heat/Cooling Devices - Hot Water Cylinder,RESSOL,R_DDW-WH,0.6,0.125,,20,31.536,0.0107134998941149,,0.0422326165826009,2121,,0,5,,,,
R_DDW-WH_HWC-ELC00,Detached dwellings - Heat/Cooling Devices - Hot Water Cylinder,RESELC,R_DDW-WH,1,0.125,0.09375,20,31.536,0.741362027650596,,2.92244911299865,757.6,,,,,,,
R_DDW-WH_Gasheat-LPG00,Detached dwellings - Heat/Cooling Devices - Gas Water Heater,RESLPG,R_DDW-WH,0.8,0.042,0.0315,20,31.536,0.26867738584915,,0.35586642168583,250,150,,,,,,
R_DDW-WH_BRNWB-WOD00,"Detached dwellings - Heat/Cooling Devices - Burner, with Wetback",RESWOD,R_DDW-WH,0.16,0.1666,0,20,31.536,0.000601565640673133,,0.00316056427577503,,,0,5,,,,
R_DDW-CK_Oven-COA00,Detached dwellings - Heat/Cooling Devices - Cooking Ovens,RESCOA,R_DDW-CK,0.15,1,0,10,31.536,2.00729120950634e-06,,6.33019355829918e-05,,,0,5,,,,
R_DDW-CK_Appl-ELC00,Detached dwellings - Heat/Cooling Devices - Cooking Appliances,RESELC,R_DDW-CK,0.75,0.0416,0.0312,13,31.536,0.462169659442364,,0.606319267015255,450.0,,,,,,,
R_DDW-CK_Appl-LPG00,Detached dwellings - Heat/Cooling Devices - Cooking Appliances,RESLPG,R_DDW-CK,0.4,0.0416,0,13,31.536,0.0032847737200546,,0.0043092867598827,350,150,,,,,,
R_DDW-RF_Refriger-ELC00,Detached dwellings - Heat/Cooling Devices - Refrigeration systems,RESELC,R_DDW-RF,1.8,1,0.75,18,31.536,0.0571188332325713,,1.80129952482237,3280,,,,,,,
R_DDW-CD_Dryer-ELC00,Detached dwellings - Heat/Cooling Devices - Clothes Dryer,RESELC,R_DDW-CD,0.25,0.0059,0.004425,15,31.536,0.281414887050836,,0.0523607292804075,1665.33333333333,,,,,,,
R_DDW-SC_HP-ELC00,Detached dwellings - Heat/Cooling Devices - Heat Pump (for Cooling),RESELC,R_DDW-SC,3.45,0.0114,0.00855,12,31.536,1.03380710031374,,0.371664404156635,685.428571428571,,,,,,,
R_DDW-CW_Washer-ELC00,Detached dwellings - Heat/Cooling Devices - Clothes Washers,RESELC,R_DDW-CW,0.25,0.0416,0.0312,15,31.536,0.129181134222193,,0.169472419951373,3994.66666666667,,,,,,,
R_DDW-DW_Dwash-ELC00,Detached dwellings - Heat/Cooling Devices - Dishwashers,RESELC,R_DDW-DW,0.25,0.0416,0.0312,15,31.536,0.0429027986014735,,0.0562840785185564,2640,,,,,,,
R_DDW-LT_LED-ELC00,Detached dwellings - Electronics and Lights - LED,RESELC,R_DDW-LT,0.9,0.1666,0,14,31.536,0.000895042568981453,,0.00470246200506949,1148.32535885167,,,,,,,
R_DDW-LT_Incan-ELC00,Detached dwellings - Electronics and Lights - Incandescent,RESELC,R_DDW-LT,0.1,0.1666,0.12495,1,31.536,0.0160590446812488,,0.0843725763091059,777.777777777778,,,,,,,
R_DDW-LT_CFL-ELC00,Detached dwellings - Electronics and Lights - Fluorescent,RESELC,R_DDW-LT,0.8,0.1666,0.12495,7,31.536,0.0163353942737832,,0.0858244887700832,1176.47058823529,,,,,,,
R_DDW-OTH_Elec-ELC00,Detached dwellings - Electronics and Lights - Electronics,RESELC,R_DDW-OTH,0.9,0.1666,0.12495,5,31.536,0.124540403281546,,0.654322525903945,733.333333333333,,,,,,,
R_DDW-MPS_Motor-ELC00,Detached dwellings - Stationary Motors - Electric Motor,RESELC,R_DDW-MPS,0.75,0.0029,0.002175,15,31.536,0.567393117395259,,0.051890597115513,153.333333333333,,,,,,,
R_DDW-MPM_ICE-PET00,Detached dwellings - Stationary Motors - Internal Combustion (Domestic Use),RESPET,R_DDW-MPM,0.25,0.0029,0,10,31.536,0.000142310573894392,,1.30149281491673e-05,1466.66666666667,,,,,,,
R_JDW-SH_Burner-LPG00,Joined dwellings - Heat/Cooling Devices - Burner (Direct Heat),RESLPG,R_JDW-SH,0.8,0.0821,0.061575,20,31.536,0.0208197899672892,,0.0539046347951324,807.462686567164,150,,,,,,
R_JDW-SH_Burner-DSL00,Joined dwellings - Heat/Cooling Devices - Burner (Direct Heat),RESDSL,R_JDW-SH,0.8,0.0045,0.003375,5,31.536,0.0348689529452242,,0.00494832285036266,,,0,5,,,,
R_JDW-SH_HP-ELC00,Joined dwellings - Heat/Cooling Devices - Heat Pump (for Heating),RESELC,R_JDW-SH,3.75,0.0821,0.061575,12,31.536,0.413147633666671,,1.06968285195313,702.8125,,,,,,,
R_JDW-SH_RH-ELC00,Joined dwellings - Heat/Cooling Devices - Resistance Heater,RESELC,R_JDW-SH,1,0.0821,0.061575,5,31.536,0.091623185324947,,0.237222102214658,24,,,,,,,
R_JDW-WH_HWC-SOL00,Joined dwellings - Heat/Cooling Devices - Hot Water Cylinder,RESSOL,R_JDW-WH,0.6,0.0833,,20,31.536,0.00369274867041833,,0.00970066168845703,2121,,0,5,,,,
R_JDW-WH_HWC-ELC00,Joined dwellings - Heat/Cooling Devices - Hot Water Cylinder,RESELC,R_JDW-WH,1,0.0833,0.062475,20,31.536,0.25553401493094,,0.671274773882014,757.6,,,,,,,
R_JDW-WH_Gasheat-LPG00,Joined dwellings - Heat/Cooling Devices - Gas Water Heater,RESLPG,R_JDW-WH,0.8,0.028,0.021,20,31.536,0.0925711677737513,,0.0817410817135646,250,150,,,,,,
R_JDW-CK_Appl-ELC00,Joined dwellings - Heat/Cooling Devices - Cooking Appliances,RESELC,R_JDW-CK,0.75,0.028,0.021,13,31.536,0.150728502173538,,0.133094473247251,450.0,,,,,,,
