CommName,Demand~2018,Demand~2020,Demand~2025,Demand~2030,Demand~2040,Demand~2050,Demand~2060
R_DDW-SH,10.134,10.134,10.134,10.134,10.134,10.134,10.134
R_DDW-WH,3.324,3.324,3.324,3.324,3.324,3.324,3.324
R_DDW-CK,0.61,0.61,0.61,0.61,0.61,0.61,0.61
R_DDW-RF,1.801,1.801,1.801,1.801,1.801,1.801,1.801
R_DDW-CD,0.052,0.052,0.052,0.052,0.052,0.052,0.052
R_DDW-SC,0.371,0.371,0.371,0.371,0.371,0.371,0.371
R_DDW-CW,0.169,0.169,0.169,0.169,0.169,0.169,0.169
R_DDW-DW,0.056,0.056,0.056,0.056,0.056,0.056,0.056
R_DDW-LT,0.174,0.174,0.174,0.174,0.174,0.174,0.174
R_DDW-OTH,0.654,0.654,0.654,0.654,0.654,0.654,0.654
R_DDW-MPS,0.051,0.051,0.051,0.051,0.051,0.051,0.051
R_DDW-MPM,0,0,0,0,0,0,0
R_JDW-SH,1.365,1.365,1.365,1.365,1.365,1.365,1.365
R_JDW-WH,0.762,0.762,0.762,0.762,0.762,0.762,0.762
R_JDW-CK,0.134,0.134,0.134,0.134,0.134,0.134,0.134
R_JDW-RF,0.395,0.395,0.395,0.395,0.395,0.395,0.395
R_JDW-CD,0.011,0.011,0.011,0.011,0.011,0.011,0.011
R_JDW-SC,0.081,0.081,0.081,0.081,0.081,0.081,0.081
R_JDW-CW,0.037,0.037,0.037,0.037,0.037,0.037,0.037
R_JDW-DW,0.012,0.012,0.012,0.012,0.012,0.012,0.012
R_JDW-LT,0.035,0.035,0.035,0.035,0.035,0.035,0.035
R_JDW-OTH,0.143,0.143,0.143,0.143,0.143,0.143,0.143
R_JDW-MPS,0.011,0.011,0.011,0.011,0.011,0.011,0.011
R_JDW-MPM,0,0,0,0,0,0,0
