Sets,Region,TechName,* Sector,* Subsector,* Technology,* Fuel,TechDesc,* OLD TechDesc,Tact,Tcap,Tslvl,PrimaryCG,Vintage
*Process Set Membership,Region Name,Technology Name,,,,,,Technology Description,Activity Unit,Capacity Unit,TimeSlice level of Process Activity,Primary Commodity Group,Vintage Tracking
*,,,,,,,,,,,,,
MIN,,MINOIL1,Primary Fuel Supply,Petroleum,,,Primary Fuel Supply -:- Petroleum -:-  -:-,,PJ,PJa,,,
,,MINLPG1,Primary Fuel Supply,Petroleum,,,Primary Fuel Supply -:- Petroleum -:-  -:-,,PJ,PJa,,,
,,MINPET1,Primary Fuel Supply,Petroleum,,,Primary Fuel Supply -:- Petroleum -:-  -:-,,PJ,PJa,,,
,,MINDSL1,Primary Fuel Supply,Petroleum,,,Primary Fuel Supply -:- Petroleum -:-  -:-,,PJ,PJa,,,
,,MINFOL1,Primary Fuel Supply,Petroleum,,,Primary Fuel Supply -:- Petroleum -:-  -:-,,PJ,PJa,,,
,,MINJET1,Primary Fuel Supply,Petroleum,,,Primary Fuel Supply -:- Petroleum -:-  -:-,,PJ,PJa,,,
,,MINOTH1,Primary Fuel Supply,Petroleum,,,Primary Fuel Supply -:- Petroleum -:-  -:-,,PJ,PJa,,,
IMP,,IMPOIL1,Primary Fuel Supply,Petroleum,,,Primary Fuel Supply -:- Petroleum -:-  -:-,,PJ,PJa,,,
,,IMPLPG1,Primary Fuel Supply,Petroleum,,,Primary Fuel Supply -:- Petroleum -:-  -:-,,PJ,PJa,,,
,,IMPPET1,Primary Fuel Supply,Petroleum,,,Primary Fuel Supply -:- Petroleum -:-  -:-,,PJ,PJa,,,
,,IMPDSL1,Primary Fuel Supply,Petroleum,,,Primary Fuel Supply -:- Petroleum -:-  -:-,,PJ,PJa,,,
,,IMPFOL1,Primary Fuel Supply,Petroleum,,,Primary Fuel Supply -:- Petroleum -:-  -:-,,PJ,PJa,,,
,,IMPJET1,Primary Fuel Supply,Petroleum,,,Primary Fuel Supply -:- Petroleum -:-  -:-,,PJ,PJa,,,
,,IMPOTH1,Primary Fuel Supply,Petroleum,,,Primary Fuel Supply -:- Petroleum -:-  -:-,,PJ,PJa,,,
,,IMPDID,Primary Fuel Supply,Petroleum,,Waste Oil,Primary Fuel Supply -:- Petroleum -:-  -:- Waste Oil,,PJ,PJa,,,
,,IMPDIJ,Primary Fuel Supply,Petroleum,,Waste Oil,Primary Fuel Supply -:- Petroleum -:-  -:- Waste Oil,,PJ,PJa,,,
EXP,,EXPOIL1,Primary Fuel Supply,Petroleum,,,Primary Fuel Supply -:- Petroleum -:-  -:-,,PJ,PJa,,,
,,EXPLPG1,Primary Fuel Supply,Petroleum,,,Primary Fuel Supply -:- Petroleum -:-  -:-,,PJ,PJa,,,
,,EXPPET1,Primary Fuel Supply,Petroleum,,,Primary Fuel Supply -:- Petroleum -:-  -:-,,PJ,PJa,,,
,,EXPDSL1,Primary Fuel Supply,Petroleum,,,Primary Fuel Supply -:- Petroleum -:-  -:-,,PJ,PJa,,,
,,EXPFOL1,Primary Fuel Supply,Petroleum,,,Primary Fuel Supply -:- Petroleum -:-  -:-,,PJ,PJa,,,
,,EXPJET1,Primary Fuel Supply,Petroleum,,,Primary Fuel Supply -:- Petroleum -:-  -:-,,PJ,PJa,,,
,,EXPOTH1,Primary Fuel Supply,Petroleum,,,Primary Fuel Supply -:- Petroleum -:-  -:-,,PJ,PJa,,,
