TechName,Comm-IN,Comm-OUT,CUM,COST,COST~2021,COST~2025,COST~2030,COST~2035,COST~2040,COST~2050,COST~2060,ACT_BND,ACT_BND~2060
*Technology Name,Input Commodity,Output Commodity,Reserves Cumulative Value,Cost,Cost,Cost,Cost,Cost,Cost,Cost,Cost,Annual Production Bound,Annual Production Bound
*Units,,,PJ,Milion NZD (2015)/PJ,Milion NZD (2015)/PJ,Milion NZD (2015)/PJ,Milion NZD (2015)/PJ,Milion NZD (2015)/PJ,Milion NZD (2015)/PJ,Milion NZD (2015)/PJ,Milion NZD (2015)/PJ,PJ,PJ
MINOIL1,,OILD,,10,16.3487452517022,19.8222200851634,23.2937019043177,24.7116156546915,26.1241720300154,29.2828351355422,29.4296086005688,0,
MINLPG1,,LPG,,20,32.6974905034045,39.6444401703267,46.5874038086355,49.4232313093831,52.2483440600308,58.5656702710844,58.8592172011377,0,
MINPET1,,PET,,20,32.6974905034045,39.6444401703267,46.5874038086355,49.4232313093831,52.2483440600308,58.5656702710844,58.8592172011377,0,
MINDSL1,,DSL,,20,32.6974905034045,39.6444401703267,46.5874038086355,49.4232313093831,52.2483440600308,58.5656702710844,58.8592172011377,0,
MINFOL1,,FOL,,20,32.6974905034045,39.6444401703267,46.5874038086355,49.4232313093831,52.2483440600308,58.5656702710844,58.8592172011377,0,
MINJET1,,JET,,20,32.6974905034045,39.6444401703267,46.5874038086355,49.4232313093831,52.2483440600308,58.5656702710844,58.8592172011377,0,
MINOTH1,,OTH,,20,32.6974905034045,39.6444401703267,46.5874038086355,49.4232313093831,52.2483440600308,58.5656702710844,58.8592172011377,0,
IMPOIL1,,OILI,,12.0209311368914,19.6527140845293,23.8281542624054,28.001198651508,29.7056630066374,31.4036872981119,35.2006944657296,35.3771298373105,0,
IMPLPG1,,LPG,,20,32.6974905034045,39.6444401703267,46.5874038086355,49.4232313093831,52.2483440600308,58.5656702710844,58.8592172011377,0,
IMPPET1,,PET,,15.3798961125361,22.6104060064502,27.0864994801114,31.5285701469886,33.3311178086745,35.1228442956803,39.1112329941124,39.3072690391688,0,
IMPDSL1,,DSL,,15.0251431190601,22.7139702005428,27.4060858158002,32.0561395363421,33.945606109417,35.8227768876206,40.0031993299224,40.2037061507486,0,
IMPFOL1,,FOL,,13.5226288071541,20.4425731804885,24.6654772342202,28.8505255827079,30.5510454984753,32.2404991988585,36.0028793969302,36.1833355356737,0,
IMPJET1,,JET,,16.5276574309661,24.9853672205971,30.1466943973803,35.2617534899763,37.3401667203587,39.4050545763827,44.0035192629147,44.2240767658235,0,60
IMPOTH1,,OTH,,30,21.7983270022696,26.4296267802178,31.058269205757,32.9488208729221,34.8322293733538,39.0437801807229,39.2394781340918,0,
EXPOIL1,OILD,,,15,15.7221712676234,19.0625234099244,22.4009589212064,23.76453040531,25.1229498384895,28.1605555725837,28.3017038698484,0,
EXPLPG1,LPG,,,30,26.1579924027236,31.7155521362614,37.2699230469084,39.5385850475065,41.7986752480246,46.8525362168675,47.0873737609101,0,
EXPPET1,PET,,,30,18.0883248051602,21.6691995840892,25.2228561175909,26.6648942469396,28.0982754365442,31.2889863952899,31.445815231335,0,
EXPDSL1,DSL,,,30,18.1711761604342,21.9248686526402,25.6449116290737,27.1564848875336,28.6582215100965,32.0025594639379,32.1629649205989,0,
EXPFOL1,FOL,,,30,16.3540585443908,19.7323817873762,23.0804204661663,24.4408363987803,25.7923993590868,28.8023035175441,28.946668428539,0,
EXPJET1,JET,,,30,19.9882937764777,24.1173555179042,28.209402791981,29.872133376287,31.5240436611061,35.2028154103317,35.3792614126588,0,
EXPOTH1,OTH,,,30,17.4386616018157,21.1437014241743,24.8466153646056,26.3590566983376,27.8657834986831,31.2350241445783,31.3915825072734,0,
