Sets,Region,TechName,* Sector,* Subsector,* Technology,* Fuel,TechDesc,* OLD TechDesc,Tact,Tcap,Tslvl,PrimaryCG,Vintage
*Process Set Membership,Region Name,Technology Name,,,,,,Technology Description,Activity Unit,Capacity Unit,TimeSlice level of Process Activity,Primary Commodity Group,Vintage Tracking
*,,,,,,,,,,,,,
PRE,,SUP_ELC-PEMC-H2,Green Hydrogen,Green Hydrogen Production,PEM Electrolyser,Electricity,Green Hydrogen -:- Green Hydrogen Production -:- PEM Electrolyser -:- Electricity,H2 production from PEM electrolysis - centralised,PJ,GW,DAYNITE,,
PRE,,SUP_ELC-PEMD-H2,Green Hydrogen,Green Hydrogen Production,PEM Electrolyser,Electricity,Green Hydrogen -:- Green Hydrogen Production -:- PEM Electrolyser -:- Electricity,H2 production from PEM electrolysis - decentralised,PJ,GW,DAYNITE,,
PRE,,\I:SUP_ELC-SOECC-H2,Green Hydrogen,Green Hydrogen Production,SOEC Electrolyser,Electricity,Green Hydrogen -:- Green Hydrogen Production -:- SOEC Electrolyser -:- Electricity,H2 production from SOEC electrolysis - centralised,PJ,GW,DAYNITE,,
PRE,,\I:SUP_ELC-SOECD-H2,Green Hydrogen,Green Hydrogen Production,SOEC Electrolyser,Electricity,Green Hydrogen -:- Green Hydrogen Production -:- SOEC Electrolyser -:- Electricity,H2 production from SOEC electrolysis - decentralised,PJ,GW,DAYNITE,,
\I:,,\I:SUP_H2NGA,Green Hydrogen,Hydrogen to Synthetic Fuels,DAC ELC to NGA,Electricity,Green Hydrogen -:- Hydrogen to Synthetic Fuels -:- DAC ELC to NGA -:- Electricity,H2 methanisation to natural gas (CO2 from DAC),PJ,GW,DAYNITE,,
\I:,,\I:SUP_H2NGA_CCS,Green Hydrogen,Hydrogen to Synthetic Fuels,CCS ELC to NGA,Electricity,Green Hydrogen -:- Hydrogen to Synthetic Fuels -:- CCS ELC to NGA -:- Electricity,H2 methanisation to natural gas (CO2 from CCS),PJ,GW,DAYNITE,,
\I:,,\I:,Primary Fuel Supply,Grey Hydrogen Production with Emission Control,H2 production from natural gas (steam methane reforming with CCS),Electricity,Primary Fuel Supply -:- Grey Hydrogen Production with Emission Control -:- H2 production from natural gas (steam methane reforming with CCS) -:- Electricity,H2 production from natural gas (steam methane reforming with CCS),PJ,GW,DAYNITE,,
MIN,,MIN_DAC_CO2,Green Hydrogen,Hydrogen to Synthetic Fuels,Direct air capture costs,Electricity,Green Hydrogen -:- Hydrogen to Synthetic Fuels -:- Direct air capture costs -:- Electricity,Direct air capture costs,kt,kta,,,
DISTR,,FTE_TRAH2R,Green Hydrogen,Hydrogen Storage and Distribution,Hydrogen supply to transport sector (centralized),,Green Hydrogen -:- Hydrogen Storage and Distribution -:- Hydrogen supply to transport sector (centralized) -:-,Hydrogen supply to transport sector (centralized),PJ,Pja,DAYNITE,,
DISTR,,FTE_TRAH2D,Green Hydrogen,Hydrogen Storage and Distribution,Hydrogen supply to transport sector (decentralized),,Green Hydrogen -:- Hydrogen Storage and Distribution -:- Hydrogen supply to transport sector (decentralized) -:-,Hydrogen supply to transport sector (decentralized),PJ,Pja,DAYNITE,,
DISTR,,FTE_INDH2R,Green Hydrogen,Hydrogen Storage and Distribution,Hydrogen supply to industry sector (centralized),,Green Hydrogen -:- Hydrogen Storage and Distribution -:- Hydrogen supply to industry sector (centralized) -:-,Hydrogen supply to industry sector (centralized),PJ,Pja,DAYNITE,,
DISTR,,FTE_INDH2D,Green Hydrogen,Hydrogen Storage and Distribution,Hydrogen supply to industry sector (decentralized),,Green Hydrogen -:- Hydrogen Storage and Distribution -:- Hydrogen supply to industry sector (decentralized) -:-,Hydrogen supply to industry sector (decentralized),PJ,Pja,DAYNITE,,
DISTR,,FTE_ELCH2R,Green Hydrogen,Hydrogen Storage and Distribution,Hydrogen supply to power sector (centralized),,Green Hydrogen -:- Hydrogen Storage and Distribution -:- Hydrogen supply to power sector (centralized) -:-,Hydrogen supply to power sector (centralized),PJ,Pja,DAYNITE,,
DISTR,,FTE_COMH2R,Green Hydrogen,Hydrogen Storage and Distribution,Hydrogen supply to commercial sector (centralized),,Green Hydrogen -:- Hydrogen Storage and Distribution -:- Hydrogen supply to commercial sector (centralized) -:-,Hydrogen supply to commercial sector (centralized),PJ,Pja,DAYNITE,,
DISTR,,FTE_COMH2D,Green Hydrogen,Hydrogen Storage and Distribution,Hydrogen supply to commercial sector (decentralized),,Green Hydrogen -:- Hydrogen Storage and Distribution -:- Hydrogen supply to commercial sector (decentralized) -:-,Hydrogen supply to commercial sector (decentralized),PJ,Pja,DAYNITE,,
DISTR,,FTE_RESH2R,Green Hydrogen,Hydrogen Storage and Distribution,Hydrogen supply to residential sector (centralized),,Green Hydrogen -:- Hydrogen Storage and Distribution -:- Hydrogen supply to residential sector (centralized) -:-,Hydrogen supply to residential sector (centralized),PJ,Pja,DAYNITE,,
DISTR,,FTE_RESH2D,Green Hydrogen,Hydrogen Storage and Distribution,Hydrogen supply to residential sector (decentralized),,Green Hydrogen -:- Hydrogen Storage and Distribution -:- Hydrogen supply to residential sector (decentralized) -:-,Hydrogen supply to residential sector (decentralized),PJ,Pja,DAYNITE,,
DISTR,,FTE_AGRH2R,Green Hydrogen,Hydrogen Storage and Distribution,Hydrogen supply to Agriculture sector (centralized),,Green Hydrogen -:- Hydrogen Storage and Distribution -:- Hydrogen supply to Agriculture sector (centralized) -:-,Hydrogen supply to Agriculture sector (centralized),PJ,Pja,DAYNITE,,
DISTR,,FTE_AGRH2D,Green Hydrogen,Hydrogen Storage and Distribution,Hydrogen supply to agriculture sector (decentralized),,Green Hydrogen -:- Hydrogen Storage and Distribution -:- Hydrogen supply to agriculture sector (decentralized) -:-,Hydrogen supply to agriculture sector (decentralized),PJ,Pja,DAYNITE,,
\I:,,D-H2_ELCNGA,Green Hydrogen,Fossil Fuel Infrastructure,Natural gas T&D to power & heat sectors,,Green Hydrogen -:- Fossil Fuel Infrastructure -:- Natural gas T&D to power & heat sectors -:-,Natural gas T&D to power & heat sectors,PJ,GW,DAYNITE,,
\I:PRE,,D-H2_NPIP,Green Hydrogen,Hydrogen Storage and Distribution,New Pipeline (NI and SI),,Green Hydrogen -:- Hydrogen Storage and Distribution -:- New Pipeline (NI and SI) -:-,New Pipeline (NI and SI),PJ,GW,DAYNITE,,
\I:,,D-H2toNGA_blnd,Green Hydrogen,Hydrogen Utilization in Existing Infrastructure,Hydrogen Enrichment,Natural Gas,Green Hydrogen -:- Hydrogen Utilization in Existing Infrastructure -:- Hydrogen Enrichment -:- Natural Gas,Blending Hydrogen with Natural gas (only NI),PJ,GW,DAYNITE,,
DISTR,,D-H2_Trailer,Green Hydrogen,Hydrogen Storage and Distribution,Tube Trailer,,Green Hydrogen -:- Hydrogen Storage and Distribution -:- Tube Trailer -:-,Tube Trailer (NI and SI),PJ,Truck,DAYNITE,,
