TechName,Comm-IN,Comm-OUT,EFF~2018,LIFE,ACT_BND~2018,ACT_BND~0,Cap2Act,NCAP_AFA~2018,INVCOST,FIXOM,VAROM,PRC_resid~2018,PRC_resid~2040,PRC_resid~2045,PRC_resid~2050,Share,Share~0,CEFF~2018
*Technology Name,Input Commodity,Output Commodity,Fuel efficiency,Lifetime,SI BVKM,Interpolation rule for ACT_BND,Vehicle max annual travel distance,Annual utilisation rate,Invesment cost of technology,Fixed O&M costs,Variable O&M costs,Total vehicle stock,SI vehicle stock,New SI vehicle stock 2018,SI vehicle stock,Mode or fuel share,Mode or fuel share interpolation rule,Commodity based efficiency
*Units,,,Bvkm/PJ,Years,2018,,000km,%,000NZD/vehicle,000NZD/vehicle,000NZD/vehicle,000vehicles,000vehicles,000vehicles,000vehicles,%,,%
T_P_CICEPET15,TRAPET,T_P_Car,0.308459183327481,18.893708933,8.19439196561122,-1,0.08,0.133079127596572,33.8572530637795,1.38367610709503,,769.691697113131,0,,,,,
T_P_CICEDSL15,TRADSL,T_P_Car,0.27102281432564,19.957648846,0.975442788671356,-1,0.08,0.166526485898479,40.9821610282072,1.34308666666667,,73.2197931914885,0,,,,,
T_P_CBEVNEW15,TRAELC,T_P_Car,1.40799222108786,18.893708933,0.0168135192955816,-1,0.08,0.0960190785477425,56.4342738974834,1.34698629521946,,2.18882532902323,0,,,,,
T_P_CBEVUSD15,TRAELC,T_P_Car,1.40799222108786,13.893708933,0,-1,0.08,0.0816162167655811,25.285083214394,1.61927176981466,,0,0,,,,,
T_P_CICELPG15,TRALPG,T_P_Car,0.314569915448285,18.893708933,0.00465605149723798,-1,0.08,0.238458603586417,36.6794543808068,1.38367610709503,,0.244070219485215,0,,,,,
T_P_CHYBPET15,TRAPET,T_P_Car,0.409739656052812,18.893708933,0.121574677983436,-1,0.08,0.189723539701952,38.4943273070229,1.13302870436116,,8.0099890460631,0,,,,,
T_P_CPHEVPET15,,T_P_Car,,18.893708933,0.00776008582872996,-1,0.08,0.140028304387927,51.9096740364948,1.21513296486487,,0.69272475506379,0,,,,,
,TRAPET,,,,,,,,,,,,,,,0.4,,0.308459183327481
,TRAELC,,,,,,,,,,,,,,,0.6,,1.40799222108786
T_C_CICEPET15,TRAPET,T_C_Car,0.224465495704546,22.051404093,0.450126505677497,-1,0.08,0.12412458902592,33.8966666666667,1.34308666666667,,45.3301103763878,,0,,,,
T_C_CICEDSL15,TRADSL,T_C_Car,0.242329128781387,15.784552846,2.19502866592144,-1,0.08,0.20286569808977,50.4003390834807,1.53961127372657,,135.251344028976,0,,,,,
T_C_CBEVNEW15,TRAELC,T_C_Car,1.32866322117862,22.051404093,0.00264780297457351,-1,0.08,0.143987098755951,70.7086956521739,1.70980622173149,,0.229864602232642,,0,,,,
T_C_CICELPG15,TRALPG,T_C_Car,0.314569915448285,22.051404093,0.00117680132203267,-1,0.08,0.158800736835419,36.7188679836939,1.34308666666667,,0.0926319160638017,,0,,,,
T_C_CHYBPET15,TRAPET,T_C_Car,0.320800575407661,22.051404093,3.84592695284132e-05,-1,0.08,0.158800736835419,38.5391389793411,1.09979187902069,,0.00302732140092905,,0,,,,
T_P_MICEPET15,TRAPET,T_P_Mcy,0.586029893127309,12.14726436,0.115666189304028,-1,0.08,0.0301146766888311,10,0.5,,48.0107218563161,0,,,,,
T_P_BICEPET15,TRAPET,T_P_Bus,0.108785306236062,31,0.000648709374155917,-1,0.08,0.158358142775702,0,18.7441995049423,,0.0512058744489973,,,0,,,
T_P_BICEDSL15,TRADSL,T_P_Bus,0.0732005477545315,26.248,0.0992525342458553,-1,0.08,0.347791772292316,440,18.7441995049423,,3.5672398742959,,,0,,,
T_P_BBEVELC15,TRAELC,T_P_Bus,0.265481250816156,30,0.000973064061233875,-1,0.08,0.43322550831793,927.408,17.2243995450822,,0.0280761417134681,,,0,,,
T_F_MTICEPET15,TRAPET,T_F_MTrk,0.136382216288253,34.774647887,0.003,-1,0.08,0.0468596175652561,0,3.8,,0.800262613065034,,,0,,,
T_F_MTICEDSL15,TRADSL,T_F_MTrk,0.131872336742822,21.981385163,0.247,-1,0.08,0.132116310734186,440,3.8,,23.3695596163895,,0,,,,
T_F_MBEVELC15,TRAELC,T_F_MTrk,0.600561691903235,21.981385163,1.20050532986532e-05,-1,0.08,0.0195306586538462,927.408,3.5,,0.0076834667428696,,0,,,,
T_F_HTICEDSL15,TRADSL,T_F_HTrk,0.0565,21.981385163,0.203,-1,0.08,0.146,200,16.44,,17.435559147281,,0,,,,
T_F_VHTICEDSL15,TRADSL,T_F_VHTrk,0.047,21.981385163,0.455,-1,0.08,1.459,300,20,,3.90083696176457,,,,,,
T_F_DSHIPP15,TRAFOL,T_F_DSHIP,1,60,2.4027775754843,,,,,,,,,,,,,
T_F_ISHIPP15,FOL,T_F_ISHIP,1,60,2.89639235683006,,,,,,,,,,,,,
T_O_FuelJet,TRAJet,T_O_JET,1,60,5.51875709180864,,,,,,,,,,,,,
T_O_FuelJet_Int,Jet,T_O_JET_Int,1,60,11.4290257988439,,,,,,,,,,,,,
T_R_Rail15,TRADSL,T_F_Rail,1,60,0.424373609798393,,,,,,,,,,,,,
T_P_Rail15,TRAELC,T_P_Rail,1,60,0.0144979487179487,,,,,,,,,,,,,
