folder_name,sheet_name,tag_name,range,uc_sets,tag_counter
BY_Trans,BY_Trans,TFM_INS,B6:Q7,,1
BY_Trans,FILL Table,TFM_FILL,B3:O4,,1
BY_Trans,NCAP_BND,TFM_INS,B6:Q7,,1
SubRES_TMPL/SubRES_NewTech_AGR_KEA,OTH_AGR,FI_Process,B85:P159,,1
SubRES_TMPL/SubRES_NewTech_AGR_KEA,OTH_AGR,FI_T,B4:AB77,,1
SubRES_TMPL/SubRES_NewTech_AGR_KEA_Trans,AVA,TFM_AVA,B4:F7,,1
SubRES_TMPL/SubRES_NewTech_AGR_TUI,OTH_AGR,FI_Process,B85:P159,,1
SubRES_TMPL/SubRES_NewTech_AGR_TUI,OTH_AGR,FI_T,B4:AB77,,1
SubRES_TMPL/SubRES_NewTech_AGR_TUI_Trans,AVA,TFM_AVA,B4:F7,,1
SubRES_TMPL/SubRES_NewTech_ELC_KEA,ELC_CCS,FI_Comm,C37:O40,,1
SubRES_TMPL/SubRES_NewTech_ELC_KEA,ELC_CCS,FI_Process,C28:P35,,1
SubRES_TMPL/SubRES_NewTech_ELC_KEA,ELC_CCS,FI_T,C20:L23,,1
SubRES_TMPL/SubRES_NewTech_ELC_KEA,ELC_CCS,FI_T,C4:AV14,,2
SubRES_TMPL/SubRES_NewTech_ELC_KEA,ELC_newtech_KEA,FI_Comm,B75:J77,,1
SubRES_TMPL/SubRES_NewTech_ELC_KEA,ELC_newtech_KEA,FI_Process,B82:O125,,1
SubRES_TMPL/SubRES_NewTech_ELC_KEA,ELC_newtech_KEA,FI_T,B55:J62,,1
SubRES_TMPL/SubRES_NewTech_ELC_KEA,ELC_newtech_KEA,FI_T,B64:H71,,2
SubRES_TMPL/SubRES_NewTech_ELC_KEA,ELC_newtech_KEA,FI_T,B7:AP50,,3
SubRES_TMPL/SubRES_NewTech_ELC_TUI,ELC_CCS,FI_Comm,C37:O40,,1
SubRES_TMPL/SubRES_NewTech_ELC_TUI,ELC_CCS,FI_Process,C28:P35,,1
SubRES_TMPL/SubRES_NewTech_ELC_TUI,ELC_CCS,FI_T,C20:L23,,1
SubRES_TMPL/SubRES_NewTech_ELC_TUI,ELC_CCS,FI_T,C4:AV14,,2
SubRES_TMPL/SubRES_NewTech_ELC_TUI,ELC_newtech_TUI,FI_Comm,B74:J76,,1
SubRES_TMPL/SubRES_NewTech_ELC_TUI,ELC_newtech_TUI,FI_Process,B81:O124,,1
SubRES_TMPL/SubRES_NewTech_ELC_TUI,ELC_newtech_TUI,FI_T,B55:J62,,1
SubRES_TMPL/SubRES_NewTech_ELC_TUI,ELC_newtech_TUI,FI_T,B65:H72,,2
SubRES_TMPL/SubRES_NewTech_ELC_TUI,ELC_newtech_TUI,FI_T,B7:AP50,,3
SubRES_TMPL/SubRES_NewTech_RC,OTH_COM,FI_Process,C285:P553,,1
SubRES_TMPL/SubRES_NewTech_RC,OTH_COM,FI_T,C4:Y282,,1
SubRES_TMPL/SubRES_NewTech_RC,OTH_RES,FI_Process,C68:P119,,1
SubRES_TMPL/SubRES_NewTech_RC,OTH_RES,FI_T,C5:W65,,1
SubRES_TMPL/SubRES_NewTechs_Industry,IND_NewTechs,FI_T,N8:AV249,,1
SubRES_TMPL/SubRES_NewTechs_Industry,IND_definitions,FI_Process,B9:O249,,1
SubRES_TMPL/SubRES_NewTechs_Industry_Trans,AVA,TFM_AVA,B4:F9,,1
SubRES_TMPL/SubRES_NewTransport-KEA,TRA_NEW,FI_Process,C53:P85,,1
SubRES_TMPL/SubRES_NewTransport-KEA,TRA_NEW,FI_T,C7:Y47,,1
SubRES_TMPL/SubRES_NewTransport-TUI,TRA_NEW,FI_Process,C53:P85,,1
SubRES_TMPL/SubRES_NewTransport-TUI,TRA_NEW,FI_T,C7:Y47,,1
SuppXLS/Scen_AF_Renewable,Extrapol_AF,TFM_INS,C5:K8,,1
SuppXLS/Scen_AF_Renewable,ModeLIn_Hydro,TFM_INS,C34:K59,,1
SuppXLS/Scen_AF_Renewable,ModeLIn_Hydro,TFM_INS,C6:K31,,2
SuppXLS/Scen_AF_Renewable,ModeLIn_Hydro,TFM_INS,N6:V15,,3
SuppXLS/Scen_AF_Renewable,ModeLIn_Hydro,TFM_INS,O34:W39,,4
SuppXLS/Scen_AF_Renewable,ModeLIn_Hydro,TFM_INS,Y6:AG11,,5
SuppXLS/Scen_AF_Renewable,ModeLIn_Solar,TFM_INS,C34:K59,,1
SuppXLS/Scen_AF_Renewable,ModeLIn_Solar,TFM_INS,C62:K87,,2
SuppXLS/Scen_AF_Renewable,ModeLIn_Solar,TFM_INS,C6:K31,,3
SuppXLS/Scen_AF_Renewable,ModeLIn_Solar,TFM_INS,N34:V59,,4
SuppXLS/Scen_AF_Renewable,ModeLIn_Solar,TFM_INS,N62:V87,,5
SuppXLS/Scen_AF_Renewable,ModeLIn_Solar,TFM_INS,N6:V31,,6
SuppXLS/Scen_AF_Renewable,ModeLIn_Wind,TFM_INS,AI33:AQ58,,1
