TechName,Comm-In,Comm-Out,EFF,LIFE,INVCOST~2018,INVCOST~2030,INVCOST~2050,FIXOM~2018,AFA
ADCF-MoTP-Mob-Trac-ELC,AGRELC,ADCF-MoTP-Mob,0.39,15,3039.58,1245.66,1072.05,57.07,0.09
ADCF-MoTP-Mob-Trac-H2R,AGRH2R,ADCF-MoTP-Mob,0.24,15,2304.09,1136.31,634.71,34.75,0.09
ADCF-MoTP-Mob-MTr-ELC,AGRELC,ADCF-MoTP-Mob,0.44,22,6565.01,2040.4,2040.4,65.44,0.02
ADCF-MoTP-Mob-MTr-H2R,AGRH2R,ADCF-MoTP-Mob,0.27,22,7542.15,3104.03,2501.4,71.34,0.02
ADCF-MoTP-Mob-Uti-ELC,AGRELC,ADCF-MoTP-Mob,0.8,22,563.28,378.82,378.82,10.53,0.09
ADCF-MoTP-Mob-Uti-H2R,AGRH2R,ADCF-MoTP-Mob,0.5,22,748.66,537.67,408.55,13.06,0.09
ADCF-MoTP-Mob-Bike-ELC,AGRELC,ADCF-MoTP-Mob,0.35,10,483.48,157.77,157.77,250,0.25
ALIVE-MoTP-Mob-Trac-ELC,AGRELC,ALIVE-MoTP-Mob,0.39,15,3039.58,1245.66,1072.05,57.07,0.09
ALIVE-MoTP-Mob-Trac-H2R,AGRH2R,ALIVE-MoTP-Mob,0.24,15,2304.09,1136.31,634.71,34.75,0.09
ALIVE-MoTP-Mob-MTr-ELC,AGRELC,ALIVE-MoTP-Mob,0.44,22,6565.01,2040.4,2040.4,65.44,0.02
ALIVE-MoTP-Mob-MTr-H2R,AGRH2R,ALIVE-MoTP-Mob,0.27,22,7542.15,3104.03,2501.4,71.34,0.02
ALIVE-MoTP-Mob-Uti-ELC,AGRELC,ALIVE-MoTP-Mob,0.8,22,563.28,378.82,378.82,10.53,0.09
ALIVE-MoTP-Mob-Uti-H2R,AGRH2R,ALIVE-MoTP-Mob,0.5,22,748.66,537.67,408.55,13.06,0.09
ALIVE-MoTP-Mob-Bike-PET,AGRPET,ALIVE-MoTP-Mob,0.1,10,264.04,264.04,264.04,34.75,0.25
ALIVE-MoTP-Mob-Bike-ELC,AGRELC,ALIVE-MoTP-Mob,0.35,12,483.48,157.77,157.77,17.38,0.25
AHORT-MoTP-Mob-Trac-ELC,AGRELC,AHORT-MoTP-Mob,0.39,12,10778.63,4403.36,3838.55,138.35,0.06
AHORT-MoTP-Mob-Trac-H2R,AGRH2R,AHORT-MoTP-Mob,0.24,12,10787.46,5195.41,2793.42,56.16,0.06
AHORT-MoTP-Mob-MTr-ELC,AGRELC,AHORT-MoTP-Mob,0.44,22,6565.01,2040.4,2040.4,65.44,0.02
AHORT-MoTP-Mob-MTr-H2R,AGRH2R,AHORT-MoTP-Mob,0.27,22,7542.15,3104.03,2501.4,71.34,0.02
AHORT-MoTP-Mob-Uti-ELC,AGRELC,AHORT-MoTP-Mob,0.8,22,563.28,378.82,378.82,10.53,0.09
AHORT-MoTP-Mob-Uti-H2R,AGRH2R,AHORT-MoTP-Mob,0.5,22,748.66,537.67,408.55,13.06,0.09
AHORT-MoTP-Stat-Motor-ELC,AGRELC,AHORT-MoTP-Stat,0.9,20,2400,,,,0.07
AINDC-SH-Boiler-WOD,AGRWOD,AINDC-SH,0.85,25,705.8823529,,,6.67,0.27
AINDC-SH-Boiler-ELC,AGRELC,AINDC-SH,0.99,25,370.5,250,250,,0.27
AINDC-SH-Boiler-H2R,AGRH2R,AINDC-SH,0.87,25,174.825,,,6.62,0.27
AINDC-SH-HP-ELC,AGRELC,AINDC-SH,3.5,20,1071.428571,,,,0.27
AFORE-MoTP-Mob-GB-ELC,AGRELC,AFORE-MoTP-Mob,0.39,15,,3705.362201,2192.975156,18.82572374,0.15
AFORE-MoTP-Mob-GB-H2R,AGRH2R,AFORE-MoTP-Mob,0.24,15,,2363.437582,814.8958539,45.85178438,0.15
AFORE-MoTP-Mob-CY-ELC,AGRELC,AFORE-MoTP-Mob,0.39,15,,8324.930349,2603.483567,11.906698,0.15
AFORE-MoTP-Mob-CY-H2R,AGRH2R,AFORE-MoTP-Mob,0.24,15,,2655.818194,915.3429897,28.99985981,0.15
AFISH-MoTP-Mob-HYBBoat-DSL,AGRDSL,AFISH-MoTP-Mob,0.19,20,1480.013405,,,,1
