TechName,Comm-In,Comm-Out,EFF,LIFE,INVCOST~2018,INVCOST~2030,INVCOST~2050,FIXOM~2018,AFA
ADCF-MoTP-Mob-Trac-ELC,AGRELC,ADCF-MoTP-Mob,0.39,15,3076.969325,1595.220724,1071.7594,57.07127505,0.09
ADCF-MoTP-Mob-Trac-H2R,AGRH2R,ADCF-MoTP-Mob,0.24,15,2307.258242,2140.786796,675.3559438,34.75058694,0.09
ADCF-MoTP-Mob-MTr-ELC,AGRELC,ADCF-MoTP-Mob,0.44,22,6565.010112,2084.875383,2084.875383,65.43796571,0.02
ADCF-MoTP-Mob-MTr-H2R,AGRH2R,ADCF-MoTP-Mob,0.27,22,7542.145292,3104.0294,2501.400538,71.34326999,0.02
ADCF-MoTP-Mob-Uti-ELC,AGRELC,ADCF-MoTP-Mob,0.8,22,563.28,413.47,413.47,10.52998122,0.09
ADCF-MoTP-Mob-Uti-H2R,AGRH2R,ADCF-MoTP-Mob,0.5,22,748.66,431.38,408.55,13.06071596,0.09
ADCF-MoTP-Mob-Bike-ELC,AGRELC,ADCF-MoTP-Mob,0.35,10,483,287,189,250,0.25
ALIVE-MoTP-Mob-Trac-ELC,AGRELC,ALIVE-MoTP-Mob,0.386473,15,3076.969325,1595.220724,1071.7594,57.07127505,0.09
ALIVE-MoTP-Mob-Trac-H2R,AGRH2R,ALIVE-MoTP-Mob,0.241546,15,2307.258242,2140.786796,675.3559438,34.75058694,0.09
ALIVE-MoTP-Mob-MTr-ELC,AGRELC,ALIVE-MoTP-Mob,0.43535,22,6565.010112,2084.875383,2084.875383,65.43796571,0.02
ALIVE-MoTP-Mob-MTr-H2R,AGRH2R,ALIVE-MoTP-Mob,0.272093,22,7542.145292,3104.0294,2501.400538,71.34326999,0.02
ALIVE-MoTP-Mob-Uti-ELC,AGRELC,ALIVE-MoTP-Mob,0.8,22,563.2761111,413.4744442,413.4744442,10.52998122,0.09
ALIVE-MoTP-Mob-Uti-H2R,AGRH2R,ALIVE-MoTP-Mob,0.5,22,748.6600075,431.3847446,408.5523564,13.06071596,0.09
ALIVE-MoTP-Mob-Bike-PET,AGRPET,ALIVE-MoTP-Mob,0.1,10,264.0430374,264.0430374,264.0430374,34.75045697,0.25
ALIVE-MoTP-Mob-Bike-ELC,AGRELC,ALIVE-MoTP-Mob,0.347826,12,483.4846187,287.0371841,189.3223981,17.37522848,0.25
AHORT-MoTP-Mob-Trac-ELC,AGRELC,AHORT-MoTP-Mob,0.386473,12,10961.1096,5626.288656,3923.314973,138.3546062,0.061644
AHORT-MoTP-Mob-Trac-H2R,AGRH2R,AHORT-MoTP-Mob,0.241546,12,10802.64415,10005.47449,2988.072731,56.16256476,0.061644
AHORT-MoTP-Mob-MTr-ELC,AGRELC,AHORT-MoTP-Mob,0.43535,22,6565.010112,2084.875383,2084.875383,65.43796571,0.02
AHORT-MoTP-Mob-MTr-H2R,AGRH2R,AHORT-MoTP-Mob,0.272093,22,7542.145292,3104.0294,2501.400538,71.34326999,0.02
AHORT-MoTP-Mob-Uti-ELC,AGRELC,AHORT-MoTP-Mob,0.8,22,563.2761111,413.4744442,413.4744442,10.52998122,0.09
AHORT-MoTP-Mob-Uti-H2R,AGRH2R,AHORT-MoTP-Mob,0.5,22,748.6600075,431.3847446,408.5523564,13.06071596,0.09
AHORT-MoTP-Stat-Motor-ELC,AGRELC,AHORT-MoTP-Stat,0.9,20,2400,,,,0.07416
AINDC-SH-Boiler-WOD,AGRWOD,AINDC-SH,0.85,25,705.8823529,,,11.25,0.27
AINDC-SH-Boiler-ELC,AGRELC,AINDC-SH,0.99,25,370.5,250,250,,0.27
AINDC-SH-Boiler-H2R,AGRH2R,AINDC-SH,0.87,25,174.825,,,6.62,0.27
AINDC-SH-HP-ELC,AGRELC,AINDC-SH,3.5,20,1071.428571,,,,0.27
AFORE-MoTP-Mob-GB-ELC,AGRELC,AFORE-MoTP-Mob,0.386473,15,,6998.669165,2331.850796,18.82572374,0.153664
AFORE-MoTP-Mob-GB-H2R,AGRH2R,AFORE-MoTP-Mob,0.241546,15,,2440.4418,858.7681567,45.85178438,0.153664
AFORE-MoTP-Mob-CY-ELC,AGRELC,AFORE-MoTP-Mob,0.386473,15,,8412.925432,2771.365657,11.906698,0.153388
AFORE-MoTP-Mob-CY-H2R,AGRH2R,AFORE-MoTP-Mob,0.241546,15,,2742.366674,1086.065515,28.99985981,0.153388
AFISH-MoTP-Mob-HYBBoat-DSL,AGRDSL,AFISH-MoTP-Mob,0.193823,20,1480.013405,,,,1
