Technology,AFA,Notes
Boiler Systems,0.27,TIMES-NZ 2.0
Burner (Direct heat),1,TIMES-NZ 2.0
Cable Yarding,0.15,TIMES-NZ 2.0
Electric Motor,0.23,TIMES-NZ 2.0
Electric Motor VSD,0.23,TIMES-NZ 2.0
Electronics,0.23,TIMES-NZ 2.0
Furnace/Kiln,0.23,TIMES-NZ 2.0
Ground Based,0.15,TIMES-NZ 2.0
Heat Recovery System (Cooling),0.23,TIMES-NZ 2.0
Heat Recovery System (Heating),0.23,TIMES-NZ 2.0
Hot Water Cylinder,0.23,TIMES-NZ 2.0
Internal Combustion Engine (Land Transport),0.25,TIMES-NZ 2.0
Internal Combustion Engine (Sea Transport),1,TIMES-NZ 2.0
Irrigation,0.16,TIMES-NZ 2.0
Irrigation VSD,0.16,TIMES-NZ 2.0
Lights,0.23,TIMES-NZ 2.0
"Pump Systems (for Fluids, etc.)",0.23,TIMES-NZ 2.0
Refrigeration Systems,0.23,TIMES-NZ 2.0
Resistance Heater,0.23,TIMES-NZ 2.0
Stationary Engine,0.15,TIMES-NZ 2.0
Tractor,0.09,TIMES-NZ 2.0
Truck,0.02,TIMES-NZ 2.0
Ute,0.17,TIMES-NZ 2.0
