Technology,Fuel,Efficiency,Notes
Electric Motor,Electricity,0.84,
Electric Motor VSD,Electricity,0.95,
Irrigation,Electricity,0.7,
Irrigation VSD,Electricity,0.83,
Hot Water Cylinder,Electricity,0.9,
Heat Recovery System (Heating),Electricity,3.5,
Tractor,Diesel,0.11,
Truck,Diesel,0.13,
Ute,Diesel,0.23,
Internal Combustion Engine (Land Transport),Petrol,0.1,
"Pump Systems (for Fluids, etc.)",Electricity,0.7,
Refrigeration Systems,Electricity,1.8,
Heat Recovery System (Cooling),Electricity,3.5,
Lights,Electricity,0.14,
Boiler Systems,Coal,0.75,
Boiler Systems,Diesel,0.85,
Boiler Systems,Natural Gas,0.85,
Boiler Systems,Geothermal,1,
Burner (Direct heat),LPG,0.8,
Stationary Engine,Diesel,0.3,
Stationary Engine,Petrol,0.14,
Ground Based,Diesel,0.11,
Cable Yarding,Diesel,0.11,
Internal Combustion Engine (Sea Transport),Diesel,0.18,
Internal Combustion Engine (Sea Transport),Petrol,0.18,
Resistance Heater,Electricity,0.99,
Electronics,Electricity,0.9,
Furnace/Kiln,Diesel,0.85,
