Technology,Life,Note,Source
Electric Motor,20,TIMES-NZ 2.0,
Electric Motor VSD,20,TIMES-NZ 2.0,
Irrigation,10,TIMES-NZ 2.0,
Irrigation VSD,10,TIMES-NZ 2.0,
Hot Water Cylinder,15.5,TIMES-NZ 2.0,
Heat Recovery System (Heating),15.5,TIMES-NZ 2.0,
Tractor,15.5,TIMES-NZ 2.0,
Truck,34,TIMES-NZ 2.0,
Ute,18,TIMES-NZ 2.0,
Internal Combustion Engine (Land Transport),20,TIMES-NZ 2.0,
"Pump Systems (for Fluids, etc.)",12.5,TIMES-NZ 2.0,
Refrigeration Systems,8,TIMES-NZ 2.0,
Heat Recovery System (Cooling),15.5,TIMES-NZ 2.0,
Lights,3,TIMES-NZ 2.0,
Boiler Systems,25,TIMES-NZ 2.0,
Burner (Direct heat),12.5,TIMES-NZ 2.0,
Stationary Engine,20,TIMES-NZ 2.0,
Ground Based,12.5,TIMES-NZ 2.0,
Cable Yarding,20,TIMES-NZ 2.0,
Internal Combustion Engine (Sea Transport),20,TIMES-NZ 2.0,
Resistance Heater,10,TIMES-NZ 3.0 other sectors,
Electronics,4,TIMES-NZ 3.0 other sectors,
Furnace/Kiln,,N/A,
