TechName,Comm-IN,Comm-OUT,Start,Share-I~UP,Share-O~LO,EFF,EFF~0,INVCOST,FIXOM,VAROM,AFA,LIFE,CAP2ACT
REF_ANDGST,,,2024,,,0.68,3,138,,7.51875,0.85,20,1
,ANMMNR,BIG,,,,,,,,,,,
,WODWST,BIG,,,,,,,,,,,
,AGRWST,BIG,,,,,,,,,,,
,MNCWST,BIG,,,,,,,,,,,
CT_CWODETH,WODWST,BIL,2024,,,0.675,3,"1,488",149.0184157,,0.85,25,31.536
CT_COILBDS,OILWST,BDSL,2024,,,0.89,3,"1,206",,41.28,0.85,25,31.536
CT_CWODDID,WODWST,,2024,,,0.525,3,"10,483",,8.67,0.85,25,31.536
,,DID,,,0.6,,,,,,,,
,,DIJ,,,0.4,,,,,,,,
WSTWOD2WOD,,,2024,,,0.98,3,"3,650",,1.395,0.85,25,31.536
,WODWST,WOD,,0.98,,,,,,,,,
,,OSWOD,,,,,,,,,,,
,ELC,WOD,,0.02,,,,,,,,,
,,OSWOD,,,,,,,,,,,
CT_CWODBPL,,,2028,,,0.8,3,"2,421",,9.1,0.85,25,31.536
,WOD,BPLT,,0.85,,,,,,,,,
,ELC,BPLT,,0.15,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,, ,,
