Year,Price,Unit,PriceBaseYear,Scenario,Notes
2020,37.69,NZD/t CO2e,2023,ERP2 Baseline,ERP2 Baseline
2021,57.75,NZD/t CO2e,2023,ERP2 Baseline,ERP2 Baseline
2022,87.11,NZD/t CO2e,2023,ERP2 Baseline,ERP2 Baseline
2023,66.14,NZD/t CO2e,2023,ERP2 Baseline,ERP2 Baseline
2024,64.54,NZD/t CO2e,2023,ERP2 Baseline,ERP2 Baseline
2025,68.54,NZD/t CO2e,2023,ERP2 Baseline,ERP2 Baseline
2026,72.79,NZD/t CO2e,2023,ERP2 Baseline,ERP2 Baseline
2027,77.31,NZD/t CO2e,2023,ERP2 Baseline,ERP2 Baseline
2028,82.10,NZD/t CO2e,2023,ERP2 Baseline,ERP2 Baseline
2029,87.19,NZD/t CO2e,2023,ERP2 Baseline,ERP2 Baseline
2030,92.60,NZD/t CO2e,2023,ERP2 Baseline,ERP2 Baseline
2031,89.72,NZD/t CO2e,2023,ERP2 Baseline,ERP2 Baseline
2032,86.94,NZD/t CO2e,2023,ERP2 Baseline,ERP2 Baseline
2033,84.25,NZD/t CO2e,2023,ERP2 Baseline,ERP2 Baseline
2034,81.64,NZD/t CO2e,2023,ERP2 Baseline,ERP2 Baseline
2035,79.11,NZD/t CO2e,2023,ERP2 Baseline,ERP2 Baseline
2036,76.65,NZD/t CO2e,2023,ERP2 Baseline,ERP2 Baseline
2037,74.28,NZD/t CO2e,2023,ERP2 Baseline,ERP2 Baseline
2038,71.97,NZD/t CO2e,2023,ERP2 Baseline,ERP2 Baseline
2039,69.74,NZD/t CO2e,2023,ERP2 Baseline,ERP2 Baseline
2040,67.58,NZD/t CO2e,2023,ERP2 Baseline,ERP2 Baseline
2041,65.49,NZD/t CO2e,2023,ERP2 Baseline,ERP2 Baseline
2042,63.46,NZD/t CO2e,2023,ERP2 Baseline,ERP2 Baseline
2043,61.49,NZD/t CO2e,2023,ERP2 Baseline,ERP2 Baseline
2044,59.58,NZD/t CO2e,2023,ERP2 Baseline,ERP2 Baseline
2045,57.74,NZD/t CO2e,2023,ERP2 Baseline,ERP2 Baseline
2046,55.95,NZD/t CO2e,2023,ERP2 Baseline,ERP2 Baseline
2047,54.21,NZD/t CO2e,2023,ERP2 Baseline,ERP2 Baseline
2048,52.53,NZD/t CO2e,2023,ERP2 Baseline,ERP2 Baseline
2049,52.05,NZD/t CO2e,2023,ERP2 Baseline,ERP2 Baseline
2050,52.05,NZD/t CO2e,2023,ERP2 Baseline,ERP2 Baseline
2020,37.69,NZD/t CO2e,2023,Traditional,Modified ERP2 Baseline (assume price stabilises in 2028)
2021,57.75,NZD/t CO2e,2023,Traditional,Modified ERP2 Baseline (assume price stabilises in 2028)
2022,87.11,NZD/t CO2e,2023,Traditional,Modified ERP2 Baseline (assume price stabilises in 2028)
2023,66.14,NZD/t CO2e,2023,Traditional,Modified ERP2 Baseline (assume price stabilises in 2028)
2024,64.54,NZD/t CO2e,2023,Traditional,Modified ERP2 Baseline (assume price stabilises in 2028)
2025,68.54,NZD/t CO2e,2023,Traditional,Modified ERP2 Baseline (assume price stabilises in 2028)
2026,72.79,NZD/t CO2e,2023,Traditional,Modified ERP2 Baseline (assume price stabilises in 2028)
2027,77.31,NZD/t CO2e,2023,Traditional,Modified ERP2 Baseline (assume price stabilises in 2028)
2028,77.31,NZD/t CO2e,2023,Traditional,Modified ERP2 Baseline (assume price stabilises in 2028)
