Technology,FLO_MARK~2030,FLO_MARK~2050,FLO_MARK~0
C_EDU-OTH_ELEC-ELC,,,
C_EDU-LT_INC-ELC,,,
C_EDU-LT_FLU-ELC,,,
C_EDU-LT_LED-ELC,,,
C_EDU-SH_Boiler-COA,0.05,0.00,3
C_EDU-SH_Boiler-DSL,0.01,0.00,3
C_EDU-SH_Boiler-FOL,0.00,0.00,3
C_EDU-SH_Boiler-LPG,0.00,0.00,3
C_EDU-SH_Boiler-NGA,0.20,0.20,3
C_EDU-SH_Boiler-WOD,0.20,0.40,3
C_EDU-SH_Boiler-PLT,0.20,0.40,3
C_EDU-SH_Boiler-ELC,0.10,0.30,3
C_EDU-SH_Boiler-BIG,0.00,0.00,3
C_EDU-SH_Boiler-H2R,0.00,0.00,3
C_EDU-WH_Boiler-COA,0.06,0.00,3
C_EDU-WH_Boiler-DSL,0.00,0.00,3
C_EDU-WH_Boiler-FOL,0.00,0.00,3
C_EDU-WH_Boiler-LPG,0.00,0.00,3
C_EDU-WH_Boiler-NGA,0.00,0.00,3
C_EDU-WH_Boiler-WOD,,,
C_EDU-WH_Boiler-PLT,,,
C_EDU-WH_Boiler-ELC,0.10,0.20,3
C_EDU-WH_Boiler-BIG,0.00,0.00,3
C_EDU-WH_Boiler-H2R,0.00,0.00,3
C_EDU-SH_AIRHP-ELC,0.30,0.70,3
C_EDU-SH_GHP-ELC,0.30,0.70,3
C_EDU-SH_RH-ELC,0.50,0.30,3
C_EDU-WH_AIRHP-ELC,0.60,1.00,3
C_EDU-WH_GHP-ELC,0.60,1.00,3
C_EDU-WH_Cylinder-ELC,0.65,0.65,3
C_EDU-WH_Cylinder-NGA,0.28,0.10,3
C_EDU-WH_Cylinder-LPG,0.05,0.05,3
C_EDU-WH_Instant-NGA,0.20,0.10,3
C_EDU-WH_Instant-LPG,0.10,0.05,3
C_EDU-WH_Instant-ELC,0.05,0.10,3
C_EDU-MPM_-DSL,0.80,0.80,3
C_EDU-MPM_-PET,0.20,0.20,3
C_EDU-MPM_-LPG,,,
C_EDU-MPM_-ELC,0.50,1.00,3
C_EDU-MPM_-H2R,0.05,0.50,3
C_EDU-MPS_-DSL,0.40,0.40,3
C_EDU-MPS_-PET,0.40,0.40,3
C_EDU-MPS_-LPG,,,
C_EDU-MPS_-ELC,1.00,1.00,3
C_EDU-MPS_-H2R,0.10,0.30,3
C_EDU-RF_Refriger-ELC,,,
C_EDU-SC_AirHP-ELC,,,
C_EDU-SC_GHP-ELC,,,
C_HLTH-OTH_ELEC-ELC,,,
C_HLTH-LT_INC-ELC,,,
C_HLTH-LT_FLU-ELC,,,
C_HLTH-LT_LED-ELC,,,
C_HLTH-SH_Boiler-COA,0.03,0.00,3
C_HLTH-SH_Boiler-DSL,0.01,0.00,3
C_HLTH-SH_Boiler-FOL,0.00,0.00,3
C_HLTH-SH_Boiler-LPG,0.00,0.00,3
C_HLTH-SH_Boiler-NGA,0.68,0.30,3
C_HLTH-SH_Boiler-WOD,0.20,0.40,3
C_HLTH-SH_Boiler-PLT,0.20,0.40,3
C_HLTH-SH_Boiler-ELC,0.10,0.40,3
C_HLTH-SH_Boiler-BIG,0.00,0.00,3
C_HLTH-SH_Boiler-H2R,0.00,0.00,3
C_HLTH-WH_Boiler-COA,0.10,0.00,3
C_HLTH-WH_Boiler-DSL,0.00,0.00,3
C_HLTH-WH_Boiler-FOL,0.00,0.00,3
C_HLTH-WH_Boiler-LPG,0.10,0.10,3
C_HLTH-WH_Boiler-NGA,0.20,0.20,3
C_HLTH-WH_Boiler-WOD,0.20,0.50,3
C_HLTH-WH_Boiler-PLT,0.20,0.50,3
C_HLTH-WH_Boiler-ELC,0.20,0.20,3
C_HLTH-WH_Boiler-BIG,0.00,0.00,3
C_HLTH-WH_Boiler-H2R,0.00,0.00,3
C_HLTH-PH_Boiler-COA,0.05,0.00,3
C_HLTH-PH_Boiler-DSL,0.00,0.00,3
C_HLTH-PH_Boiler-FOL,0.00,0.00,3
C_HLTH-PH_Boiler-LPG,0.00,0.00,3
C_HLTH-PH_Boiler-NGA,0.20,0.20,3
C_HLTH-PH_Boiler-WOD,0.50,0.70,3
C_HLTH-PH_Boiler-PLT,0.50,0.70,3
C_HLTH-PH_Boiler-BIG,0.02,0.02,3
C_HLTH-PH_Boiler-H2R,0.00,0.00,3
C_HLTH-WH_DirectH-GEO,0.06,0.06,3
C_HLTH-SH_AIRHP-ELC,0.50,1.00,3
C_HLTH-SH_GHP-ELC,0.50,1.00,3
C_HLTH-SH_RH-ELC,0.50,0.60,3
C_HLTH-WH_AIRHP-ELC,0.60,1.00,3
C_HLTH-WH_GHP-ELC,0.60,1.00,3
C_HLTH-WH_Cylinder-ELC,0.82,0.82,3
C_HLTH-WH_Cylinder-NGA,0.20,0.20,3
C_HLTH-WH_Cylinder-LPG,0.10,0.10,3
C_HLTH-WH_Instant-NGA,0.10,0.05,3
C_HLTH-WH_Instant-LPG,0.05,0.05,3
C_HLTH-WH_Instant-ELC,0.10,0.20,3
C_HLTH-PH_RH-ELC,0.60,1.00,3
C_HLTH-MPM_-DSL,0.65,0.65,3
C_HLTH-MPM_-PET,0.35,0.35,3
C_HLTH-MPM_-LPG,0.00,0.00,3
C_HLTH-MPM_-ELC,0.50,1.00,3
C_HLTH-MPM_-H2R,0.10,0.50,3
C_HLTH-MPS_-DSL,,,
C_HLTH-MPS_-PET,,,
C_HLTH-MPS_-LPG,,,
C_HLTH-MPS_-ELC,,,
