TechName,Comm-In,Comm-Out,EFF,EFF~2030,EFF~2050,LIFE,INVCOST,INVCOST~2030,INVCOST~2050,FIXOM,AF
C_EDU-SH-Boiler-PLT,COMPLT,C_EDU-Boiler-SH,0.92,,,30,4891.304,,,10,0.1
C_EDU-SH-Boiler-ELC,COMELC,C_EDU-Boiler-SH,0.99,,,30,1262.626,,,2,0.1
C_EDU-SH-Boiler-BIM,COMBIM,C_EDU-Boiler-SH,0.85,,,25,1470.588,,,2,0.1
C_EDU-SH-Boiler-H2R,COMH2R,C_EDU-Boiler-SH,0.75,,,25,1833.333,,,2,0.1
C_EDU-WH-Boiler-WOD,COMWOD,C_EDU-Boiler-WH,0.85,,,30,5294.118,,,10,0.216895
C_EDU-WH-Boiler-PLT,COMPLT,C_EDU-Boiler-WH,0.92,,,30,4891.304,,,10,0.216895
C_EDU-WH-Boiler-BIM,COMBIM,C_EDU-Boiler-WH,0.85,,,25,1470.588,,,2,0.216895
C_EDU-WH-Boiler-H2R,COMH2R,C_EDU-Boiler-WH,0.75,,,25,1833.333,,,2,0.216895
C_EDU-WH-AIRHP-ELC,COMELC,C_EDU-WH,2.5,3.5,4,20,1500,1425,1396.5,0,0.216895
C_EDU-MPM-MPM-ELC,COMELC,C_EDU-MPM,0.99,,,10,188.8889,,,0,0.05
C_EDU-MPM-MPM-H2R,COMH2R,C_EDU-MPM,0.5,0.6,0.65,10,876,832.2,815.556,2,0.05
C_EDU-MPS-MPS-H2R,COMH2R,C_EDU-MPS,0.5,0.6,0.65,10,876,832.2,815.556,2,0.216895
C_HLTH-SH-Boiler-PLT,COMPLT,C_HLTH-Boiler-SH,0.92,,,30,1956.522,,,10,0.342188
C_HLTH-SH-Boiler-ELC,COMELC,C_HLTH-Boiler-SH,0.99,,,30,505.0505,,,2,0.342188
C_HLTH-SH-Boiler-BIM,COMBIM,C_HLTH-Boiler-SH,0.85,,,25,588.2353,,,2,0.342188
C_HLTH-SH-Boiler-H2R,COMH2R,C_HLTH-Boiler-SH,0.75,,,25,733.3333,,,2,0.342188
C_HLTH-WH-Boiler-WOD,COMWOD,C_HLTH-Boiler-WH,0.85,,,30,2117.647,,,10,0.45625
C_HLTH-WH-Boiler-PLT,COMPLT,C_HLTH-Boiler-WH,0.92,,,30,1956.522,,,10,0.45625
C_HLTH-WH-Boiler-ELC,COMELC,C_HLTH-Boiler-WH,0.99,,,30,505.0505,,,2,0.45625
C_HLTH-WH-Boiler-BIM,COMBIM,C_HLTH-Boiler-WH,0.85,,,25,588.2353,,,2,0.45625
C_HLTH-WH-Boiler-H2R,COMH2R,C_HLTH-Boiler-WH,0.75,,,25,733.3333,,,2,0.45625
C_HLTH-PH-Boiler-WOD,COMWOD,C_HLTH-Boiler-PH,0.85,,,30,2117.647,,,10,0.45625
C_HLTH-PH-Boiler-PLT,COMPLT,C_HLTH-Boiler-PH,0.92,,,30,1956.522,,,10,0.45625
C_HLTH-PH-Boiler-BIM,COMBIM,C_HLTH-Boiler-PH,0.85,,,25,588.2353,,,2,0.45625
C_HLTH-PH-Boiler-H2R,COMH2R,C_HLTH-Boiler-PH,0.75,,,25,733.3333,,,2,0.45625
C_HLTH-WH-AIRHP-ELC,COMELC,C_HLTH-WH,2.5,3.5,4,20,1500,1425,1396.5,0,0.45625
C_HLTH-MPM-MPM-ELC,COMELC,C_HLTH-MPM,0.99,,,10,188.8889,,,0,0.05
C_HLTH-MPM-MPM-H2R,COMH2R,C_HLTH-MPM,0.5,0.6,0.65,10,876,832.2,815.556,2,0.05
C_HLTH-MPS-MPS-H2R,COMH2R,C_HLTH-MPS,0.5,0.6,0.65,10,876,832.2,815.556,2,0.45625
C_OFFC-SH-Boiler-WOD,COMWOD,C_OFFC-Boiler-SH,0.85,,,30,1058.824,,,10,0.1
C_OFFC-SH-Boiler-PLT,COMPLT,C_OFFC-Boiler-SH,0.92,,,30,978.2609,,,10,0.1
C_OFFC-SH-Boiler-ELC,COMELC,C_OFFC-Boiler-SH,0.99,,,30,252.5253,,,2,0.1
C_OFFC-SH-Boiler-BIM,COMBIM,C_OFFC-Boiler-SH,0.85,,,25,294.1176,,,2,0.1
C_OFFC-SH-Boiler-H2R,COMH2R,C_OFFC-Boiler-SH,0.75,,,25,366.6667,,,2,0.1
C_OFFC-WH-Boiler-WOD,COMWOD,C_OFFC-Boiler-WH,0.85,,,30,1058.824,,,10,0.447543
C_OFFC-WH-Boiler-PLT,COMPLT,C_OFFC-Boiler-WH,0.92,,,30,978.2609,,,10,0.447543
C_OFFC-WH-Boiler-ELC,COMELC,C_OFFC-Boiler-WH,0.99,,,30,252.5253,,,2,0.447543
C_OFFC-WH-Boiler-BIM,COMBIM,C_OFFC-Boiler-WH,0.85,,,25,294.1176,,,2,0.447543
C_OFFC-WH-Boiler-H2R,COMH2R,C_OFFC-Boiler-WH,0.75,,,25,366.6667,,,2,0.447543
C_OFFC-MPM-MPM-ELC,COMELC,C_OFFC-MPM,0.99,,,10,188.8889,,,0,0.1
C_OFFC-MPM-MPM-H2R,COMH2R,C_OFFC-MPM,0.5,0.6,0.65,10,876,832.2,815.556,2,0.1
C_OFFC-MPS-MPS-H2R,COMH2R,C_OFFC-MPS,0.5,0.6,0.65,10,876,832.2,815.556,2,0.447543
C_WSR-CK-Induction-ELC,COMELC,C_WSR-CK,0.84,,,15,660.7143,,,0,0.483
C_WSR-CK-CK-H2R,COMH2R,C_WSR-CK,0.4,,,15,825,,,0,0.483
C_WSR-CK-Ovens-H2R,COMH2R,C_WSR-CK,0.3,,,20,2746.667,,,0,0.483
C_WSR-SH-Boiler-WOD,COMWOD,C_WSR-Boiler-SH,0.85,,,30,1058.824,,,10,0.1
C_WSR-SH-Boiler-PLT,COMPLT,C_WSR-Boiler-SH,0.92,,,30,978.2609,,,10,0.1
C_WSR-SH-Boiler-ELC,COMELC,C_WSR-Boiler-SH,0.99,,,30,252.5253,,,2,0.1
C_WSR-SH-Boiler-BIM,COMBIM,C_WSR-Boiler-SH,0.85,,,25,294.1176,,,2,0.1
C_WSR-SH-Boiler-H2R,COMH2R,C_WSR-Boiler-SH,0.75,,,25,366.6667,,,2,0.1
C_WSR-WH-Boiler-WOD,COMWOD,C_WSR-Boiler-WH,0.85,,,30,1058.824,,,10,0.483
C_WSR-WH-Boiler-PLT,COMPLT,C_WSR-Boiler-WH,0.92,,,30,978.2609,,,10,0.483
C_WSR-WH-Boiler-ELC,COMELC,C_WSR-Boiler-WH,0.99,,,30,252.5253,,,2,0.483
C_WSR-WH-Boiler-BIM,COMBIM,C_WSR-Boiler-WH,0.85,,,25,294.1176,,,2,0.483
C_WSR-WH-Boiler-H2R,COMH2R,C_WSR-Boiler-WH,0.75,,,25,366.6667,,,2,0.483
C_WSR-WH-AirHP-ELC,COMELC,C_WSR-WH,2.5,3.5,4,20,1500,1425,1396.5,0,0.483
C_WSR-MPM-MPM-ELC,COMELC,C_WSR-MPM,0.99,,,10,188.8889,,,0,0.483
C_WSR-MPM-MPM-H2R,COMH2R,C_WSR-MPM,0.5,0.6,0.65,10,876,832.2,815.556,2,0.483
C_WSR-MPS-MPS-H2R,COMH2R,C_WSR-MPS,0.5,0.6,0.65,10,876,832.2,815.556,2,0.483
C_OTH-SH-Boiler-WOD,COMWOD,C_OTH-Boiler-SH,0.85,,,30,1058.824,,,10,0.1
C_OTH-SH-Boiler-PLT,COMPLT,C_OTH-Boiler-SH,0.92,,,30,978.2609,,,10,0.1
C_OTH-SH-Boiler-ELC,COMELC,C_OTH-Boiler-SH,0.99,,,30,252.5253,,,2,0.1
C_OTH-SH-Boiler-BIM,COMBIM,C_OTH-Boiler-SH,0.85,,,25,294.1176,,,2,0.1
C_OTH-SH-Boiler-H2R,COMH2R,C_OTH-Boiler-SH,0.75,,,25,366.6667,,,2,0.1
C_OTH-WH-Boiler-WOD,COMWOD,C_OTH-Boiler-WH,0.85,,,30,1058.824,,,10,0.549133
C_OTH-WH-Boiler-PLT,COMPLT,C_OTH-Boiler-WH,0.92,,,30,978.2609,,,10,0.549133
C_OTH-WH-Boiler-ELC,COMELC,C_OTH-Boiler-WH,0.99,,,30,252.5253,,,2,0.549133
C_OTH-WH-Boiler-BIM,COMBIM,C_OTH-Boiler-WH,0.85,,,25,294.1176,,,2,0.549133
C_OTH-WH-Boiler-H2R,COMH2R,C_OTH-Boiler-WH,0.75,,,25,366.6667,,,2,0.549133
C_OTH-WH-AirHP-ELC,COMELC,C_OTH-WH,2.5,3.5,4,20,1500,1425,1396.5,0,0.549133
C_OTH-MPM-MPM-ELC,COMELC,C_OTH-MPM,0.99,,,10,188.8889,,,0,0.1
C_OTH-MPM-MPM-H2R,COMH2R,C_OTH-MPM,0.5,0.6,0.65,10,876,832.2,815.556,2,0.1
C_OTH-MPS-MPS-H2R,COMH2R,C_OTH-MPS,0.5,0.6,0.65,10,876,832.2,815.556,2,0.549133
