Sector,EndUse,Technology,AFA,Notes
Education,Electronics and Other Electrical Uses,Electronics,0.22,TIMES-NZ 2.0
Education,Lighting,Lights (Fluorescent),0.22,TIMES-NZ 2.0
Education,Lighting,Lights (Incandescent),0.22,TIMES-NZ 2.0
Education,Lighting,Lights (LED),0.22,TIMES-NZ 2.0
Education,"Intermediate Heat (100-300 C), Process Requirements",Boiler Systems,0.22,TIMES-NZ 2.0
Education,"Intermediate Heat (100-300 C), Process Requirements",Resistance Heater,0.22,TIMES-NZ 2.0
Education,"Low Temperature Heat (<100 C), Space Heating",Boiler Systems,0.1,TIMES-NZ 2.0
Education,"Low Temperature Heat (<100 C), Space Heating",Resistance Heater,0.1,TIMES-NZ 2.0
Education,"Low Temperature Heat (<100 C), Space Heating",Burner (Direct Heat),0.1,TIMES-NZ 2.0
Education,"Low Temperature Heat (<100 C), Space Heating",Direct Heat,0.1,TIMES-NZ 2.0
Education,"Low Temperature Heat (<100 C), Space Heating",Heat Pump (for Heating),0.1,TIMES-NZ 2.0
Education,"Low Temperature Heat (<100 C), Water Heating",Boiler Systems,0.22,TIMES-NZ 2.0
Education,"Low Temperature Heat (<100 C), Water Heating",Direct Heat,0.22,TIMES-NZ 2.0
Education,"Low Temperature Heat (<100 C), Water Heating",Heat Pump (for Heating),0.22,TIMES-NZ 2.0
Education,"Low Temperature Heat (<100 C), Water Heating",Hot Water Cylinder,0.22,TIMES-NZ 2.0
Education,Space Cooling,Heat Pump (for Cooling),0.11,TIMES-NZ 2.0
Education,Refrigeration,Refrigeration Systems,0.22,TIMES-NZ 2.0
Education,"Motive Power, Mobile",Internal Combustion Engine (Land Transport),0.05,TIMES-NZ 2.0
Education,"Motive Power, Stationary",Electric Motor,0.22,TIMES-NZ 2.0
Education,"Motive Power, Stationary",Stationary Engine,0.22,TIMES-NZ 2.0
Healthcare,Electronics and Other Electrical Uses,Electronics,0.46,TIMES-NZ 2.0
Healthcare,Lighting,Lights (Fluorescent),0.46,TIMES-NZ 2.0
Healthcare,Lighting,Lights (Incandescent),0.46,TIMES-NZ 2.0
Healthcare,Lighting,Lights (LED),0.46,TIMES-NZ 2.0
Healthcare,"Intermediate Heat (100-300 C), Process Requirements",Boiler Systems,0.46,TIMES-NZ 2.0
Healthcare,"Intermediate Heat (100-300 C), Process Requirements",Resistance Heater,0.46,TIMES-NZ 2.0
Healthcare,"Intermediate Heat (100-300 C), Process Requirements",Burner (Direct Heat),0.46,TIMES-NZ 2.0
Healthcare,"Low Temperature Heat (<100 C), Space Heating",Boiler Systems,0.34,TIMES-NZ 2.0
Healthcare,"Low Temperature Heat (<100 C), Space Heating",Resistance Heater,0.34,TIMES-NZ 2.0
Healthcare,"Low Temperature Heat (<100 C), Space Heating",Burner (Direct Heat),0.34,TIMES-NZ 2.0
Healthcare,"Low Temperature Heat (<100 C), Space Heating",Direct Heat,0.34,TIMES-NZ 2.0
Healthcare,"Low Temperature Heat (<100 C), Space Heating",Heat Pump (for Heating),0.34,TIMES-NZ 2.0
Healthcare,"Low Temperature Heat (<100 C), Water Heating",Boiler Systems,0.46,TIMES-NZ 2.0
Healthcare,"Low Temperature Heat (<100 C), Water Heating",Direct Heat,0.46,TIMES-NZ 2.0
