Technology,Life,Note,Source
Electronics,4,RESD - Appliances (small),https://www.ird.govt.nz/-/media/project/ir/home/documents/forms-and-guides/ir200---ir299/ir265/ir265-august-2024.pdf?modified=20240918025046&modified=20240918025046
Lights (Incandescent) ,1,N/A,https://www.level.org.nz/energy/lighting-design/lamp-selection/
Lights (Fluorescent) ,3,N/A,https://www.level.org.nz/energy/lighting-design/lamp-selection/
Lights (LED),10,N/A,https://www.level.org.nz/energy/lighting-design/lamp-selection/
Boiler Systems,25,BOIL - Boilers,https://www.ird.govt.nz/-/media/project/ir/home/documents/forms-and-guides/ir200---ir299/ir265/ir265-august-2024.pdf?modified=20240918025046&modified=20240918025046
Burner (Direct Heat),12.5,BOIL – Space heaters,https://www.ird.govt.nz/-/media/project/ir/home/documents/forms-and-guides/ir200---ir299/ir265/ir265-august-2024.pdf?modified=20240918025046&modified=20240918025046
Direct Heat,12.5,BOIL – Space heaters,https://www.ird.govt.nz/-/media/project/ir/home/documents/forms-and-guides/ir200---ir299/ir265/ir265-august-2024.pdf?modified=20240918025046&modified=20240918025046
Heat Pump (for Heating),10,RESD - Air conditioners and heat pumps/ Water heaters (heat pump type),https://www.ird.govt.nz/-/media/project/ir/home/documents/forms-and-guides/ir200---ir299/ir265/ir265-august-2024.pdf?modified=20240918025046&modified=20240918025046
Heat Pump (for Cooling),10,RESD - Air conditioners and heat pumps/ Water heaters (heat pump type),https://www.ird.govt.nz/-/media/project/ir/home/documents/forms-and-guides/ir200---ir299/ir265/ir265-august-2024.pdf?modified=20240918025046&modified=20240918025046
Resistance Heater,10,RESD - Air conditioners and heat pumps/ Water heaters (heat pump type),https://www.ird.govt.nz/-/media/project/ir/home/documents/forms-and-guides/ir200---ir299/ir265/ir265-august-2024.pdf?modified=20240918025046&modified=20240918025046
Hot Water Cylinder,15.5,RESD - Water heaters (other),https://www.ird.govt.nz/-/media/project/ir/home/documents/forms-and-guides/ir200---ir299/ir265/ir265-august-2024.pdf?modified=20240918025046&modified=20240918025046
Internal Combustion Engine (Land Transport),20,TRAN - Forklift trucks (8 tonnes and over,https://www.ird.govt.nz/-/media/project/ir/home/documents/forms-and-guides/ir200---ir299/ir265/ir265-august-2024.pdf?modified=20240918025046&modified=20240918025046
Electric Motor,10,BDFO - Motors,https://www.ird.govt.nz/-/media/project/ir/home/documents/forms-and-guides/ir200---ir299/ir265/ir265-august-2024.pdf?modified=20240918025046&modified=20240918025046
Stationary Engine,20,POWR - Generators (oil fired),https://www.ird.govt.nz/-/media/project/ir/home/documents/forms-and-guides/ir200---ir299/ir265/ir265-august-2024.pdf?modified=20240918025046&modified=20240918025046
Refrigeration Systems,8,MEDI - Refrigerators,https://www.ird.govt.nz/-/media/project/ir/home/documents/forms-and-guides/ir200---ir299/ir265/ir265-august-2024.pdf?modified=20240918025046&modified=20240918025046
Cooking Elements,12.5,HOTS - Cookers,https://www.ird.govt.nz/-/media/project/ir/home/documents/forms-and-guides/ir200---ir299/ir265/ir265-august-2024.pdf?modified=20240918025046&modified=20240918025046
Cooking Ovens,20,BAKE - Ovens (built-in),https://www.ird.govt.nz/-/media/project/ir/home/documents/forms-and-guides/ir200---ir299/ir265/ir265-august-2024.pdf?modified=20240918025046&modified=20240918025046
"Pump Systems (for Fluids, etc.)",10,Similar to Electric Motor,
