SectorGroup,Sector,Scenario,Method,Workbook,SheetName,SourceCategory1,SourceCategory2,ConstantIndex,Note
"Agriculture, Forestry and Fishing",Dairy Cattle Farming,Steady,Workbook,mfe/Detailed-results-for-ERP2-projection-scenarios.xlsx,Baseline,,Total dairy cattle,,"Tracks ERP2 total dairy cattle"
"Agriculture, Forestry and Fishing",Dairy Cattle Farming,Shift,Workbook,mfe/Detailed-results-for-ERP2-projection-scenarios.xlsx,Baseline low,,Total dairy cattle,,"Tracks ERP2 total dairy cattle"
"Agriculture, Forestry and Fishing",Livestock Farming,Steady,Workbook,mfe/Detailed-results-for-ERP2-projection-scenarios.xlsx,Baseline,,"Sheep and beef 'stock units'",,"Tracks ERP2 sheep and beef stock units"
"Agriculture, Forestry and Fishing",Livestock Farming,Shift,Workbook,mfe/Detailed-results-for-ERP2-projection-scenarios.xlsx,Baseline low,,"Sheep and beef 'stock units'",,"Tracks ERP2 sheep and beef stock units"
"Agriculture, Forestry and Fishing",Forestry and Logging,Steady,Workbook,mfe/Detailed-results-for-ERP2-projection-scenarios.xlsx,Baseline,Forestry (million m3),Harvested timber (TRV),,"Tracks ERP2 harvested timber output"
"Agriculture, Forestry and Fishing",Forestry and Logging,Shift,Workbook,mfe/Detailed-results-for-ERP2-projection-scenarios.xlsx,Baseline low,Forestry (million m3),Harvested timber (TRV),,"Tracks ERP2 harvested timber output"
"Agriculture, Forestry and Fishing","Fishing, Hunting and Trapping",Steady,Constant,,,,,1,Flat
"Agriculture, Forestry and Fishing","Fishing, Hunting and Trapping",Shift,Constant,,,,,1,Flat
"Agriculture, Forestry and Fishing",Indoor Cropping,Steady,Workbook,mfe/Detailed-results-for-ERP2-projection-scenarios.xlsx,Baseline,,Horticulture,,"Uses ERP2 horticulture as proxy"
"Agriculture, Forestry and Fishing",Indoor Cropping,Shift,Workbook,mfe/Detailed-results-for-ERP2-projection-scenarios.xlsx,Baseline low,,Horticulture,,"Uses ERP2 horticulture as proxy"
"Agriculture, Forestry and Fishing",Other Agriculture,Steady,Workbook,mfe/Detailed-results-for-ERP2-projection-scenarios.xlsx,Baseline,Other agriculture,Total,,"Tracks ERP2 other agriculture total"
"Agriculture, Forestry and Fishing",Other Agriculture,Shift,Workbook,mfe/Detailed-results-for-ERP2-projection-scenarios.xlsx,Baseline low,Other agriculture,Total,,"Tracks ERP2 other agriculture total"
"Agriculture, Forestry and Fishing",Horticulture (Outdoor),Steady,Workbook,mfe/Detailed-results-for-ERP2-projection-scenarios.xlsx,Baseline,,Horticulture,,"Tracks ERP2 horticulture"
"Agriculture, Forestry and Fishing",Horticulture (Outdoor),Shift,Workbook,mfe/Detailed-results-for-ERP2-projection-scenarios.xlsx,Baseline low,,Horticulture,,"Tracks ERP2 horticulture"
