Year,Scenario,Index
2023,Steady,1
2024,Steady,1
2025,Steady,1
2026,Steady,0.5
2027,Steady,0.5
2028,Steady,0.5
2029,Steady,0.5
2030,Steady,0.5
2031,Steady,0.5
2032,Steady,0.5
2033,Steady,0.5
2034,Steady,0.5
2035,Steady,0.5
2036,Steady,0.5
2037,Steady,0.5
2038,Steady,0.5
2039,Steady,0.5
2040,Steady,0.5
2041,Steady,0.5
2042,Steady,0.5
2043,Steady,0.5
2044,Steady,0.5
2045,Steady,0.5
2046,Steady,0.5
2047,Steady,0.5
2048,Steady,0.5
2049,Steady,0.5
2050,Steady,0.5
2023,Shift,1
2024,Shift,1
2025,Shift,1
2026,Shift,0.5
2027,Shift,0.5
2028,Shift,0.5
2029,Shift,0.5
2030,Shift,0.5
2031,Shift,0.5
2032,Shift,0.5
2033,Shift,0.5
2034,Shift,0.5
2035,Shift,0.5
2036,Shift,0
2037,Shift,0
2038,Shift,0
2039,Shift,0
2040,Shift,0
2041,Shift,0
2042,Shift,0
2043,Shift,0
2044,Shift,0
2045,Shift,0
2046,Shift,0
2047,Shift,0
2048,Shift,0
2049,Shift,0
2050,Shift,0

