Timeslice,Region,Capacity_Factor,Weighted_CF,Source
SUM-WK-D,NI,0.54600613,0.430460886,TIMES 2
SUM-WK-N,NI,0.314066898,0.430460886,TIMES 2
SUM-WK-P,NI,0.483825698,0.430460886,TIMES 2
SUM-WE-D,NI,0.562239632,0.430460886,TIMES 2
SUM-WE-N,NI,0.327448195,0.430460886,TIMES 2
SUM-WE-P,NI,0.49960593,0.430460886,TIMES 2
FAL-WK-D,NI,0.529489789,0.430460886,TIMES 2
FAL-WK-N,NI,0.313911803,0.430460886,TIMES 2
FAL-WK-P,NI,0.403654532,0.430460886,TIMES 2
FAL-WE-D,NI,0.486224755,0.430460886,TIMES 2
FAL-WE-N,NI,0.305976106,0.430460886,TIMES 2
FAL-WE-P,NI,0.395000938,0.430460886,TIMES 2
WIN-WK-D,NI,0.518089291,0.430460886,TIMES 2
WIN-WK-N,NI,0.30039407,0.430460886,TIMES 2
WIN-WK-P,NI,0.383941171,0.430460886,TIMES 2
WIN-WE-D,NI,0.552239604,0.430460886,TIMES 2
WIN-WE-N,NI,0.318693939,0.430460886,TIMES 2
WIN-WE-P,NI,0.446869748,0.430460886,TIMES 2
SPR-WK-D,NI,0.584655498,0.430460886,TIMES 2
SPR-WK-N,NI,0.339528212,0.430460886,TIMES 2
SPR-WK-P,NI,0.529526178,0.430460886,TIMES 2
SPR-WE-D,NI,0.616557165,0.430460886,TIMES 2
SPR-WE-N,NI,0.374515029,0.430460886,TIMES 2
SPR-WE-P,NI,0.497264027,0.430460886,TIMES 2
SUM-WK-D,SI,0.496484644,0.386991444,TIMES 2
SUM-WK-N,SI,0.273493662,0.386991444,TIMES 2
SUM-WK-P,SI,0.427151972,0.386991444,TIMES 2
SUM-WE-D,SI,0.609626572,0.386991444,TIMES 2
SUM-WE-N,SI,0.340997775,0.386991444,TIMES 2
SUM-WE-P,SI,0.480090073,0.386991444,TIMES 2
FAL-WK-D,SI,0.442085972,0.386991444,TIMES 2
FAL-WK-N,SI,0.264346782,0.386991444,TIMES 2
FAL-WK-P,SI,0.312597579,0.386991444,TIMES 2
FAL-WE-D,SI,0.422748938,0.386991444,TIMES 2
FAL-WE-N,SI,0.240142616,0.386991444,TIMES 2
FAL-WE-P,SI,0.324180063,0.386991444,TIMES 2
WIN-WK-D,SI,0.46615369,0.386991444,TIMES 2
WIN-WK-N,SI,0.302647026,0.386991444,TIMES 2
WIN-WK-P,SI,0.341698255,0.386991444,TIMES 2
WIN-WE-D,SI,0.535735891,0.386991444,TIMES 2
WIN-WE-N,SI,0.332907988,0.386991444,TIMES 2
WIN-WE-P,SI,0.432905069,0.386991444,TIMES 2
SPR-WK-D,SI,0.490806242,0.386991444,TIMES 2
SPR-WK-N,SI,0.287697578,0.386991444,TIMES 2
SPR-WK-P,SI,0.439326328,0.386991444,TIMES 2
SPR-WE-D,SI,0.563817041,0.386991444,TIMES 2
SPR-WE-N,SI,0.345525372,0.386991444,TIMES 2
SPR-WE-P,SI,0.458785263,0.386991444,TIMES 2
