TimeSlice,TechCode,NI,SI
FAL-WE-D,WindOn,0.341516846,0.341516846
FAL-WE-N,WindOn,0.326380608,0.326380608
FAL-WE-P,WindOn,0.358283805,0.358283805
FAL-WK-D,WindOn,0.339275367,0.339275367
FAL-WK-N,WindOn,0.33809925,0.33809925
FAL-WK-P,WindOn,0.349095352,0.349095352
SPR-WE-D,WindOn,0.433092167,0.433092167
SPR-WE-N,WindOn,0.411065106,0.411065106
SPR-WE-P,WindOn,0.437859248,0.437859248
SPR-WK-D,WindOn,0.446161888,0.446161888
SPR-WK-N,WindOn,0.429607739,0.429607739
SPR-WK-P,WindOn,0.471553833,0.471553833
SUM-WE-D,WindOn,0.378976443,0.378976443
SUM-WE-N,WindOn,0.358456177,0.358456177
SUM-WE-P,WindOn,0.419985551,0.419985551
SUM-WK-D,WindOn,0.368644441,0.368644441
SUM-WK-N,WindOn,0.358374553,0.358374553
SUM-WK-P,WindOn,0.397746747,0.397746747
WIN-WE-D,WindOn,0.3919058,0.3919058
WIN-WE-N,WindOn,0.370018509,0.370018509
WIN-WE-P,WindOn,0.382002206,0.382002206
WIN-WK-D,WindOn,0.384693317,0.384693317
WIN-WK-N,WindOn,0.380226681,0.380226681
WIN-WK-P,WindOn,0.386691067,0.386691067
FAL-WE-D,WindFixOff,0.449364271,0.449364271
FAL-WE-N,WindFixOff,0.429448169,0.429448169
FAL-WE-P,WindFixOff,0.471426059,0.471426059
FAL-WK-D,WindFixOff,0.446414957,0.446414957
FAL-WK-N,WindFixOff,0.444867434,0.444867434
FAL-WK-P,WindFixOff,0.45933599,0.45933599
SPR-WE-D,WindFixOff,0.569858115,0.569858115
SPR-WE-N,WindFixOff,0.54087514,0.54087514
SPR-WE-P,WindFixOff,0.57613059,0.57613059
SPR-WK-D,WindFixOff,0.587055116,0.587055116
SPR-WK-N,WindFixOff,0.565273341,0.565273341
SPR-WK-P,WindFixOff,0.62046557,0.62046557
SUM-WE-D,WindFixOff,0.498653215,0.498653215
SUM-WE-N,WindFixOff,0.471652864,0.471652864
SUM-WE-P,WindFixOff,0.552612568,0.552612568
SUM-WK-D,WindFixOff,0.485058475,0.485058475
SUM-WK-N,WindFixOff,0.471545464,0.471545464
SUM-WK-P,WindFixOff,0.523350983,0.523350983
WIN-WE-D,WindFixOff,0.515665527,0.515665527
WIN-WE-N,WindFixOff,0.486866459,0.486866459
WIN-WE-P,WindFixOff,0.502634481,0.502634481
WIN-WK-D,WindFixOff,0.506175416,0.506175416
WIN-WK-N,WindFixOff,0.500298264,0.500298264
WIN-WK-P,WindFixOff,0.508804035,0.508804035
FAL-WE-D,WindFloatOff,0.449364271,0.449364271
FAL-WE-N,WindFloatOff,0.429448169,0.429448169
FAL-WE-P,WindFloatOff,0.471426059,0.471426059
FAL-WK-D,WindFloatOff,0.446414957,0.446414957
FAL-WK-N,WindFloatOff,0.444867434,0.444867434
FAL-WK-P,WindFloatOff,0.45933599,0.45933599
SPR-WE-D,WindFloatOff,0.569858115,0.569858115
SPR-WE-N,WindFloatOff,0.54087514,0.54087514
SPR-WE-P,WindFloatOff,0.57613059,0.57613059
SPR-WK-D,WindFloatOff,0.587055116,0.587055116
SPR-WK-N,WindFloatOff,0.565273341,0.565273341
SPR-WK-P,WindFloatOff,0.62046557,0.62046557
SUM-WE-D,WindFloatOff,0.498653215,0.498653215
SUM-WE-N,WindFloatOff,0.471652864,0.471652864
SUM-WE-P,WindFloatOff,0.552612568,0.552612568
SUM-WK-D,WindFloatOff,0.485058475,0.485058475
SUM-WK-N,WindFloatOff,0.471545464,0.471545464
SUM-WK-P,WindFloatOff,0.523350983,0.523350983
WIN-WE-D,WindFloatOff,0.515665527,0.515665527
WIN-WE-N,WindFloatOff,0.486866459,0.486866459
WIN-WE-P,WindFloatOff,0.502634481,0.502634481
WIN-WK-D,WindFloatOff,0.506175416,0.506175416
WIN-WK-N,WindFloatOff,0.500298264,0.500298264
WIN-WK-P,WindFloatOff,0.508804035,0.508804035
SUM-WK-D,HydRR,0.573941327,0.368236692
SUM-WK-N,HydRR,0.311812829,0.16680108
SUM-WK-P,HydRR,0.499568399,0.304358899
SUM-WE-D,HydRR,0.573766185,0.397025708
SUM-WE-N,HydRR,0.32669544,0.192705144
SUM-WE-P,HydRR,0.463501595,0.308350535
FAL-WK-D,HydRR,0.490221407,0.344548379
FAL-WK-N,HydRR,0.295888159,0.153200976
FAL-WK-P,HydRR,0.350146838,0.267538469
FAL-WE-D,HydRR,0.517962663,0.326265697
FAL-WE-N,HydRR,0.302235566,0.159346969
FAL-WE-P,HydRR,0.372058965,0.284280978
WIN-WK-D,HydRR,0.882905222,0.444619416
WIN-WK-N,HydRR,0.521183712,0.202015012
WIN-WK-P,HydRR,0.681519047,0.381124977
WIN-WE-D,HydRR,0.815029484,0.403706193
WIN-WE-N,HydRR,0.473552261,0.186278852
WIN-WE-P,HydRR,0.675292008,0.354104376
SPR-WK-D,HydRR,0.679772986,0.440076915
SPR-WK-N,HydRR,0.371077294,0.172768781
SPR-WK-P,HydRR,0.594257834,0.37671702
SPR-WE-D,HydRR,0.806170468,0.399318082
SPR-WE-N,HydRR,0.387051097,0.180205976
SPR-WE-P,HydRR,0.552515586,0.350255416
SUM-,HydSC,0.453,0.605172
FAL-,HydSC,0.496,0.561179
WIN-,HydSC,0.381,0.539719
SPR-,HydSC,0.569,0.639508
