Fuel,Unit,CV MJ/Unit,EF kg CO2e/unit,Sector,SectorDetail,Year,Source
Coal - Bituminous,kg,29.59,2.656,Industrial,,2023,https://environment.govt.nz/publications/measuring-emissions-a-guide-for-organisations-2024-detailed-guide/
Coal - Sub-Bituminous,kg,21.64,2.005,Industrial,,2023,https://environment.govt.nz/publications/measuring-emissions-a-guide-for-organisations-2024-detailed-guide/
Coal - Lignite,kg,15.26,1.43,Industrial,,2023,https://environment.govt.nz/publications/measuring-emissions-a-guide-for-organisations-2024-detailed-guide/
LPG,kg,50,2.966,Industrial,,2023,https://environment.govt.nz/publications/measuring-emissions-a-guide-for-organisations-2024-detailed-guide/
Diesel,Litre,38.49,2.671,Industrial,,2023,https://environment.govt.nz/publications/measuring-emissions-a-guide-for-organisations-2024-detailed-guide/
Regular Petrol,Litre,35.24,2.373,Transport,,2023,https://environment.govt.nz/publications/measuring-emissions-a-guide-for-organisations-2024-detailed-guide/
Premium Petrol,Litre,35.18,2.407,Transport,,2023,https://environment.govt.nz/publications/measuring-emissions-a-guide-for-organisations-2024-detailed-guide/
Light Fuel Oil,Litre,40.45,2.963,Industrial,,2023,https://environment.govt.nz/publications/measuring-emissions-a-guide-for-organisations-2024-detailed-guide/
Heavy Fuel Oil,Litre,40.74,3.046,Industrial,,2023,https://environment.govt.nz/publications/measuring-emissions-a-guide-for-organisations-2024-detailed-guide/
Waste Oil,Litre,40.6,3.0045,Industrial,,2023,Mean of HFO and LFO
Aviation fuel (Kerosene),Litre,37.19,2.516,Transport,,2023,https://environment.govt.nz/publications/measuring-emissions-a-guide-for-organisations-2024-detailed-guide/
Natural Gas,GJ,1000,54.035,Industrial,,2023,https://environment.govt.nz/publications/measuring-emissions-a-guide-for-organisations-2024-detailed-guide/
Landfill gas,kg,13.54,0.00069,Industrial,,2023,Greenhouse gas reporting: conversion factors 2022 - GOV.UK
Biogas,kg,22,0.00122,Industrial,,2023,Greenhouse gas reporting: conversion factors 2022 - GOV.UK
Wood - Chips,kg,15.15,0.023,Industrial,,2023,https://environment.govt.nz/publications/measuring-emissions-a-guide-for-organisations-2024-detailed-guide/
Wood - Pellets,kg,18.99,0.029,Industrial,,2023,https://environment.govt.nz/publications/measuring-emissions-a-guide-for-organisations-2024-detailed-guide/
Wood - Green,kg,8.89,0.014,Industrial,,2023,https://environment.govt.nz/publications/measuring-emissions-a-guide-for-organisations-2024-detailed-guide/
Geothermal,kWh,3.6,0.062,Fugitive,Median,2023,"https://www.nzgeothermal.org.nz/geothermal-in-nz/what-is-geothermal/ (Note: applied to output generation, not input fuel)"
Geothermal,kWh,3.6,0.045,Fugitive,25th percentile,2023,"https://www.nzgeothermal.org.nz/geothermal-in-nz/what-is-geothermal/ (Note: applied to output generation, not input fuel)"
Geothermal,kWh,3.6,0.094,Fugitive,75th percentile,2023,"https://www.nzgeothermal.org.nz/geothermal-in-nz/what-is-geothermal/ (Note: applied to output generation, not input fuel)"
Geothermal,kWh,3.6,0.076,Fugitive,Mean,2023,"https://www.nzgeothermal.org.nz/geothermal-in-nz/what-is-geothermal/ (Note: applied to output generation, not input fuel)"
Geothermal,kWh,3.6,0.123,Fugitive,Kawerau,2023,"https://www.nzgeothermal.org.nz/geothermal-in-nz/what-is-geothermal/ (Note: applied to output generation, not input fuel)"
Geothermal,kWh,3.6,0.052,Fugitive,Mokai,2023,"https://www.nzgeothermal.org.nz/geothermal-in-nz/what-is-geothermal/ (Note: applied to output generation, not input fuel)"
Geothermal,kWh,3.6,0.063,Fugitive,Nga Awa Pūrua,2023,"https://www.nzgeothermal.org.nz/geothermal-in-nz/what-is-geothermal/ (Note: applied to output generation, not input fuel)"
Geothermal,kWh,3.6,0.064,Fugitive,Ngā Tamariki,2023,"https://www.nzgeothermal.org.nz/geothermal-in-nz/what-is-geothermal/ (Note: applied to output generation, not input fuel)"
Geothermal,kWh,3.6,0,Fugitive,Ngāwhā (OEC1-3),2023,"https://www.energyawards.co.nz/article/awards-finalist-ng%C4%81wh%C4%81-generation (Note: applied to output generation, not input fuel) (0 emissions)"
Geothermal,kWh,3.6,0,Fugitive,Ngāwhā (OEC4),2023,https://www.energyawards.co.nz/article/awards-finalist-ng%C4%81wh%C4%81-generation
Geothermal,kWh,3.6,0.341,Fugitive,Ōhaaki,2023,"https://www.nzgeothermal.org.nz/geothermal-in-nz/what-is-geothermal/ (Note: applied to output generation, not input fuel)"
